Step,UEIndex,RNTI,ServingCell,Frame,Slot,Time_s,Direction,StageName,EventName,LifecycleState,StageStatus,SourceArtifact,ValueSource,ValueRole,ValueStatus,ValueDefinition,SlotDuration_s,CompleteFlag,PlaceholderFlag,FallbackFlag,Notes
1,1,1,1,1,1,0,"DL","PDCCH","PDCCH_DCI_DECODED","PDCCH_DCI_DECODED","PASS","control/csv/pdcch_trials.csv","slot_coupled_grant_pdcch_decode_observation","measured_runtime_procedure_event","available_runtime_observation","initial-access event timestamp recorded from the slot-coupled runtime evidence path",0.0005,0,0,0,"PDCCH DCI decode observed for a scheduler grant in the coupled runtime."
2,2,2,1,1,1,0,"DL","PDCCH","PDCCH_DCI_DECODED","PDCCH_DCI_DECODED","PASS","control/csv/pdcch_trials.csv","slot_coupled_grant_pdcch_decode_observation","measured_runtime_procedure_event","available_runtime_observation","initial-access event timestamp recorded from the slot-coupled runtime evidence path",0.0005,0,0,0,"PDCCH DCI decode observed for a scheduler grant in the coupled runtime."
