Direction,CQITable,CQI,Modulation,TargetCodeRate,SpectralEfficiency
"DL","table1",0,"",0,0
"DL","table1",1,"QPSK",0.076171875,0.1523
"DL","table1",2,"QPSK",0.1171875,0.2344
"DL","table1",3,"QPSK",0.1884765625,0.377
"DL","table1",4,"QPSK",0.30078125,0.6016
"DL","table1",5,"QPSK",0.4384765625,0.877
"DL","table1",6,"QPSK",0.587890625,1.1758
"DL","table1",7,"16QAM",0.369140625,1.4766
"DL","table1",8,"16QAM",0.478515625,1.9141
"DL","table1",9,"16QAM",0.6015625,2.4063
"DL","table1",10,"64QAM",0.455078125,2.7305
"DL","table1",11,"64QAM",0.5537109375,3.3223
"DL","table1",12,"64QAM",0.650390625,3.9023
"DL","table1",13,"64QAM",0.75390625,4.5234
"DL","table1",14,"64QAM",0.8525390625,5.1152
"DL","table1",15,"64QAM",0.92578125,5.5547
"UL","table1",0,"",0,0
"UL","table1",1,"QPSK",0.076171875,0.1523
"UL","table1",2,"QPSK",0.1171875,0.2344
"UL","table1",3,"QPSK",0.1884765625,0.377
"UL","table1",4,"QPSK",0.30078125,0.6016
"UL","table1",5,"QPSK",0.4384765625,0.877
"UL","table1",6,"QPSK",0.587890625,1.1758
"UL","table1",7,"16QAM",0.369140625,1.4766
"UL","table1",8,"16QAM",0.478515625,1.9141
"UL","table1",9,"16QAM",0.6015625,2.4063
"UL","table1",10,"64QAM",0.455078125,2.7305
"UL","table1",11,"64QAM",0.5537109375,3.3223
"UL","table1",12,"64QAM",0.650390625,3.9023
"UL","table1",13,"64QAM",0.75390625,4.5234
"UL","table1",14,"64QAM",0.8525390625,5.1152
"UL","table1",15,"64QAM",0.92578125,5.5547
