UEIndex,RNTI,ServingCell,CurrentSchedulingDirection,CellAcquisitionState,AccessState,LastPDCCHStatus,TimeAlignmentState,LastTimingAdvance_samples,LastTimingAdvance_us,LastTimingAdvanceSource,LastTimingAdvanceUpdateSlot,LastTimingAdvanceServingCell,LastTimingAdvanceServingDistance_m,TimingAdvanceDrift_samples,TimingAdvanceDrift_us,TimingAdvanceUpdateRequired,TimingAdvanceUpdateStatus,SRSValidityState,CSIValidityState,TRSValidityState,SharedSchedulingEligibility,DLSchedulingEligibility,ULSchedulingEligibility,SchedulingEligibility,ControlEligibility,SchedulingBlockedBySRS,CoverageEligibility,CoverageOutageState,SRSValid,SRSAgeSlots,TrackingEligibility,TRSAgeSlots,LastSuccessfulPDCCHSlot,LastSuccessfulSRSSlot,LastSuccessfulTRSSlot,LastEstimatedTRSDopplerHz,TRSRuntimeConsumer,TRSReceiverIntegrationStatus,TRSReceiverIntegrationBlocker,TRSProcessed,TRSUpdateOutcome,TRSTrackingStateAfter,TRSRuntimeEvidenceSource,PBCHFailureCount,PRACHFailureCount,ControlDecodeFailureCount,PUCCHDecodeFailureCount,PUCCHCrashCount,SRSInvalidEventCount,TRSFailureCount,SchedulingOpportunitiesBlockedByGating,GrantsBlockedByGating,DLGrantsScheduledWithInvalidSRS,ULGrantsScheduledWithInvalidSRS
1,1,1,"UL","not_required","not_required","control_not_required","time_aligned_from_ul_receiver_measurement",0,0,"ul_data_receiver_timing_estimate",5,1,416.699658272967,0,0,0,"updated_from_runtime_receiver_timing_measurement","valid","fresh_srs","valid",1,1,1,1,1,0,1,"guard_disabled",1,0,1,4,1,5,1,0,"shared_receiver_tracking_state","integrated_shared_tracking_object","not_blocked_in_active_control_gating_state_runtime",1,"updated_from_trs_runtime_observation","valid","trs_reference_waveform_estimator",0,0,0,1,0,0,0,0,0,0,0
2,2,1,"UL","not_required","not_required","control_not_required","time_aligned_from_ul_receiver_measurement",0,0,"ul_data_receiver_timing_estimate",5,1,158.003283932499,0,0,0,"updated_from_runtime_receiver_timing_measurement","valid","fresh_srs","valid",1,1,1,1,1,0,1,"guard_disabled",1,0,1,4,1,5,1,0,"shared_receiver_tracking_state","integrated_shared_tracking_object","not_blocked_in_active_control_gating_state_runtime",1,"updated_from_trs_runtime_observation","valid","trs_reference_waveform_estimator",0,0,0,1,0,0,0,0,0,0,0
3,3,1,"UL","not_required","not_required","not_attempted","not_time_aligned",NaN,NaN,"not_emitted_by_active_control_gating_state_runtime",NaN,NaN,NaN,NaN,NaN,0,"not_evaluated_no_timing_advance_baseline","valid","fresh_srs","valid",1,1,1,1,1,0,1,"guard_disabled",1,0,1,4,NaN,5,1,0,"shared_receiver_tracking_state","integrated_shared_tracking_object","not_blocked_in_active_control_gating_state_runtime",1,"updated_from_trs_runtime_observation","valid","trs_reference_waveform_estimator",0,0,0,0,0,0,0,0,0,0,0
4,4,1,"UL","not_required","not_required","not_attempted","not_time_aligned",NaN,NaN,"not_emitted_by_active_control_gating_state_runtime",NaN,NaN,NaN,NaN,NaN,0,"not_evaluated_no_timing_advance_baseline","valid","fresh_srs","valid",1,1,1,1,1,0,1,"guard_disabled",1,0,1,4,NaN,5,1,0,"shared_receiver_tracking_state","integrated_shared_tracking_object","not_blocked_in_active_control_gating_state_runtime",1,"updated_from_trs_runtime_observation","valid","trs_reference_waveform_estimator",0,0,0,0,0,0,0,0,0,0,0
