Direction,UEID,UEIndex,RNTI,BaseStationID,Frame,Slot,GrantContextId,BSAntennaArrayClass,BSAntennaElementClass,BSAntennaArrayType,BSAntennaRows,BSAntennaCols,BSAntennaElements,BSAntennaSpacingH_lambda,BSAntennaSpacingV_lambda,BSAntennaPolarization,BSAntennaAzimuth_deg,BSAntennaNumPorts,BSAntennaHasPhasedArrayObject,UEAntennaArrayClass,UEAntennaElementClass,UEAntennaArrayType,UEAntennaRows,UEAntennaCols,UEAntennaElements,UEAntennaSpacingH_lambda,UEAntennaSpacingV_lambda,UEAntennaPolarization,UEAntennaHeading_deg,UEAntennaNumPorts,UEAntennaHasPhasedArrayObject,ConfiguredBeamSelectionStrategy,PMI,RankIndicator,BeamformingApplied,PrecodingActive,ExplicitBeamWeightsApplied,AppliedBeamIndexSet,AppliedPrecoderPMI,AppliedPrecoderPMIType,AppliedPrecoderCodebookMode,AntennaConfigSource,RuntimeAntennaObjectSource,AntennaRuntimeObjectCreated,ChannelArrayModel,ChannelObjectSource,ChannelObjectClass,ChannelArrayHandlingStatus,ChannelArrayHandlingBlocker,ChannelGeometryCouplingLevel,GeometryAdapterType,GeometryAdapterSource,GeometryAdapterLimitation,GeometryAdapterPortMapping,ChannelUsesCountOnlyAntennaModel,ChannelUsesSameRuntimeAntennaAssumptions,InterferenceChannelObjectSource,InterferenceChannelObjectClass,InterferenceChannelArrayHandlingStatus,InterferenceChannelArrayHandlingBlocker,InterferenceUsesSameRuntimeAntennaAssumptions,InterferencePathUsesSameArrayAssumptions,RuntimeTraceSource,AntennaEvidenceSource,SameFlowEvidenceSource
"DL",1,1,1,1,1,1,"dir=DL;frame=1;slot=1;ue=1;rnti=1;cell=1;harq=0","phased.URA","phased.IsotropicAntennaElement","ura",4,4,64,0.5,0.5,"dual",0,4,1,"phased.ULA","phased.IsotropicAntennaElement","ula",1,2,4,0.5,0.5,"dual",110.436013693643,4,1,"runtime_best_beam_per_link",3,2,1,1,1,"1|3|2|4",0,"type2","type2_mu_mimo","browser_yaml_to_buildInternalConfig_to_CoupledTruthRuntime","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"nrcdl_runtime_array_geometry_channel","sixgr.channel.ChannelFactory.localCreateCDL","nrCDLChannel","runtime_array_shape_spacing_orientation_coupled","","runtime_array_shape_spacing_orientation","backend_native_nrCDLChannel_antenna_array","CoupledTruthRuntime.runtime_antenna_metadata_to_nrCDLChannel","","runtime_array_shape_matches_channel_ports;runtime_array_shape_matches_channel_ports",0,1,"","","","",0,0,"runDLPDSCHThroughput_active_trial","active_runtime_user_context","CoupledTruthRuntime.applyUserContextImpl->runDLPDSCHThroughput"
"DL",2,2,2,1,1,1,"dir=DL;frame=1;slot=1;ue=2;rnti=2;cell=1;harq=0","phased.URA","phased.IsotropicAntennaElement","ura",4,4,64,0.5,0.5,"dual",0,4,1,"phased.ULA","phased.IsotropicAntennaElement","ula",1,2,4,0.5,0.5,"dual",148.606928206169,4,1,"runtime_best_beam_per_link",3,2,1,1,1,"1|3|2|4",0,"type2","type2_mu_mimo","browser_yaml_to_buildInternalConfig_to_CoupledTruthRuntime","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"nrcdl_runtime_array_geometry_channel","sixgr.channel.ChannelFactory.localCreateCDL","nrCDLChannel","runtime_array_shape_spacing_orientation_coupled","","runtime_array_shape_spacing_orientation","backend_native_nrCDLChannel_antenna_array","CoupledTruthRuntime.runtime_antenna_metadata_to_nrCDLChannel","","runtime_array_shape_matches_channel_ports;runtime_array_shape_matches_channel_ports",0,1,"","","","",0,0,"runDLPDSCHThroughput_active_trial","active_runtime_user_context","CoupledTruthRuntime.applyUserContextImpl->runDLPDSCHThroughput"
"UL",1,1,1,1,1,5,"dir=UL;frame=1;slot=5;ue=1;rnti=1;cell=1;harq=0","phased.URA","phased.IsotropicAntennaElement","ura",4,4,64,0.5,0.5,"dual",0,4,1,"phased.ULA","phased.IsotropicAntennaElement","ula",1,2,4,0.5,0.5,"dual",110.436013693643,4,1,"runtime_best_beam_per_link",NaN,2,1,0,0,"",NaN,"runtime_precoder_no_pmi_index","runtime_precoder_mode","browser_yaml_to_buildInternalConfig_to_CoupledTruthRuntime","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"nrcdl_runtime_array_geometry_channel","sixgr.channel.ChannelFactory.localCreateCDL","nrCDLChannel","runtime_array_shape_spacing_orientation_coupled","","runtime_array_shape_spacing_orientation","backend_native_nrCDLChannel_antenna_array","CoupledTruthRuntime.runtime_antenna_metadata_to_nrCDLChannel","","runtime_array_shape_matches_channel_ports;runtime_array_shape_matches_channel_ports",0,1,"","","","",0,0,"runULPUSCHThroughput_active_trial","active_runtime_user_context","CoupledTruthRuntime.applyUserContextImpl->runULPUSCHThroughput"
"UL",2,2,2,1,1,5,"dir=UL;frame=1;slot=5;ue=2;rnti=2;cell=1;harq=0","phased.URA","phased.IsotropicAntennaElement","ura",4,4,64,0.5,0.5,"dual",0,4,1,"phased.ULA","phased.IsotropicAntennaElement","ula",1,2,4,0.5,0.5,"dual",148.606928206169,4,1,"runtime_best_beam_per_link",NaN,2,1,0,0,"",NaN,"runtime_precoder_no_pmi_index","runtime_precoder_mode","browser_yaml_to_buildInternalConfig_to_CoupledTruthRuntime","CoupledTruthRuntime.initialize:AntennaArrayFactory.build",1,"nrcdl_runtime_array_geometry_channel","sixgr.channel.ChannelFactory.localCreateCDL","nrCDLChannel","runtime_array_shape_spacing_orientation_coupled","","runtime_array_shape_spacing_orientation","backend_native_nrCDLChannel_antenna_array","CoupledTruthRuntime.runtime_antenna_metadata_to_nrCDLChannel","","runtime_array_shape_matches_channel_ports;runtime_array_shape_matches_channel_ports",0,1,"","","","",0,0,"runULPUSCHThroughput_active_trial","active_runtime_user_context","CoupledTruthRuntime.applyUserContextImpl->runULPUSCHThroughput"
