UEIndex,RNTI,DL_FrameCount,UL_FrameCount,DL_CoverageStatus,UL_CoverageStatus,DL_Throughput_Mbps,UL_Throughput_Mbps,DL_BLER,UL_BLER,DL_MeanMeasuredSINR_dB,UL_MeanMeasuredSINR_dB,UserThroughput_Mbps,DL_HARQFailureRate,UL_HARQFailureRate,DL_HARQObservationCount,UL_HARQObservationCount,HARQFailureRate,HARQObservationCount
1,1,1,1,"executed","executed",0.4768,0.528,0,0,10.4661781105693,7.4022862661068,1.0048,0,0,1,1,0,2
2,2,1,1,"executed","executed",0.4768,0.528,0,0,15.9445900882332,10.0247020344934,1.0048,0,0,1,1,0,2
3,NaN,0,0,"not_executed","not_executed",NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,0,0,"not_executed","not_executed",NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
