Direction,ObservedRows,ConfiguredTimingOffset_samples,MeanInjectedTimingOffset_samples,MeanEstimatedTimingOffset_PreCorrection_samples,MeanResidualTimingOffset_samples,MaxConfiguredAppliedMismatch_samples,MaxResidualTimingError_samples,TimingOffsetConfiguredAppliedOk,EvidenceSource
"DL",2,0,0,NaN,0,0,0,1,"trial_rf_timing_columns"
"UL",0,0,NaN,NaN,NaN,NaN,NaN,0,"evidence_missing"
