Direction,ObservedRows,ConfiguredCFO_Hz,MeanInjectedCFO_Hz,MeanEstimatedCFO_PreCorrection_Hz,MeanResidualCFO_PostCorrection_Hz,MaxConfiguredAppliedMismatch_Hz,MaxResidualCFO_Hz,CfoConfiguredAppliedOk,EvidenceSource
"DL",2,0,0,NaN,NaN,0,NaN,0,"trial_rf_cfo_columns"
"UL",0,0,NaN,NaN,NaN,NaN,NaN,0,"evidence_missing"
