UEIndex,RNTI,DL_FrameCount,UL_FrameCount,DL_CoverageStatus,UL_CoverageStatus,DL_Throughput_Mbps,DL_BLER,DL_MeanMeasuredSINR_dB,UserThroughput_Mbps,DL_HARQFailureRate,DL_HARQObservationCount,HARQFailureRate,HARQObservationCount
1,1,1,0,"executed","not_executed",2.384,0,10.4661781105693,2.384,0,1,0,1
2,2,1,0,"executed","not_executed",2.384,0,15.9445900882332,2.384,0,1,0,1
3,NaN,0,0,"not_executed","not_executed",NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
4,NaN,0,0,"not_executed","not_executed",NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
