Direction,LinkAdaptationMode,ConfiguredLinkAdaptationMode,LinkAdaptationDomain,DirectionPolicy,ConfiguredMCSSelectionPolicy,ConfiguredMCSSelectionMode,RequestedOperatingPointSource,ActualMCSSelectionModeAuthority,CQITable,MCSTable,MCSSelectionSource,MCSValueStatus,OLLADomain,CalibrationProfile,FixedMCSIndex,FixedModulation,FixedTargetCodeRate,Numerology_mu,SCS_kHz,SlotDuration_ms,SlotsPerFrame,SymbolsPerSlot,ConfiguredGridNumRBs,ActiveGridNumRBs,ActiveGridSource,NumerologySource,TimingInterpretationSource,CQISource,WidebandSINRMargin_dB,MultiUserEnabled,ConfiguredUsers,BrowserExecutionMode,UserExecutionModel,ConfiguredLayers,NoiseOperatingMode,ConfiguredSNRMetadataOnly,DopplerSourceMode,ResolvedDopplerHz,MobilitySpeed_kmh,InterferenceMode,FullInterfererChannelTruthUsed,ChannelArrayModel,ChannelObjectSource,ChannelObjectClass,ChannelArrayHandlingStatus,ChannelArrayHandlingBlocker,ChannelGeometryCouplingLevel,GeometryAdapterType,GeometryAdapterSource,GeometryAdapterLimitation,GeometryAdapterPortMapping,ChannelUsesSameRuntimeAntennaAssumptions,InterferenceChannelObjectSource,InterferenceChannelObjectClass,InterferenceChannelArrayHandlingStatus,InterferenceChannelArrayHandlingBlocker,InterferenceUsesSameRuntimeAntennaAssumptions,InterferencePathUsesSameArrayAssumptions,ControlIntegrationMode,PBCHMode,PRACHMode,PDCCHMode,PUCCHMode,SRSMode,TRSMode,TRSRuntimeConsumer,TRSInfluencedDecision,TRSInfluenceDefinition,TRSReceiverIntegrationStatus,TRSReceiverIntegrationBlocker,PBCHGatingActive,PRACHGatingActive,PDCCHGatingActive,SRSGatingActive,TRSGatingActive,ParallelExecutionActive,ConfiguredWorkers,EffectiveWorkers,ParallelDisabledReason,ConfiguredBatchSizeLinks,ConfiguredSchedulerType,ConfiguredMeasurementPeriodSlots,ConfiguredBeamUpdatePeriodSlots,ConfiguredTrafficModel,ConfiguredTrafficTransport,ConfiguredTrafficFlowDirection,ConfiguredTrafficTargetRate_Mbps,TrafficFlowSource,TrafficFlowDerivationMode,TrafficFlowResolvedFlag,CoupledGrantExecutionMode,RunStateSource,SlotTraceSource,SlotTraceRows,CanonicalSlotTraceFirst,TruthModeIndependentSweepForbidden,ExecutionBackend,PHYMode,WaveformBacked,WaveformPHYActive,ProxyPHYActive,FallbackUsed
"DL","cqi_driven","amc","cqi","cqi_driven","cqi_driven","cqi_driven","cqi_link_adaptation","runtime_trial_evidence_pending","table1","qam256_table2","cqi_link_adaptation","","delta_db_required_sinr_margin","cqi_table_amc",20,"256QAM",0.66650390625,1,30,0.5,20,14,24,24,"TS_38_104_V18_8_0_Table_5_3_2_1","3GPP_TS_38_211_V18_8_0_tables_4_2_1_and_4_3_2","canonical_numerology_catalog","csi_feedback",5,1,4,"LLS","slot_coupled_truth",2,"standalone_awgn_snr_argument",0,"configured",0,0,"none",0,"","","","","","","","","","",0,"","","","",0,0,"runtime_control_access_state_gated","enabled","enabled","enabled","runtime_coupled_pucch_grant_waveform_execution","enabled","runtime_shared_receiver_tracking_observer","pending_shared_receiver_tracking_state",0,"trs_runtime_observation_required_before_receiver_tracking_state_update","pending_no_runtime_trs_observation","no_trs_trial_row_in_current_bounded_run",0,0,0,0,0,0,24,1,"parallel_pool_not_active_auto_start_disabled",24,"PF",2,1,"fullBuffer","udp","BIDIR",100,"traffic.scalar_profile_fields","derived_from_scalar_traffic_config",1,"serial_chunked_grant_execution","reports/csv/run_state.csv","reports/csv/slot_trace.csv",0,0,1,"WAVEFORM_LINK_BUNDLE","COUPLED_WAVEFORM_GRANT_EXECUTION",1,1,0,0
"UL","cqi_driven","amc","cqi","cqi_driven","cqi_driven","cqi_driven","cqi_link_adaptation","runtime_trial_evidence_pending","table1","qam256_table2","cqi_link_adaptation","","delta_db_required_sinr_margin","cqi_table_amc",20,"256QAM",0.66650390625,1,30,0.5,20,14,24,24,"TS_38_104_V18_8_0_Table_5_3_2_1","3GPP_TS_38_211_V18_8_0_tables_4_2_1_and_4_3_2","canonical_numerology_catalog","csi_feedback",5,1,4,"LLS","slot_coupled_truth",2,"standalone_awgn_snr_argument",0,"configured",0,0,"none",0,"","","","","","","","","","",0,"","","","",0,0,"runtime_control_access_state_gated","enabled","enabled","enabled","runtime_coupled_pucch_grant_waveform_execution","enabled","runtime_shared_receiver_tracking_observer","pending_shared_receiver_tracking_state",0,"trs_runtime_observation_required_before_receiver_tracking_state_update","pending_no_runtime_trs_observation","no_trs_trial_row_in_current_bounded_run",0,0,0,0,0,0,24,1,"parallel_pool_not_active_auto_start_disabled",24,"PF",2,1,"fullBuffer","udp","BIDIR",100,"traffic.scalar_profile_fields","derived_from_scalar_traffic_config",1,"serial_chunked_grant_execution","reports/csv/run_state.csv","reports/csv/slot_trace.csv",0,0,1,"WAVEFORM_LINK_BUNDLE","COUPLED_WAVEFORM_GRANT_EXECUTION",1,1,0,0
