Direction,TraceSource,SNR_dB,QualityAxis,QualityValueRole,QualitySource,Metric,MeanValue,P05Value,P95Value,SampleCount,BeamManagementProcedure,SignalSourceFamily
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2PrecodingActiveRate",1,1,1,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2PrecodingNumLayers",2,2,2,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2PrecodingNumPorts",64,64,64,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2BeamDetectedRate",1,1,1,2,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"DL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2MisalignmentRate",0,0,0,2,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"DL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2BeamFailureRate",0,0,0,2,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"DL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2PredictionSuccessRate",1,1,1,2,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"DL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2TrialsSinceLastSwitch",0,0,0,2,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"DL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2SwitchEventRate",0,0,0,2,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"DL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2FirstHitEventRate",1,1,1,2,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"DL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2BeamDetectedEventRate",1,1,1,2,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"DL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2MisalignmentEventRate",0,0,0,2,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"DL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2FailureEventRate",0,0,0,2,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"DL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2TrialsToFirstHit",1,1,1,2,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
