Direction,ObservedRows,MeasuredEVMMean_rms,MeasuredEVMMax_rms,MeanPostEqSINR_dB,EVMThreshold_rms,EvmReconciliationOk,EvidenceSource
"DL",2,0.259479196661635,0.34461958663931,13.2053840994013,0.15,0,"trial_modulation_tracking_evm"
"UL",0,NaN,NaN,NaN,0.15,0,"evidence_missing"
