Direction,TraceSource,Slot,Frame,UEIndex,RNTI,ServingCell,ConfiguredSNR_dB,AppliedAWGNSNR_dB,PostEqSINR_dB,MeasuredTrialSINR_dB,MeasuredWidebandSINR_dB,EstimatedWidebandSINR_dB,LargeScaleWidebandSINR_dB,ReceiverHestSINR_dB,DecoderTruthProxySINR_dB,WidebandCQI,CQIValueSource,CQIValueStatus,CQIDerivedMCS,CQIDerivedModulation,CQIDerivedTargetCodeRate,MCSIndex,Modulation,TargetCodeRate,PMI,RankIndicator,ValueRole,ValueSource,ValueStatus
"DL","air_interface/csv/dl_pdsch_trials.csv",1,1,1,1,1,20,20,10.4661781105693,10.4661781105693,10.4661781105693,10.4661781105693,NaN,10.4661781105693,NaN,7,"","",5,"16QAM",0.369140625,1,"QPSK",0.1884765625,3,2,"measured_post_equalization_scheduling_input","canonical_post_equalization_sinr","PASS"
"DL","air_interface/csv/dl_pdsch_trials.csv",1,1,2,2,1,20,20,15.9445900882332,15.9445900882332,15.9445900882332,15.9445900882332,NaN,15.9445900882332,NaN,9,"","",9,"16QAM",0.6015625,1,"QPSK",0.1884765625,3,2,"measured_post_equalization_scheduling_input","canonical_post_equalization_sinr","PASS"
