Slot,Time_s,UEID,Lat,Lon,X_m,Y_m,Z_m,Speed_kmh,Speed_mps,Heading_deg,Heading_rad,CellID,ServingCell,ServingSite,ServingSector,ServingBeamIndex,ServingBeamGain_dB,ConfiguredSNR_dB,ConfiguredSNRSource,ServingRSRP_dBm,RSRP_dBm,RxPower_dBm,BasePathloss_dB,Pathloss_dB,LOSFlag,LOSState,ShadowFading_dB,O2I_dB,Distance2D_m,Distance3D_m,PropagationDelay_s,RadialVelocity_mps,ExpectedDopplerHz,AppliedDopplerHz,SignedDoppler_Hz,ChannelComplianceMode,PathlossModelSource,PathlossComplianceStatus,FallbackUsedForPathloss,O2IModelSource,O2IComplianceStatus,LOSProbabilitySource,LOSComplianceStatus,ReceiverHestSINR_dB,ReceiverHestSINRSource,PostEqSINR_dB,PostEqSINRSource,PostEqSINRValueRole,PostEqSINRValueStatus,DecoderTruthProxySINR_dB,DecoderTruthProxySINRSource,MeasuredTrialSINR_dB,EstimatedWidebandSINR_dB,ReceiverHestWidebandSINR_dB,PostEqWidebandSINR_dB,DecoderTruthProxyWidebandSINR_dB,MeasuredWidebandSINR_dB,LargeScaleWidebandSINR_dB,CSI_RSRP_dB,CSI_RSRPSource,AppliedLargeScaleGain_dB,RSRPSource,ServingRSRPSource,WidebandSINRSource,WidebandSINRValueRole,InterferenceMode,WidebandCQI,CQIDerivedMCS,CQIDerivedModulation,CQIDerivedTargetCodeRate,CoverageScore
1,0,1,19.1210876598968,73.0030055219572,398.468473446729,-119.813316763374,1.5,0,0,110.436013693643,1.92747205173162,1,1,1,1,12,11.7753413529859,20,"configured_operating_point_metadata",33.1814164753936,33.1814164753936,57.7753413529859,0,0,0,"NLOS",0,0,416.091762961979,416.699658272967,1.38996044481201e-06,-0,0,0,-0,"approximate_38901_plus","nrpathloss_runtime_backend","strict_38901_runtime",0,"pathloss_disabled","not_applicable_pathloss_disabled","los_disabled_by_config","not_applicable_los_disabled",10.4661781105693,"canonical_dmrs_estimate_and_equalizer",10.4661781105693,"canonical_post_equalization_sinr","measured_post_equalization_scheduling_input","OK",NaN,"evm_proxy_quarantined_not_decoder_truth",10.4661781105693,-7.53382188943066,10.4661781105693,10.4661781105693,NaN,10.4661781105693,NaN,20.0318938040497,"received_reference_signal_power",0,"large_scale_per_reference_re_power","large_scale_per_reference_re_power","measured_scheduler_csi_conservative_min_channel_estimate_posteq_channel_estimation_guarded_sinr:direction=DL;base_sinr_db=10.466;nmse_db=-25.764;nmse_penalty_db=0.126;mismatch_penalty_db=157.635;total_penalty_db=18.000","measured_post_equalization_scheduling_input","none",7,5,"16QAM",0.369140625,0.597649329035088
1,0,2,19.1218582170766,73.0006682996833,152.64382242627,-34.0389660323463,1.5,0,0,148.606928206169,2.59368018847249,1,1,1,1,13,11.5415100148869,20,"configured_operating_point_metadata",32.9475851372946,32.9475851372946,57.5415100148869,0,0,0,"NLOS",0,0,156.393055259669,158.003283932499,5.27042224432807e-07,-0,0,0,-0,"approximate_38901_plus","nrpathloss_runtime_backend","strict_38901_runtime",0,"pathloss_disabled","not_applicable_pathloss_disabled","los_disabled_by_config","not_applicable_los_disabled",15.9445900882332,"canonical_dmrs_estimate_and_equalizer",15.9445900882332,"canonical_post_equalization_sinr","measured_post_equalization_scheduling_input","OK",NaN,"evm_proxy_quarantined_not_decoder_truth",15.9445900882332,-2.05540991176677,15.9445900882332,15.9445900882332,NaN,15.9445900882332,NaN,19.8564072174908,"received_reference_signal_power",0,"large_scale_per_reference_re_power","large_scale_per_reference_re_power","measured_scheduler_csi_conservative_min_channel_estimate_posteq_channel_estimation_guarded_sinr:direction=DL;base_sinr_db=15.945;nmse_db=-29.487;nmse_penalty_db=0.188;mismatch_penalty_db=165.281;total_penalty_db=18.000","measured_post_equalization_scheduling_input","none",9,9,"16QAM",0.6015625,0.693014696316085
