TransmittedRI,ReceiverContextDigest,ReceiverAssignmentDigest,BitsRecovered,EvidenceClass
1,1dc02778c44ba4c22fc7773cf6a5cac2ab4f7e3003dd26c6a9c4a9aa744a7c14,489bf5b1797463bef9c15f956994dcf6fddc688eee2aeafa6bc96f28440fc923,1,declared_obligation_actual_PUCCH_component_not_integrated
2,1dc02778c44ba4c22fc7773cf6a5cac2ab4f7e3003dd26c6a9c4a9aa744a7c14,489bf5b1797463bef9c15f956994dcf6fddc688eee2aeafa6bc96f28440fc923,1,declared_obligation_actual_PUCCH_component_not_integrated
