Duplex,TransmissionID,DataAbsoluteSlot0,FeedbackAbsoluteSlot0,HARQProcess,ScheduledPRI,TXCommittedAtSample,Source,Status,UEControlReceptionClaimed,UCIObservationClaimed
TDD,88b4f24da33718626d4fca37a400f0bee17cbc44ee3eac59e77bc3a5e8c7dd74,0,3,0,0,1101,gnb_transmitted_schedule_expectation_not_received_UCI,awaiting_physical_feedback_observation,0,0
TDD,8a0ee3191edb94d7717b38491a8ec5ce7140f7ebba0bc746cc756f97e647f1b8,1,3,1,0,8781,gnb_transmitted_schedule_expectation_not_received_UCI,awaiting_physical_feedback_observation,0,0
FDD,88b4f24da33718626d4fca37a400f0bee17cbc44ee3eac59e77bc3a5e8c7dd74,0,1,0,0,1101,gnb_transmitted_schedule_expectation_not_received_UCI,awaiting_physical_feedback_observation,0,0
FDD,8a0ee3191edb94d7717b38491a8ec5ce7140f7ebba0bc746cc756f97e647f1b8,1,2,1,0,8781,gnb_transmitted_schedule_expectation_not_received_UCI,awaiting_physical_feedback_observation,0,0
