RunId,CandidateIndex,SearchSpaceType,RNTIAttempted,ExpectedRNTI,CrcPass,DciFormatDecoded,Metric,IsSelectedCandidate
"sib1_runtime_waveform",1,"Type0-PDCCH-CSS",65535,65535,1,"1_0",45.6668565593414,1
"sib1_runtime_waveform",2,"Type0-PDCCH-CSS",65535,65535,0,"1_0",-12.6996813649724,0
"sib1_runtime_waveform",3,"Type0-PDCCH-CSS",65535,65535,0,"1_0",13.9579991011058,0
