ScenarioID,ConfigHash,RunFolder,DLTargetCodeRate,ULTargetCodeRate,ReferenceSNRdB,Layers,HorizonSeconds,DLTransportBlocks,ULTransportBlocks,DLBLER,ULBLER,DLGoodputBitsPerSecond,ULGoodputBitsPerSecond,CombinedGoodputBitsPerSecond,AllTBsPassed,EligibleForSelection,Source,StandardNR
"research_400mhz_rate080","3a82bf0d04c6f8c31f304b3c972b4fa49e4b99aec261f25efe9a848a3197fb83","C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\research_rate_matrix_91046b23_20260917\execution\lls\research_400mhz_rate_matrix\committed_source\runs\lls\research_400mhz_rate080\candidate_2",0.8,0.8,30,2,0.01,30,40,0,0,1819512000,2426016000,4245528000,1,1,"actual_coded_research_waveform",0
"research_400mhz_rate075","62d24b1cc1811c0feb464ffc93029b2e9e851bfad4f44e2440fe4e9309917c6b","C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\research_rate_matrix_91046b23_20260917\execution\lls\research_400mhz_rate_matrix\committed_source\runs\lls\research_400mhz_rate075\candidate_1",0.75,0.75,30,2,0.01,30,40,0,0,1720512000,2294016000,4014528000,1,1,"actual_coded_research_waveform",0
