CaseID,Domain,Hop,Codeword,Layer,Port,PRB,Symbol,Subcarrier,LinearIndex0Based,Status
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,0,1,73,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,0,2,74,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,0,3,75,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,0,4,76,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,0,5,77,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,0,6,78,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,0,7,79,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,0,8,80,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,0,9,81,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,0,10,82,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,0,11,83,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,0,1,85,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,0,2,86,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,0,3,87,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,0,4,88,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,0,5,89,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,0,6,90,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,0,7,91,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,0,8,92,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,0,9,93,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,0,10,94,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,0,11,95,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,0,0,96,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,0,1,97,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,0,2,98,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,0,3,99,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,0,4,100,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,0,5,101,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,0,6,102,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,0,7,103,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,0,8,104,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,0,9,105,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,0,10,106,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,0,11,107,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,0,1,109,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,0,2,110,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,0,3,111,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,0,4,112,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,0,5,113,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,0,6,114,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,0,7,115,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,0,8,116,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,0,9,117,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,0,10,118,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,0,11,119,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,0,0,120,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,0,1,121,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,0,2,122,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,0,3,123,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,0,4,124,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,0,5,125,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,0,6,126,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,0,7,127,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,0,8,128,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,0,9,129,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,0,10,130,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,0,11,131,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,0,1,133,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,0,2,134,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,0,3,135,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,0,4,136,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,0,5,137,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,0,6,138,PASS
