ImageFile,SourceCSV,Width,Height,AxesCount,SeriesCount,FinitePointCount,ExpectedXLabel,ActualXLabel,ExpectedYLabel,ActualYLabel,ExpectedTitleToken,ActualTitle,SourceCSV_SHA256,PNG_SHA256,Status
pusch_resource_grid_ownership.png,pusch_resource_ownership.csv,998,714,1,3,1944,PRB / subcarrier,PRB / subcarrier,OFDM symbol,OFDM symbol,PUSCH resource ownership,PUSCH resource ownership,929c65686d807ab40f6891d6f7cb973918b3a9cce7074e88f1aa90062e6778c3,83db2cc3f27fb660a4231423d3ee60fd2a5470940b80120f4d680b1116d26a89,PASS
pusch_dmrs_ptrs_hop_map.png,pusch_dmrs_matrix.csv|pusch_ptrs_matrix.csv|pusch_frequency_hopping.csv,1010,714,1,3,1914,Subcarrier / PRB,Subcarrier / PRB,OFDM symbol,OFDM symbol,PUSCH DM-RS PT-RS hopping,PUSCH DM-RS PT-RS hopping,pusch_dmrs_matrix.csv=96bd8c146d317c9f22e91d6808c17ab681090754d6ee532f011a4d1b06b158f5|pusch_ptrs_matrix.csv=cee69edc26472add999709c44a848807b0bd9dd25fd2b5f160cac9c48ba32c6b|pusch_frequency_hopping.csv=ee941772364191790524c159bc1d732f59c47f8252ccab1c4642c845f108e3e5,dbe10c9fd7d9c589a27891857e2caf6a2f2d7514e5f8de1adfd4e3edc361f56f,PASS
pusch_uci_bit_allocation.png,pusch_uci_multiplexing.csv,1024,717,1,4,7510,Coded-bit position,Coded-bit position,Payload owner,Payload owner,UCI multiplexing,UCI multiplexing,9c4febe8ea87222a9449c60880cc5998e68ad7ef4f2696d546cf743afc4b36ec,9ffef1fc7c27068c9195d5c51837c044b80ddfff9252a07f18b70feb0c60aa58,PASS
pusch_codeword_layer_mapping.png,pusch_codeword_layer_map.csv,987,717,1,2,36,Layer,Layer,Mapped symbols,Mapped symbols,PUSCH codeword-to-layer mapping,PUSCH codeword-to-layer mapping,644d86c52b73c96445baf8cea410475e700e9a3c0db406d1d6b951397189ca69,baa6235bf1a0bff3a78e19283f40db3ec73f1e4d9df71dd0aa1c581b79d9dfc8,PASS
pusch_transform_precoding_spectrum.png,pusch_transform_precoding.csv,1000,714,1,2,288,Subcarrier,Subcarrier,Magnitude / power,Magnitude / power,Transform precoding spectrum,Transform precoding spectrum,ae1d4db279168cd53900e48b476cfedcc748ad5d589dd0020365315a6286b708,f10d32e04805819be45832314eec4d8c15733fa3ea8c866d6e00af6ff2754e5c,PASS
pusch_papr_ccdf.png,pusch_transform_precoding.csv,991,717,1,2,128,PAPR (dB),PAPR (dB),CCDF,CCDF,PUSCH PAPR,PUSCH PAPR,ae1d4db279168cd53900e48b476cfedcc748ad5d589dd0020365315a6286b708,a5d6e798297ece2916473bfc69b3ddbe3aa16238491285ed8b68dcab10cf88cf,PASS
pusch_frequency_hop_timeline.png,pusch_frequency_hopping.csv,995,717,1,2,1764,Slot / OFDM symbol,Slot / OFDM symbol,PRB / hop,PRB / hop,PUSCH frequency hopping,PUSCH frequency hopping,ee941772364191790524c159bc1d732f59c47f8252ccab1c4642c845f108e3e5,de91bbcc8aabc4384c021a2a2ee3543e17994cc05e5849e88b95f6ab1535b453,PASS
pusch_srs_tpmi_selection.png,pusch_srs_precoder_selection.csv,986,714,1,3,36,SRS measurement / case,SRS measurement / case,RI SRI TPMI metric,RI SRI TPMI metric,SRS-derived uplink precoding,SRS-derived uplink precoding,f903e49f6c67d88bd46e88fdb86893883b2bc25f1535972dec0ffb974af6e986,3f8ff8ae5d3c408a14b6e4929f055f24d180091bad7800a54271d14feaede947,PASS
pusch_power_control_convergence.png,pusch_power_control.csv,992,714,1,2,48,Slot / TPC command,Slot / TPC command,Transmit power (dBm),Transmit power (dBm),PUSCH power control,PUSCH power control,840a14679bb9af81ec0c51d538c21b6ad5116850a8b9956b6d872a48ddd795e0,4adf0cf05932e7c037ea48829246a400213627e0ab731ffe148bd0e01c9f1db8,PASS
pusch_bler_vs_snr.png,pusch_bler_curve.csv,988,717,1,1,4,SNR (dB),SNR (dB),BLER,BLER,PUSCH BLER,PUSCH BLER,1a5a3c865c9693caa6f55c80d6be3cb8148a602c2522d2f7ae5851734f2ec189,58a5490c18cd8edf75a92ae4f01335499dd863e3e9bf4fa11da769a9acd86820,PASS
pusch_per_layer_sinr.png,pusch_receiver_metrics.csv,992,717,1,1,16,Layer / operating point,Layer / operating point,Measured SINR (dB),Measured SINR (dB),PUSCH per-layer SINR,PUSCH per-layer SINR,e20830ec5c7b56ebb5903f921a83b43f4dc30934a8c17dd21a5a6622fd41a855,c3459c0b59fa114adbf812f52e86f9eafb16f6e48b8c5978637b7558920ccecb,PASS
