CaseID,UEID,ServingCellID,CCID,BWPId,SRSResourceSetID,SRSResourceID,SRSUsage,MeasurementSlot,CurrentSlot,AgeSlots,MaxAgeSlots,MeasurementConfigurationEpoch,CurrentConfigurationEpoch,HEstimateDigest,NoiseVariance,CovarianceDigest,SelectedRI,SelectedSRI,SelectedTPMI,SelectionMetric,DecisionID,DecisionSource,DecisionValid,AppliedDecisionID,AppliedTPMI,AppliedPrecoderDigest,ConfiguredTPMIFallbackUsed,Status
SRS-001,UE1,0,0,1,2,3,codebook,100,102,2,8,4,4,9ceed2d18cdd27d35c14096ab3f5478a49e0c7861aee5f7e65db04746f76abe5,0.01,COV-VALID,1,0,0,6.6582114827517946,SRS-DEC-SRS-001,measured_srs_post_equalization_mi,1,SRS-DEC-SRS-001,0,9ceed2d18cdd27d35c14096ab3f5478a49e0c7861aee5f7e65db04746f76abe5,0,PASS
SRS-002,UE1,0,0,1,2,3,codebook,100,102,2,8,4,4,5cd82ff1cfb9364f5a93a5fab92a47afbda0f3a83baa7bf2b344e348148d45f7,0.01,COV-VALID,2,0,0,10.658291284349286,SRS-DEC-SRS-002,measured_srs_post_equalization_mi,1,SRS-DEC-SRS-002,0,a1754f795bae0a42760a77f225ab5a171a540edb58d5ee15c8b995f509888b30,0,PASS
SRS-003,UE1,0,0,1,2,3,codebook,100,102,2,8,4,4,6c3e6fb3a4df27eadd3e4533cce59b64a7496df193603da88ea9153f07c7e082,0.01,COV-VALID,2,0,0,11.34485068394299,SRS-DEC-SRS-003,measured_srs_post_equalization_mi,1,SRS-DEC-SRS-003,0,a1754f795bae0a42760a77f225ab5a171a540edb58d5ee15c8b995f509888b30,0,PASS
SRS-004,UE1,0,0,1,2,3,codebook,100,102,2,8,4,4,87b6dff439367a0d417e2362a4eba33352c75e6dac012a826956b28c080ea88f,0.01,COV-VALID,2,0,0,9.4273128441349634,SRS-DEC-SRS-004,measured_srs_post_equalization_mi,1,SRS-DEC-SRS-004,0,a1754f795bae0a42760a77f225ab5a171a540edb58d5ee15c8b995f509888b30,0,PASS
SRS-005,UE1,0,0,1,2,3,codebook,100,102,2,8,4,4,d173fd5c9266f4e47422a5e2d2fe5c3201a7b94e0b60ca7070890bf666bfe52e,0.01,COV-VALID,2,0,0,5.6796208433756989,SRS-DEC-SRS-005,measured_srs_post_equalization_mi,1,SRS-DEC-SRS-005,0,a1754f795bae0a42760a77f225ab5a171a540edb58d5ee15c8b995f509888b30,0,PASS
SRS-006,UE1,0,0,1,2,3,codebook,100,102,2,8,4,4,f9c8c6d4c9f78391f9ec15b11858c12e84094a75ca51f88f91639b7eecc659a2,0.01,COV-VALID,4,0,0,18.801758872564371,SRS-DEC-SRS-006,measured_srs_post_equalization_mi,1,SRS-DEC-SRS-006,0,be3f78a2c77a5e77df60608d5d7745635aec9215667429dcf8e11d5e5b9aca19,0,PASS
SRS-007,UE1,0,0,1,2,3,codebook,100,102,2,8,4,4,37d8104ef2e4953cb7e362d891a7ceefcc1833061cf80e96425fb9047bcdb732,0.01,COV-VALID,4,0,0,13.346323272660099,SRS-DEC-SRS-007,measured_srs_post_equalization_mi,1,SRS-DEC-SRS-007,0,be3f78a2c77a5e77df60608d5d7745635aec9215667429dcf8e11d5e5b9aca19,0,PASS
SRS-008,UE1,0,0,1,2,3,codebook,100,102,2,8,4,4,d18f4750641161a27820852e0424221bdc2c46f2204ac7c6cf7bae8f1c06fd54,0.01,COV-VALID,4,0,0,12.666778778830352,SRS-DEC-SRS-008,measured_srs_post_equalization_mi,1,SRS-DEC-SRS-008,0,be3f78a2c77a5e77df60608d5d7745635aec9215667429dcf8e11d5e5b9aca19,0,PASS
SRS-009,UE2,1,0,2,5,1,nonCodebook,200,201,1,4,8,8,0e4bcb8572352f9012469dd71bc624bcfdc6d73d165792e34c94109a330fe85d,0.02,COV-VALID,1,0,0,5.6724253419714952,SRS-DEC-SRS-009,measured_srs_post_equalization_mi,1,SRS-DEC-SRS-009,0,9ceed2d18cdd27d35c14096ab3f5478a49e0c7861aee5f7e65db04746f76abe5,0,PASS
SRS-010,UE2,1,0,2,5,2,nonCodebook,200,201,1,4,8,8,e45277d75d32bfcd1cefbc2ee16d84d5accae05a65fedb2e06cc36db66aaadab,0.02,COV-VALID,2,0,NaN,11.34485068394299,SRS-DEC-SRS-010,measured_srs_post_equalization_mi,1,SRS-DEC-SRS-010,NaN,6c3e6fb3a4df27eadd3e4533cce59b64a7496df193603da88ea9153f07c7e082,0,PASS
SRS-011,UE2,1,0,2,5,3,nonCodebook,200,201,1,4,8,8,e39d2cd632d11de831cc5769df5d9275d9b41f8fd587337963c592d2a67a8431,0.02,COV-VALID,3,0,NaN,17.017276025914484,SRS-DEC-SRS-011,measured_srs_post_equalization_mi,1,SRS-DEC-SRS-011,NaN,e43376eaa3f5d8be5c7521b55d0cd8dfa85be82972031e4400302966d34da6e1,0,PASS
SRS-012,UE2,1,0,2,5,4,nonCodebook,200,201,1,4,8,8,f9c8c6d4c9f78391f9ec15b11858c12e84094a75ca51f88f91639b7eecc659a2,0.02,COV-VALID,4,0,NaN,22.689701367885981,SRS-DEC-SRS-012,measured_srs_post_equalization_mi,1,SRS-DEC-SRS-012,NaN,f9c8c6d4c9f78391f9ec15b11858c12e84094a75ca51f88f91639b7eecc659a2,0,PASS
