Direction,FramesObserved,RetxObserved,AckRate,NackRate,MeanMeasuredSINR_dB,MeanWidebandCQI,MeanCQIDerivedMCS,Notes
"DL",6,0,0,1,3.58029872542375,14.6666666666667,19,"Canonical slot-runtime HARQ process summary."
"UL",2,0,0,1,5.16189862572454,15,19,"Canonical slot-runtime HARQ process summary."
