Direction,SNR_dB,SNRSource,SNRValueRole,PacketID,Attempt,Frame,Slot,HARQProcess,RV,IsRetransmission,CurrentDecodeOK,CombinedDecodeOK,ACK,NACK,DTX,StopCondition,RTT_slots,RTT_ms,FeedbackBits,RetransmissionCount,RecoveryAfterRetx,TBSize_bits,MeasuredSINR_dB,HARQCombiningApplied,HARQSoftCombiningPositionAware,LLRCombiningGain_dB,ProbeMode,Source,ExecutionBackend,ApproximationMode,Notes
"DL",-1.98491582807434,"runtime_receiver_measured_sinr","measured_receiver_observation",1,1,1,16,0,0,0,0,0,0,1,0,"observed_nack_at_run_end",3,1.5,1,0,0,184424,-1.98491582807434,0,0,0,"canonical_slot_runtime_truth","canonical_slot_runtime_harq_timeline","runtime_observation_schema_adapter","none","Derived only from harq/csv/live_harq_observation_timeline.csv; no replay PHY was launched."
"DL",-0.931491516601934,"runtime_receiver_measured_sinr","measured_receiver_observation",2,1,1,16,0,0,0,0,0,0,1,0,"observed_nack_at_run_end",3,1.5,1,0,0,184424,-0.931491516601934,0,0,0,"canonical_slot_runtime_truth","canonical_slot_runtime_harq_timeline","runtime_observation_schema_adapter","none","Derived only from harq/csv/live_harq_observation_timeline.csv; no replay PHY was launched."
"DL",1.78334819647079,"runtime_receiver_measured_sinr","measured_receiver_observation",3,1,1,17,0,0,0,0,0,0,1,0,"observed_nack_at_run_end",2,1,1,0,0,184424,1.78334819647079,0,0,0,"canonical_slot_runtime_truth","canonical_slot_runtime_harq_timeline","runtime_observation_schema_adapter","none","Derived only from harq/csv/live_harq_observation_timeline.csv; no replay PHY was launched."
"DL",1.99747680577126,"runtime_receiver_measured_sinr","measured_receiver_observation",4,1,1,17,0,0,0,0,0,0,1,0,"observed_nack_at_run_end",2,1,1,0,0,184424,1.99747680577126,0,0,0,"canonical_slot_runtime_truth","canonical_slot_runtime_harq_timeline","runtime_observation_schema_adapter","none","Derived only from harq/csv/live_harq_observation_timeline.csv; no replay PHY was launched."
"DL",9.66593678748685,"runtime_receiver_measured_sinr","measured_receiver_observation",5,1,1,18,1,0,0,0,0,0,1,0,"observed_nack_at_run_end",1,0.5,1,0,0,184424,9.66593678748685,0,0,0,"canonical_slot_runtime_truth","canonical_slot_runtime_harq_timeline","runtime_observation_schema_adapter","none","Derived only from harq/csv/live_harq_observation_timeline.csv; no replay PHY was launched."
"DL",10.9514379074899,"runtime_receiver_measured_sinr","measured_receiver_observation",6,1,1,18,1,0,0,0,0,0,1,0,"observed_nack_at_run_end",1,0.5,1,0,0,184424,10.9514379074899,0,0,0,"canonical_slot_runtime_truth","canonical_slot_runtime_harq_timeline","runtime_observation_schema_adapter","none","Derived only from harq/csv/live_harq_observation_timeline.csv; no replay PHY was launched."
"UL",4.89785429021686,"runtime_receiver_measured_sinr","measured_receiver_observation",7,1,1,20,0,0,0,0,0,0,1,0,"observed_nack_at_run_end",4,2,1,0,0,200808,4.89785429021686,0,0,0,"canonical_slot_runtime_truth","canonical_slot_runtime_harq_timeline","runtime_observation_schema_adapter","none","Derived only from harq/csv/live_harq_observation_timeline.csv; no replay PHY was launched."
"UL",5.42594296123223,"runtime_receiver_measured_sinr","measured_receiver_observation",8,1,1,20,0,0,0,0,0,0,1,0,"observed_nack_at_run_end",4,2,1,0,0,200808,5.42594296123223,0,0,0,"canonical_slot_runtime_truth","canonical_slot_runtime_harq_timeline","runtime_observation_schema_adapter","none","Derived only from harq/csv/live_harq_observation_timeline.csv; no replay PHY was launched."
