ImageFile,SourceCSV,SourceCSVSHA256,PNGSHA256,Width,Height,Title,XLabel,YLabel,AxesCount,SeriesCount,FinitePointCount,Status
rsla_impact_dmrs_doppler.png,rsla_impact_reference_signals.csv,af08bc567ec40a4873faa40f983cf31ea93780d7bbcfada29c834450745ed568,d3ee2cc742860cf6b172eaf91d0329a0c0049dbef43e08279858def303eae125,1200,760,DM-RS density versus Doppler — production evidence,Doppler / profile,BLER / NMSE,1,1,100,PASS
rsla_impact_csirs_overhead.png,rsla_impact_reference_signals.csv,af08bc567ec40a4873faa40f983cf31ea93780d7bbcfada29c834450745ed568,04b1378ba1b2942d84e97a36d6ea3b7293c81f8a74103208dc81d43d0de74598,1200,760,CSI-RS overhead and accuracy — production evidence,CSI-RS profile,overhead / error,1,1,100,PASS
rsla_impact_csirs_periodicity.png,rsla_impact_reference_signals.csv,af08bc567ec40a4873faa40f983cf31ea93780d7bbcfada29c834450745ed568,eabf18be55c11c21350ddac6b0195a722ac84b798ec76e615256b788cc87cf39,1200,760,CSI-RS periodicity impact — production evidence,periodicity,age / goodput,1,1,100,PASS
rsla_impact_srs_ports.png,rsla_impact_reference_signals.csv,af08bc567ec40a4873faa40f983cf31ea93780d7bbcfada29c834450745ed568,3ee79b448e208907d3518e5e416765275664fd319c3f78de86411a41e9a26300,1200,760,SRS port-count impact — production evidence,ports,NMSE / rank accuracy,1,1,100,PASS
rsla_impact_srs_hopping.png,rsla_impact_reference_signals.csv,af08bc567ec40a4873faa40f983cf31ea93780d7bbcfada29c834450745ed568,6ca4f0979ad8b04254b61830b81bc765a4ab6b660996f5f681d19d218a598daa,1200,760,SRS hopping impact — production evidence,hopping profile,coverage / NMSE,1,1,100,PASS
rsla_impact_srs_periodicity.png,rsla_impact_reference_signals.csv,af08bc567ec40a4873faa40f983cf31ea93780d7bbcfada29c834450745ed568,6208f5df6400cb5fdf835d01d551d8d8fc958ca175a4099bdcb5f4928d8012c9,1200,760,SRS periodicity impact — production evidence,periodicity,age / overhead,1,1,100,PASS
rsla_impact_trs_cfo.png,rsla_impact_tracking.csv,d22a6244881b4fceb3e61cdcd14383486f4e54de51b304b29db1b19f01b8485d,e8aa27bb6776eaa18de71a3af4b5ccf9ead7b28b3bcd3c0b60c1bb2d2f3060f4,1200,760,TRS CFO tracking impact — production evidence,CFO case,residual CFO / EVM,1,1,80,PASS
rsla_impact_trs_timing.png,rsla_impact_tracking.csv,d22a6244881b4fceb3e61cdcd14383486f4e54de51b304b29db1b19f01b8485d,e09506ef183624efdd96c75c3272610c984458f479e8821d3d433fc1ec09b4ab,1200,760,TRS timing tracking impact — production evidence,timing case,residual timing / EVM,1,1,80,PASS
rsla_impact_ptrs_phase_noise.png,rsla_impact_tracking.csv,d22a6244881b4fceb3e61cdcd14383486f4e54de51b304b29db1b19f01b8485d,6590a13edf07f8a2f2b0d26412b2b4c4c3eb1ced9c834bf0605b2ee4ae38871d,1200,760,PT-RS phase-noise impact — production evidence,phase noise,CPE / EVM / BLER,1,1,80,PASS
rsla_impact_measurement_rsrp.png,rsla_impact_measurements.csv,0ef73b68d9668c385c8f8db6942a9816cd40568ef9df900e51456f4bd0773ae6,ebfdd50251dc095506d9be76b26af228fb60c4762bef3a123fb350d1edd26c45,1200,760,RSRP measurement impact — production evidence,case,measurement error,1,1,100,PASS
