ExperimentID,FamilyID,PairID,Arm,Seed,Trial,PrimaryMetric,MetricValue,Outcome,PayloadHash,ChannelHash,NoiseHash,Status,ExecutionBackend,ApproximationMode,FactorValue
F01-E01,F01,F01-P01,BASELINE,11,1,resource_accuracy,0.32596,PASS,9f4bfcc1cbb35c62e43c97d68ef9426e68796200c3dc24fbedb24b0ca955421c,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,38b2d03f3256502b1e9db02b2d12aa27a46033ffe6d8c0ef0f2cf6b1530be9d8,PASS,production_component_impact_study,study_not_full_waveform_truth,A
F01-E02,F01,F01-P01,TREATMENT,11,1,resource_accuracy,0.50298,PASS,9f4bfcc1cbb35c62e43c97d68ef9426e68796200c3dc24fbedb24b0ca955421c,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,38b2d03f3256502b1e9db02b2d12aa27a46033ffe6d8c0ef0f2cf6b1530be9d8,PASS,production_component_impact_study,study_not_full_waveform_truth,B
F01-E03,F01,F01-P02,BASELINE,23,2,resource_accuracy,0.36044,PASS,9f4bfcc1cbb35c62e43c97d68ef9426e68796200c3dc24fbedb24b0ca955421c,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,a934c244755c66aebb0d6f9f5687038ffae8f00b00b28b4e17521016393f38b9,PASS,production_component_impact_study,study_not_full_waveform_truth,A
F01-E04,F01,F01-P02,TREATMENT,23,2,resource_accuracy,0.53747,PASS,9f4bfcc1cbb35c62e43c97d68ef9426e68796200c3dc24fbedb24b0ca955421c,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,a934c244755c66aebb0d6f9f5687038ffae8f00b00b28b4e17521016393f38b9,PASS,production_component_impact_study,study_not_full_waveform_truth,B
F01-E05,F01,F01-P03,BASELINE,47,3,resource_accuracy,0.39492,PASS,9f4bfcc1cbb35c62e43c97d68ef9426e68796200c3dc24fbedb24b0ca955421c,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,ce02d4b6d1aceeea96a562c10923d590607df6182b4a3405ad10be85b6354787,PASS,production_component_impact_study,study_not_full_waveform_truth,A
F01-E06,F01,F01-P03,TREATMENT,47,3,resource_accuracy,0.57195,PASS,9f4bfcc1cbb35c62e43c97d68ef9426e68796200c3dc24fbedb24b0ca955421c,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,ce02d4b6d1aceeea96a562c10923d590607df6182b4a3405ad10be85b6354787,PASS,production_component_impact_study,study_not_full_waveform_truth,B
F01-E07,F01,F01-P04,BASELINE,89,4,resource_accuracy,0.4294,PASS,9f4bfcc1cbb35c62e43c97d68ef9426e68796200c3dc24fbedb24b0ca955421c,cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,b695396d3070a538dafaeed76a84fb93d8481fdd7f4672113c5a968130c2e9f4,PASS,production_component_impact_study,study_not_full_waveform_truth,A
F01-E08,F01,F01-P04,TREATMENT,89,4,resource_accuracy,0.60643,PASS,9f4bfcc1cbb35c62e43c97d68ef9426e68796200c3dc24fbedb24b0ca955421c,cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,b695396d3070a538dafaeed76a84fb93d8481fdd7f4672113c5a968130c2e9f4,PASS,production_component_impact_study,study_not_full_waveform_truth,B
F01-E09,F01,F01-P05,BASELINE,131,5,resource_accuracy,0.46389,PASS,9f4bfcc1cbb35c62e43c97d68ef9426e68796200c3dc24fbedb24b0ca955421c,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,2730a07b090013287fb53d7845830339ffac5eaac0ff7e4c6a25af6541d05620,PASS,production_component_impact_study,study_not_full_waveform_truth,A
F01-E10,F01,F01-P05,TREATMENT,131,5,resource_accuracy,0.64091,PASS,9f4bfcc1cbb35c62e43c97d68ef9426e68796200c3dc24fbedb24b0ca955421c,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,2730a07b090013287fb53d7845830339ffac5eaac0ff7e4c6a25af6541d05620,PASS,production_component_impact_study,study_not_full_waveform_truth,B
