FamilyID,Arm,FactorValue,Trials,Errors,Rate,CILow,CIHigh,Incomplete,Status
F42,TREATMENT,targetBalanced,6,0,0,2.7756e-17,0.39033,false,PASS
F43,BASELINE,unbounded,6,0,0,2.7756e-17,0.39033,false,PASS
F43,TREATMENT,bounded,6,0,0,2.7756e-17,0.39033,false,PASS
F44,BASELINE,persistent,6,0,0,2.7756e-17,0.39033,false,PASS
F44,TREATMENT,bounded,6,0,0,2.7756e-17,0.39033,false,PASS
F45,BASELINE,0,6,0,0,2.7756e-17,0.39033,false,PASS
F45,TREATMENT,8,6,0,0,2.7756e-17,0.39033,false,PASS
F46,BASELINE,80,6,0,0,2.7756e-17,0.39033,false,PASS
F46,TREATMENT,20,6,0,0,2.7756e-17,0.39033,false,PASS
F47,BASELINE,0,6,0,0,2.7756e-17,0.39033,false,PASS
F47,TREATMENT,3,6,0,0,2.7756e-17,0.39033,false,PASS
F48,BASELINE,0,6,0,0,2.7756e-17,0.39033,false,PASS
F48,TREATMENT,320,6,1,0.16667,0.030053,0.5635,false,PASS
F49,BASELINE,fresh,6,0,0,2.7756e-17,0.39033,false,PASS
F49,TREATMENT,stale,6,2,0.33333,0.096771,0.70001,false,PASS
F50,BASELINE,off,6,0,0,2.7756e-17,0.39033,false,PASS
F50,TREATMENT,measuredOn,6,0,0,2.7756e-17,0.39033,false,PASS
F51,BASELINE,fresh,6,0,0,2.7756e-17,0.39033,false,PASS
F51,TREATMENT,stale,6,0,0,2.7756e-17,0.39033,false,PASS
F52,BASELINE,fixed,6,0,0,2.7756e-17,0.39033,false,PASS
F52,TREATMENT,calibrated,6,0,0,2.7756e-17,0.39033,false,PASS
F53,BASELINE,1,6,0,0,2.7756e-17,0.39033,false,PASS
F53,TREATMENT,8,6,0,0,2.7756e-17,0.39033,false,PASS
F54,BASELINE,80,6,0,0,2.7756e-17,0.39033,false,PASS
F54,TREATMENT,10,6,0,0,2.7756e-17,0.39033,false,PASS
F55,BASELINE,stale,6,0,0,2.7756e-17,0.39033,false,PASS
F55,TREATMENT,active,6,0,0,2.7756e-17,0.39033,false,PASS
F56,BASELINE,wrong,6,0,0,2.7756e-17,0.39033,false,PASS
F56,TREATMENT,correct,6,0,0,2.7756e-17,0.39033,false,PASS
F57,BASELINE,leaking,6,0,0,2.7756e-17,0.39033,false,PASS
F57,TREATMENT,isolated,6,1,0.16667,0.030053,0.5635,false,PASS
F58,BASELINE,shared,6,0,0,2.7756e-17,0.39033,false,PASS
F58,TREATMENT,perUE,6,1,0.16667,0.030053,0.5635,false,PASS
F59,BASELINE,oracle,6,0,0,2.7756e-17,0.39033,false,PASS
F59,TREATMENT,measured,6,1,0.16667,0.030053,0.5635,false,PASS
F60,BASELINE,oracle,6,0,0,2.7756e-17,0.39033,false,PASS
F60,TREATMENT,measured,6,0,0,2.7756e-17,0.39033,false,PASS
F61,BASELINE,scalarPenalty,6,0,0,2.7756e-17,0.39033,false,PASS
F61,TREATMENT,waveformProcess,6,0,0,2.7756e-17,0.39033,false,PASS
F62,BASELINE,offline,6,0,0,2.7756e-17,0.39033,false,PASS
F62,TREATMENT,live,6,0,0,2.7756e-17,0.39033,false,PASS
F63,BASELINE,generic,6,0,0,2.7756e-17,0.39033,false,PASS
F63,TREATMENT,pinnedRFProfile,6,0,0,2.7756e-17,0.39033,false,PASS
F64,BASELINE,heuristic,6,0,0,2.7756e-17,0.39033,false,PASS
F64,TREATMENT,measuredCalibrated,6,0,0,2.7756e-17,0.39033,false,PASS
