HARQBits,NoiseOccasions,ReceiveBranches,FalseDetections,FalseACKBits,ACKBitDenominator,OccasionsWithFalseACK,EmpiricalFractionMeetsLimit,DTXToACKBitFraction,Requirement,AnyACKUpperBoundUnderIIDOccasionAssumption,ConfidenceAlpha,QualificationStatus
1,512,2,8,2,512,2,1,0.00390625,0.01,0.012244988396149322,0.05,component_only_no_conformance_or_ACK_miss_qualification
2,512,2,16,12,1024,10,0,0.01171875,0.01,0.03290410845695298,0.05,component_only_no_conformance_or_ACK_miss_qualification
