Entity,EntityType,EntityID,Domain,Direction,Frame,Slot,Symbol,TimestampSim_ms,UEID,CellID,BaseStationID,RNTI,TransportBlockId,HARQProcessId,NDI,RV,PRBCount,ActiveBWFraction,ActiveRank,ActiveTxRUCount,ControlMonitoringLoad,TxPower_dBm,RxPowerEst_dBm,State,Duration_s,Power_W,Energy_J,SuccessfulBits,RFChainCount,BBProcessingEnergy_J,SourceArtifact,Status
"gNB","cell",1,"DL_data","DL",1,1,NaN,0,1,1,1,1,"dir=DL;frame=1;slot=1;ue=1;rnti=1;cell=1;harq=0",0,1,0,12,0.5,2,64,1,46,NaN,"active_tx",0.0005,505.744905872428,0.252872452936214,1192,64,0.096,"air_interface/csv/dl_pdsch_trials.csv","PASS"
"UE","ue",1,"DL_data","DL",1,1,NaN,0,1,1,1,1,"dir=DL;frame=1;slot=1;ue=1;rnti=1;cell=1;harq=0",0,1,0,12,0.5,2,0,0,NaN,33.1814,"active_rx",0.0005,1.5,0.00075,1192,4,0,"air_interface/csv/dl_pdsch_trials.csv","PASS"
"gNB","cell",1,"DL_data","DL",1,1,NaN,0,2,1,1,2,"dir=DL;frame=1;slot=1;ue=2;rnti=2;cell=1;harq=0",0,1,0,12,0.5,2,64,1,46,NaN,"active_tx",0.0005,505.744905872428,0.252872452936214,1192,64,0.096,"air_interface/csv/dl_pdsch_trials.csv","PASS"
"UE","ue",2,"DL_data","DL",1,1,NaN,0,2,1,1,2,"dir=DL;frame=1;slot=1;ue=2;rnti=2;cell=1;harq=0",0,1,0,12,0.5,2,0,0,NaN,32.9476,"active_rx",0.0005,1.5,0.00075,1192,4,0,"air_interface/csv/dl_pdsch_trials.csv","PASS"
"UE","ue",1,"UL_data","UL",1,5,NaN,2,1,1,1,1,"dir=UL;frame=1;slot=5;ue=1;rnti=1;cell=1;harq=0",0,1,0,12,0.5,2,4,0,23,NaN,"active_tx",0.0005,1.57007494713397,0.000785037473566983,1320,4,0,"air_interface/csv/ul_pusch_trials.csv","PASS"
"gNB","cell",1,"UL_data","UL",1,5,NaN,2,1,1,1,1,"dir=UL;frame=1;slot=5;ue=1;rnti=1;cell=1;harq=0",0,1,0,12,0.5,2,0,0,NaN,33.1814,"active_rx",0.0005,392,0.196,1320,64,0.096,"air_interface/csv/ul_pusch_trials.csv","PASS"
"UE","ue",2,"UL_data","UL",1,5,NaN,2,2,1,1,2,"dir=UL;frame=1;slot=5;ue=2;rnti=2;cell=1;harq=0",0,1,0,12,0.5,2,4,0,23,NaN,"active_tx",0.0005,1.57007494713397,0.000785037473566983,1320,4,0,"air_interface/csv/ul_pusch_trials.csv","PASS"
"gNB","cell",1,"UL_data","UL",1,5,NaN,2,2,1,1,2,"dir=UL;frame=1;slot=5;ue=2;rnti=2;cell=1;harq=0",0,1,0,12,0.5,2,0,0,NaN,32.9476,"active_rx",0.0005,392,0.196,1320,64,0.096,"air_interface/csv/ul_pusch_trials.csv","PASS"
"gNB","cell",1,"PDCCH_monitoring","DL",1,1,NaN,0,1,1,1,1,"dir=DL;frame=1;slot=1;ue=1;rnti=1;cell=1;harq=0",NaN,NaN,NaN,12,0.5,2,64,1,46,NaN,"active_tx",0.0005,505.744905872428,0.252872452936214,64,64,0.096,"air_interface/csv/pdcch_trials.csv","PASS"
"UE","ue",1,"PDCCH_monitoring","DL",1,1,NaN,0,1,1,1,1,"dir=DL;frame=1;slot=1;ue=1;rnti=1;cell=1;harq=0",NaN,NaN,NaN,12,0.5,2,0,1,NaN,33.1814,"monitor_only",0.0005,1.5,0.00075,64,4,0,"air_interface/csv/pdcch_trials.csv","PASS"
"gNB","cell",1,"PDCCH_monitoring","DL",1,1,NaN,0,2,1,1,2,"dir=DL;frame=1;slot=1;ue=2;rnti=2;cell=1;harq=0",NaN,NaN,NaN,12,0.5,2,64,1,46,NaN,"active_tx",0.0005,505.744905872428,0.252872452936214,64,64,0.096,"air_interface/csv/pdcch_trials.csv","PASS"
