Case,Ok,Skipped,SINR_median_dB,Goodput_Mbps,Throughput_Mbps,BLER,BER,EVM_rms,PAPR_CP_dB,PAPR_DFTs_dB,PAPR_Gain_dB,NMSE_dB,TrialCount,PassCount,FailCount,CrashCount,RequestedChannelModel,ObservedChannelModel,FallbackUsed,KPIFormulaVersion,EvidenceSource,Notes
"DL_PDSCH_Throughput",0,0,1.89041250112102,0,0,1,0.340720296707587,NaN,NaN,NaN,NaN,NaN,6,0,6,0,,,0,"measured_sinr_geometry_v1","measured_sinr_kpi_summary","Geometry-driven DL KPI from finalized measured-SINR rows; Goodput=0 Mbps; BLER=1; no AWGN injection"
"UL_PUSCH_Throughput",0,0,5.16189862572454,0,0,1,0.23396727222023,NaN,NaN,NaN,NaN,NaN,2,0,2,0,,,0,"measured_sinr_geometry_v1","measured_sinr_kpi_summary","Geometry-driven UL KPI from finalized measured-SINR rows; Goodput=0 Mbps; BLER=1; no AWGN injection"
"CellSearch_MIB_SIB1",1,0,156.5388375193,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,4,4,0,0,,,0,"measured_sinr_geometry_v1","pbch_trial_rows","PBCH/MIB/SIB1 strict evidence from 4 runtime rows; pass=4; BLER=0"
"PRACH_Detection",1,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,4,4,0,0,,,0,"measured_sinr_geometry_v1","prach_trial_rows","PRACH strict detection evidence from 4 runtime rows; detected=4; missed_or_false=0"
"UL_SRS_ChannelEst",1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-48.3229948823695,4,4,0,0,,,0,"measured_sinr_geometry_v1","srs_trial_rows","SRS channel-estimation evidence from 4 runtime rows; finite detected NMSE rows=4; mean NMSE=-48.323 dB; threshold=-8 dB"
"UL_LowPAPR",1,0,NaN,NaN,NaN,NaN,NaN,NaN,10.9528919292776,NaN,NaN,NaN,2,2,0,0,,,0,"measured_sinr_geometry_v1","ul_pusch_trial_rows","UL PAPR evidence from 2 runtime rows; mean PAPR=10.9529 dB; pass threshold=12 dB"
