RunId,Direction,UEIndex,RNTI,KPIFormulaVersion,KPIReconciliationPass,SINR_median_dB,SINR_p5_dB,SINR_p95_dB,BLER_overall,BER_overall,Goodput_Mbps,OfferedThroughput_Mbps,SpectralEfficiency_bps_Hz,RadioDuration_s,TrialCount,MCS_dominant,Rank_dominant,DistanceRange_m,StrictOk,Status,FailureReason,SourceArtifact
"","DL","all",1,"measured_sinr_geometry_v1",1,1.89041250112102,-1.72155975020624,10.6300626274891,1,0.340720296707587,0,368.848,0,0.003,6,19,2,"264.281-431.407",1,"pass","","dl_pdsch_trials.csv"
"","DL","1",1,"measured_sinr_geometry_v1",1,3.84051047970626,-1.40237319729628,9.08339415670879,1,0.319576085542012,0,368.848,0,0.001,2,19,2,"264.281-264.281",1,"pass","","dl_pdsch_trials.csv"
"","DL","2",2,"measured_sinr_geometry_v1",1,5.00997319544397,-0.337345045397343,10.3572914362853,1,0.283100355702078,0,368.848,0,0.001,2,19,2,"431.407-431.407",1,"pass","","dl_pdsch_trials.csv"
"","DL","3",3,"measured_sinr_geometry_v1",1,1.78334819647079,1.78334819647079,1.78334819647079,1,0.447582744111395,0,368.848,0,0.0005,1,19,2,"388.303-388.303",1,"pass","","dl_pdsch_trials.csv"
"","DL","4",4,"measured_sinr_geometry_v1",1,1.99747680577126,1.99747680577126,1.99747680577126,1,0.391386153645946,0,368.848,0,0.0005,1,19,2,"287.822-287.822",1,"pass","","dl_pdsch_trials.csv"
"","UL","all",1,"measured_sinr_geometry_v1",1,5.16189862572454,4.92425872376763,5.39953852768146,1,0.23396727222023,0,401.616,0,0.001,2,19,2,"264.281-431.407",1,"pass","","ul_pusch_trials.csv"
"","UL","1",1,"measured_sinr_geometry_v1",1,4.89785429021686,4.89785429021686,4.89785429021686,1,0.246160511533405,0,401.616,0,0.0005,1,19,2,"264.281-264.281",1,"pass","","ul_pusch_trials.csv"
"","UL","2",2,"measured_sinr_geometry_v1",1,5.42594296123223,5.42594296123223,5.42594296123223,1,0.221774032907055,0,401.616,0,0.0005,1,19,2,"431.407-431.407",1,"pass","","ul_pusch_trials.csv"
