Direction,UEIndex,RNTI,N_Trials,SINR_min_dB,SINR_p5_dB,SINR_p25_dB,SINR_median_dB,SINR_p75_dB,SINR_p95_dB,SINR_max_dB,BLER_overall,BER_overall,Goodput_Mbps_mean,SpectralEfficiency_mean_bps_Hz,MCS_dominant,Modulation_dominant,Rank_dominant,Distance_min_m,Distance_max_m,KPIFormulaVersion,SourceArtifact
"DL","all",1,6,-1.98491582807434,-1.72155975020624,-0.252781588333753,1.89041250112102,7.74882179205795,10.6300626274891,10.9514379074899,1,0.340720296707587,0,0,19,"64QAM",2,264.280920400292,431.406921433355,"measured_sinr_geometry_v1","dl_pdsch_trials.csv"
"DL","1",1,2,-1.98491582807434,-1.40237319729628,0.927797325815961,3.84051047970626,6.75322363359655,9.08339415670879,9.66593678748685,1,0.319576085542012,0,0,19,"64QAM",2,264.280920400292,264.280920400292,"measured_sinr_geometry_v1","dl_pdsch_trials.csv"
"DL","2",2,2,-0.931491516601934,-0.337345045397343,2.03924083942102,5.00997319544397,7.98070555146692,10.3572914362853,10.9514379074899,1,0.283100355702078,0,0,19,"64QAM",2,431.406921433355,431.406921433355,"measured_sinr_geometry_v1","dl_pdsch_trials.csv"
"DL","3",3,1,1.78334819647079,1.78334819647079,1.78334819647079,1.78334819647079,1.78334819647079,1.78334819647079,1.78334819647079,1,0.447582744111395,0,0,19,"64QAM",2,388.302990651068,388.302990651068,"measured_sinr_geometry_v1","dl_pdsch_trials.csv"
"DL","4",4,1,1.99747680577126,1.99747680577126,1.99747680577126,1.99747680577126,1.99747680577126,1.99747680577126,1.99747680577126,1,0.391386153645946,0,0,19,"64QAM",2,287.821685364051,287.821685364051,"measured_sinr_geometry_v1","dl_pdsch_trials.csv"
"UL","all",1,2,4.89785429021686,4.92425872376763,5.0298764579707,5.16189862572454,5.29392079347839,5.39953852768146,5.42594296123223,1,0.23396727222023,0,0,19,"64QAM",2,264.280920400292,431.406921433355,"measured_sinr_geometry_v1","ul_pusch_trials.csv"
"UL","1",1,1,4.89785429021686,4.89785429021686,4.89785429021686,4.89785429021686,4.89785429021686,4.89785429021686,4.89785429021686,1,0.246160511533405,0,0,19,"64QAM",2,264.280920400292,264.280920400292,"measured_sinr_geometry_v1","ul_pusch_trials.csv"
"UL","2",2,1,5.42594296123223,5.42594296123223,5.42594296123223,5.42594296123223,5.42594296123223,5.42594296123223,5.42594296123223,1,0.221774032907055,0,0,19,"64QAM",2,431.406921433355,431.406921433355,"measured_sinr_geometry_v1","ul_pusch_trials.csv"
