timestamp_sim_ms,frame,slot,symbol_start,symbol_len,cell_id,ue_id,direction,bwp_id,rb_start,rb_len,num_prbs,beam_id,rank,layers,harq_id,mcs,tbs_bits,allocation_reason,occupancy_type,source_artifact_ref,run_id,run_tag,scenario_id,scenario_variant_id,config_hash,code_commit,seed,drop_id,symbol,site_id,sector_id,carrier_id,layer_id,stream_id,block_id,pipeline_id,producer_module,status_code,status_classification,source_tensor_ref,derived_flag,active_flag
NaN,1,7,0,14,1,3,"DL",NaN,0,27,27,NaN,2,2,0,0,2024,"new_data_pf","scheduled_allocation","packet_flow/csv/live_dl_scheduler_grants.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildPRBAllocationTable","implemented","runtime_grant_rows","not_applicable",0,1
NaN,1,7,0,14,1,5,"DL",NaN,27,27,27,NaN,2,2,0,0,2024,"new_data_pf","scheduled_allocation","packet_flow/csv/live_dl_scheduler_grants.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildPRBAllocationTable","implemented","runtime_grant_rows","not_applicable",0,1
NaN,1,7,0,14,1,7,"DL",NaN,54,27,27,NaN,2,2,0,0,2024,"new_data_pf","scheduled_allocation","packet_flow/csv/live_dl_scheduler_grants.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildPRBAllocationTable","implemented","runtime_grant_rows","not_applicable",0,1
NaN,1,7,0,14,1,9,"DL",NaN,81,27,27,NaN,2,2,0,0,2024,"new_data_pf","scheduled_allocation","packet_flow/csv/live_dl_scheduler_grants.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildPRBAllocationTable","implemented","runtime_grant_rows","not_applicable",0,1
NaN,1,7,0,14,1,14,"DL",NaN,108,27,27,NaN,2,2,0,0,2024,"new_data_pf","scheduled_allocation","packet_flow/csv/live_dl_scheduler_grants.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildPRBAllocationTable","implemented","runtime_grant_rows","not_applicable",0,1
NaN,1,7,0,14,1,19,"DL",NaN,135,27,27,NaN,2,2,0,0,2024,"new_data_pf","scheduled_allocation","packet_flow/csv/live_dl_scheduler_grants.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildPRBAllocationTable","implemented","runtime_grant_rows","not_applicable",0,1
NaN,1,7,0,14,1,26,"DL",NaN,162,27,27,NaN,2,2,0,0,2024,"new_data_pf","scheduled_allocation","packet_flow/csv/live_dl_scheduler_grants.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildPRBAllocationTable","implemented","runtime_grant_rows","not_applicable",0,1
NaN,1,7,0,14,1,27,"DL",NaN,189,27,27,NaN,2,2,0,0,2024,"new_data_pf","scheduled_allocation","packet_flow/csv/live_dl_scheduler_grants.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildPRBAllocationTable","implemented","runtime_grant_rows","not_applicable",0,1
NaN,1,7,0,14,1,43,"DL",NaN,216,27,27,NaN,2,2,0,0,2024,"new_data_pf","scheduled_allocation","packet_flow/csv/live_dl_scheduler_grants.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildPRBAllocationTable","implemented","runtime_grant_rows","not_applicable",0,1
NaN,1,7,0,14,1,47,"DL",NaN,243,27,27,NaN,2,2,0,0,2024,"new_data_pf","scheduled_allocation","packet_flow/csv/live_dl_scheduler_grants.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildPRBAllocationTable","implemented","runtime_grant_rows","not_applicable",0,1
