SlotTraceID,CanonicalSlot,Frame,FrameLocal,SNR_dB,SweepPointIndex,SweepPointCount,DLSlot,ULSlot,DLStarted,ULStarted,DLScheduled,ULScheduled,DLActiveUsers,ULActiveUsers,DLGrantedUsers,ULGrantedUsers,DLGrantCount,ULGrantCount,DLExecutedGrantCount,ULExecutedGrantCount,DLTrialRows,ULTrialRows,DLSuccessCount,ULSuccessCount,DLQueueBits,ULQueueBits,DLTBSBits,ULTBSBits,HARQTimelineRows,MobilitySource,SchedulerSource,PHYSource,ReportSource,DLStatus,ULStatus,TraceStatus,ValueRole,ValueStatus,ValueSource,ValueDefinition,NAReason
sweep=1;canonical_slot=1;snr_db=12,1,1,1,12,1,1,1,NaN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,0,CoupledTruthRuntime.advanceFrame,CoupledTruthRuntime.scheduleDirection,runWaveformLinkBundle.executeGrantPHYJob,slot_trace.csv,scheduled,,partial_direction_started,measured,OK,CoupledTruthRuntime.recordSlotTraceStart,"canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",none
sweep=1;canonical_slot=2;snr_db=12,2,1,1,12,1,1,2,NaN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,CoupledTruthRuntime.advanceFrame,CoupledTruthRuntime.scheduleDirection,runWaveformLinkBundle.executeGrantPHYJob,slot_trace.csv,scheduled,,partial_direction_started,measured,OK,CoupledTruthRuntime.recordSlotTraceStart,"canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",none
sweep=1;canonical_slot=3;snr_db=12,3,1,1,12,1,1,3,NaN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7500000,0,0,0,0,CoupledTruthRuntime.advanceFrame,CoupledTruthRuntime.scheduleDirection,runWaveformLinkBundle.executeGrantPHYJob,slot_trace.csv,scheduled,,partial_direction_started,measured,OK,CoupledTruthRuntime.recordSlotTraceStart,"canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",none
sweep=1;canonical_slot=4;snr_db=12,4,1,1,12,1,1,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10000000,10000000,0,0,0,CoupledTruthRuntime.advanceFrame,CoupledTruthRuntime.scheduleDirection,runWaveformLinkBundle.executeGrantPHYJob,slot_trace.csv,scheduled,scheduled,dl_ul_scheduled,measured,OK,CoupledTruthRuntime.recordSlotTraceStart,"canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",none
sweep=1;canonical_slot=5;snr_db=12,5,1,1,12,1,1,NaN,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12500000,0,0,0,CoupledTruthRuntime.advanceFrame,CoupledTruthRuntime.scheduleDirection,runWaveformLinkBundle.executeGrantPHYJob,slot_trace.csv,,scheduled,partial_direction_started,measured,OK,CoupledTruthRuntime.recordSlotTraceStart,"canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",none
sweep=1;canonical_slot=6;snr_db=12,6,1,1,12,1,1,6,NaN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000,0,0,0,0,CoupledTruthRuntime.advanceFrame,CoupledTruthRuntime.scheduleDirection,runWaveformLinkBundle.executeGrantPHYJob,slot_trace.csv,scheduled,,partial_direction_started,measured,OK,CoupledTruthRuntime.recordSlotTraceStart,"canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",none
sweep=1;canonical_slot=7;snr_db=12,7,1,1,12,1,1,7,NaN,1,0,1,0,50,0,50,0,50,0,50,0,50,0,50,0,17500000,0,100272,0,50,CoupledTruthRuntime.advanceFrame,CoupledTruthRuntime.scheduleDirection,runWaveformLinkBundle.executeGrantPHYJob,slot_trace.csv,published,,partial_direction_started,measured,OK,CoupledTruthRuntime.recordSlotTraceStart,"canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",none
sweep=1;canonical_slot=8;snr_db=12,8,1,1,12,1,1,8,NaN,1,0,1,0,50,0,50,0,50,0,50,0,50,0,34,0,19899728,0,530840,0,100,CoupledTruthRuntime.advanceFrame,CoupledTruthRuntime.scheduleDirection,runWaveformLinkBundle.executeGrantPHYJob,slot_trace.csv,published,,partial_direction_started,measured,OK,CoupledTruthRuntime.recordSlotTraceStart,"canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",none
sweep=1;canonical_slot=9;snr_db=12,9,1,1,12,1,1,9,9,1,1,1,1,50,50,50,48,50,48,50,48,50,48,26,33,21868888,22500000,164072,65344,198,CoupledTruthRuntime.advanceFrame,CoupledTruthRuntime.scheduleDirection,runWaveformLinkBundle.executeGrantPHYJob,slot_trace.csv,published,published,dl_ul_published,measured,OK,CoupledTruthRuntime.recordSlotTraceStart,"canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",none
sweep=1;canonical_slot=10;snr_db=12,10,1,1,12,1,1,NaN,10,0,1,0,1,0,50,0,48,0,48,0,48,0,48,0,18,0,24934656,0,979208,246,CoupledTruthRuntime.advanceFrame,CoupledTruthRuntime.scheduleDirection,runWaveformLinkBundle.executeGrantPHYJob,slot_trace.csv,,published,partial_direction_started,measured,OK,CoupledTruthRuntime.recordSlotTraceStart,"canonical per-slot trace parent for DL grants, UL grants, HARQ, mobility, control gating, and waveform PHY trial rows",none
