relative_path,column_index,column_name,row_count,blank_count,blank_fraction,nan_token_count,inf_token_count,unique_nonblank_count,numeric_count,finite_fraction,zero_count,nonzero_numeric_count,numeric_min,numeric_max,numeric_mean,failure_token_count,proxy_token_count,synthetic_token_count,fallback_token_count,placeholder_token_count,value_population_class,semantic_attention
air_interface/csv/csi_feedback_reports.csv,7,DeliveredSlot,4,1,0.25,1,0,3,3,0.75,0,3,14,24,18,0,0,0,0,0,mixed_finite_and_missing,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,12,CSIReportConfigID,4,2,0.5,0,0,1,0,0.0,0,0,,,,0,0,0,0,0,categorical_population,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,13,CSIConfigurationEpoch,4,2,0.5,2,0,1,2,0.5,2,0,0,0,0,0,0,0,0,0,mixed_finite_and_missing,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,14,CSIUCIChannel,4,2,0.5,0,0,1,0,0.0,0,0,,,,0,0,0,0,0,categorical_population,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,15,CSIPart1BitsToken,4,2,0.5,0,0,1,0,0.0,0,0,,,,0,0,0,0,0,categorical_population,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,16,CSIPart2BitsToken,4,2,0.5,0,0,1,0,0.0,0,0,,,,0,0,0,0,0,categorical_population,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,22,CSIUCIMultiplexedOnPUSCH,4,0,0.0,0,0,1,4,1.0,4,0,0,0,0,0,0,0,0,0,all_zero_finite,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,24,CSIUCIDecodedBitsToken,4,2,0.5,0,0,1,0,0.0,0,0,,,,0,0,0,0,0,categorical_population,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,25,CSIUCIDeliveryReason,4,2,0.5,0,0,1,0,0.0,0,0,,,,0,0,0,0,0,categorical_population,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,28,PMI,4,0,0.0,0,0,1,4,1.0,4,0,0,0,0,0,0,0,0,0,all_zero_finite,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,29,CRI,4,2,0.5,2,0,1,2,0.5,2,0,0,0,0,0,0,0,0,0,mixed_finite_and_missing,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,40,LinkAdaptationMCSIndex,4,1,0.25,1,0,2,3,0.75,0,3,15,26,18.666666666666668,0,0,0,0,0,mixed_finite_and_missing,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,41,LinkAdaptationDecisionReason,4,1,0.25,0,0,1,0,0.0,0,0,,,,0,0,0,0,0,categorical_population,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,42,MCSSelectionSource,4,1,0.25,0,0,1,0,0.0,0,0,,,,0,0,0,0,0,categorical_population,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,43,MCSValueStatus,4,1,0.25,0,0,1,0,0.0,0,0,,,,0,0,0,0,0,categorical_population,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,44,CQIBasedMCS,4,1,0.25,1,0,2,3,0.75,0,3,15,26,18.666666666666668,0,0,0,0,0,mixed_finite_and_missing,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,45,SmoothedCQI,4,1,0.25,1,0,2,3,0.75,0,3,9,14,10.666666666666666,0,0,0,0,0,mixed_finite_and_missing,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,46,InstantaneousCQIMCS,4,1,0.25,1,0,2,3,0.75,0,3,15,26,18.666666666666668,0,0,0,0,0,mixed_finite_and_missing,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,47,DeltaMCS,4,1,0.25,1,0,3,3,0.75,0,3,0.033333333333333298,0.20000000000000001,0.11111111111111106,0,0,0,0,0,mixed_finite_and_missing,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,48,StaticDeltaMCS,4,1,0.25,1,0,1,3,0.75,3,0,0,0,0,0,0,0,0,0,mixed_finite_and_missing,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,49,OLLAAdjustedMCSBeforeCQICeiling,4,1,0.25,1,0,2,3,0.75,0,3,15,26,18.666666666666668,0,0,0,0,0,mixed_finite_and_missing,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,50,OLLABaseRequiredSINR_dB,4,1,0.25,1,0,2,3,0.75,0,3,9.4600000000000009,21.469999999999999,13.463333333333333,0,0,0,0,0,mixed_finite_and_missing,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,51,OLLATargetRequiredSINR_dB,4,1,0.25,1,0,3,3,0.75,0,3,9.5600000000000005,21.503333333333298,13.574444444444433,0,0,0,0,0,mixed_finite_and_missing,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,52,OLLAThresholdSource,4,1,0.25,0,0,1,0,0.0,0,0,,,,0,0,0,0,0,categorical_population,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,53,EffectiveCQISmoothingAlpha,4,1,0.25,1,0,2,3,0.75,0,3,0.50021055029334105,0.50084193519103004,0.50063147355846704,0,0,0,0,0,mixed_finite_and_missing,classified_observation_not_automatic_failure
air_interface/csv/csi_feedback_reports.csv,54,CSITemporalCorrelationWeight,4,1,0.25,1,0,2,3,0.75,0,3,0.99831612961794003,0.99957889941331901,0.99873705288306647,0,0,0,0,0,mixed_finite_and_missing,classified_observation_not_automatic_failure
