CaseID,ProfileID,AssignedPower_dBm,AdjacentLowerPower_dBm,AdjacentUpperPower_dBm,ACLRLower_dB,ACLRUpper_dB,FilterID,Status
WQ-0036-001,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-002,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
WQ-0038-003,rf_conformance_emulation_bs_fr1,3.08788058273965e-05,-38.0020284913687,-38.0020284913687,38.0020593701745,38.0020593701745,ACLR_NR_BOUNDED_V1,PASS
WQ-0039-004,rf_conformance_emulation_bs_fr1,2.45231077337952e-05,-40.0020284913687,-40.0020284913687,40.0020530144765,40.0020530144765,ACLR_NR_BOUNDED_V1,PASS
WQ-0040-005,rf_conformance_emulation_bs_fr1,1.37857947845748e-05,-45.0020284913687,-45.0020284913687,45.0020422771635,45.0020422771635,ACLR_NR_BOUNDED_V1,PASS
WQ-0041-006,rf_conformance_emulation_bs_fr1,7.75087943516518e-06,-50.0020284913687,-50.0020284913687,50.0020362422482,50.0020362422482,ACLR_NR_BOUNDED_V1,PASS
WQ-0042-007,rf_conformance_emulation_bs_fr1,2.45064247172945e-06,-60.0020284913687,-60.0020284913687,60.0020309420112,60.0020309420112,ACLR_NR_BOUNDED_V1,PASS
WQ-0036-008,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-009,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
WQ-0038-010,rf_conformance_emulation_bs_fr1,3.08788058273965e-05,-38.0020284913687,-38.0020284913687,38.0020593701745,38.0020593701745,ACLR_NR_BOUNDED_V1,PASS
WQ-0039-011,rf_conformance_emulation_bs_fr1,2.45231077337952e-05,-40.0020284913687,-40.0020284913687,40.0020530144765,40.0020530144765,ACLR_NR_BOUNDED_V1,PASS
WQ-0040-012,rf_conformance_emulation_bs_fr1,1.37857947845748e-05,-45.0020284913687,-45.0020284913687,45.0020422771635,45.0020422771635,ACLR_NR_BOUNDED_V1,PASS
WQ-0041-013,rf_conformance_emulation_bs_fr1,7.75087943516518e-06,-50.0020284913687,-50.0020284913687,50.0020362422482,50.0020362422482,ACLR_NR_BOUNDED_V1,PASS
WQ-0042-014,rf_conformance_emulation_bs_fr1,2.45064247172945e-06,-60.0020284913687,-60.0020284913687,60.0020309420112,60.0020309420112,ACLR_NR_BOUNDED_V1,PASS
WQ-0036-015,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-016,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
WQ-0038-017,rf_conformance_emulation_bs_fr1,3.08788058273965e-05,-38.0020284913687,-38.0020284913687,38.0020593701745,38.0020593701745,ACLR_NR_BOUNDED_V1,PASS
WQ-0039-018,rf_conformance_emulation_bs_fr1,2.45231077337952e-05,-40.0020284913687,-40.0020284913687,40.0020530144765,40.0020530144765,ACLR_NR_BOUNDED_V1,PASS
WQ-0040-019,rf_conformance_emulation_bs_fr1,1.37857947845748e-05,-45.0020284913687,-45.0020284913687,45.0020422771635,45.0020422771635,ACLR_NR_BOUNDED_V1,PASS
WQ-0041-020,rf_conformance_emulation_bs_fr1,7.75087943516518e-06,-50.0020284913687,-50.0020284913687,50.0020362422482,50.0020362422482,ACLR_NR_BOUNDED_V1,PASS
WQ-0042-021,rf_conformance_emulation_bs_fr1,2.45064247172945e-06,-60.0020284913687,-60.0020284913687,60.0020309420112,60.0020309420112,ACLR_NR_BOUNDED_V1,PASS
WQ-0036-022,rf_conformance_emulation_bs_fr1,0.000246899285101679,-20.0020284913687,-20.0020284913687,20.0022753906538,20.0022753906538,ACLR_NR_BOUNDED_V1,PASS
WQ-0037-023,rf_conformance_emulation_bs_fr1,4.36345920508018e-05,-35.0020284913687,-35.0020284913687,35.0020721259608,35.0020721259608,ACLR_NR_BOUNDED_V1,PASS
WQ-0038-024,rf_conformance_emulation_bs_fr1,3.08788058273965e-05,-38.0020284913687,-38.0020284913687,38.0020593701745,38.0020593701745,ACLR_NR_BOUNDED_V1,PASS
WQ-0039-025,rf_conformance_emulation_bs_fr1,2.45231077337952e-05,-40.0020284913687,-40.0020284913687,40.0020530144765,40.0020530144765,ACLR_NR_BOUNDED_V1,PASS
WQ-0040-026,rf_conformance_emulation_bs_fr1,1.37857947845748e-05,-45.0020284913687,-45.0020284913687,45.0020422771635,45.0020422771635,ACLR_NR_BOUNDED_V1,PASS
