CaseID,Channel,Mu,MRB,Pathloss_dB,P0_dBm,Alpha,DeltaTF_dB,TPC_dB,RequestedPower_dBm,AppliedPower_dBm,MeasuredPower_dBm,PCMAX_dBm,Status
PC-00052,PUCCH,0,10,60,-96,0.8,0,1,-37,-37,-37,23,PASS
PC-00053,PUCCH,0,10,90,-96,0.8,0,1,-13,-13,-13,23,PASS
PC-00054,PUCCH,0,10,120,-96,0.8,0,1,11,11,11,23,PASS
PC-00055,PUCCH,0,50,60,-96,0.8,0,1,-30.0102999566398,-30.0102999566398,-30.0102999566398,23,PASS
PC-00056,PUCCH,0,50,90,-96,0.8,0,1,-6.01029995663981,-6.01029995663981,-6.01029995663981,23,PASS
PC-00057,PUCCH,0,50,120,-96,0.8,0,1,17.9897000433602,17.9897000433602,17.9897000433602,23,PASS
PC-00058,PUCCH,0,100,60,-96,0.8,0,1,-27,-27,-27,23,PASS
PC-00059,PUCCH,0,100,90,-96,0.8,0,1,-3,-3,-2.99999999999999,23,PASS
PC-00060,PUCCH,0,100,120,-96,0.8,0,1,21,21,21,23,PASS
PC-00061,PUCCH,1,1,60,-96,0.8,0,1,-43.9897000433602,-43.9897000433602,-43.9897000433602,23,PASS
PC-00062,PUCCH,1,1,90,-96,0.8,0,1,-19.9897000433602,-19.9897000433602,-19.9897000433602,23,PASS
PC-00063,PUCCH,1,1,120,-96,0.8,0,1,4.01029995663981,4.01029995663981,4.01029995663981,23,PASS
PC-00064,PUCCH,1,10,60,-96,0.8,0,1,-33.9897000433602,-33.9897000433602,-33.9897000433602,23,PASS
PC-00065,PUCCH,1,10,90,-96,0.8,0,1,-9.98970004336019,-9.98970004336019,-9.98970004336018,23,PASS
PC-00066,PUCCH,1,10,120,-96,0.8,0,1,14.0102999566398,14.0102999566398,14.0102999566398,23,PASS
PC-00067,PUCCH,1,50,60,-96,0.8,0,1,-27,-27,-27,23,PASS
PC-00068,PUCCH,1,50,90,-96,0.8,0,1,-3,-3,-2.99999999999999,23,PASS
PC-00069,PUCCH,1,50,120,-96,0.8,0,1,21,21,21,23,PASS
PC-00070,PUCCH,1,100,60,-96,0.8,0,1,-23.9897000433602,-23.9897000433602,-23.9897000433602,23,PASS
PC-00071,PUCCH,1,100,90,-96,0.8,0,1,0.0102999566398125,0.0102999566398125,0.0102999566398174,23,PASS
PC-00072,PUCCH,1,100,120,-96,0.8,0,1,24.0102999566398,23,23,23,PASS
PC-00073,PUCCH,2,1,60,-96,0.8,0,1,-40.9794000867204,-40.9794000867204,-40.9794000867204,23,PASS
PC-00074,PUCCH,2,1,90,-96,0.8,0,1,-16.9794000867204,-16.9794000867204,-16.9794000867204,23,PASS
PC-00075,PUCCH,2,1,120,-96,0.8,0,1,7.02059991327963,7.02059991327963,7.02059991327962,23,PASS
PC-00076,PUCCH,2,10,60,-96,0.8,0,1,-30.9794000867204,-30.9794000867204,-30.9794000867204,23,PASS
PC-00077,PUCCH,2,10,90,-96,0.8,0,1,-6.97940008672037,-6.97940008672037,-6.97940008672037,23,PASS
PC-00078,PUCCH,2,10,120,-96,0.8,0,1,17.0205999132796,17.0205999132796,17.0205999132796,23,PASS
PC-00079,PUCCH,2,50,60,-96,0.8,0,1,-23.9897000433602,-23.9897000433602,-23.9897000433602,23,PASS
PC-00080,PUCCH,2,50,90,-96,0.8,0,1,0.0102999566398125,0.0102999566398125,0.0102999566398174,23,PASS
PC-00081,PUCCH,2,50,120,-96,0.8,0,1,24.0102999566398,23,23,23,PASS
PC-00082,PUCCH,2,100,60,-96,0.8,0,1,-20.9794000867204,-20.9794000867204,-20.9794000867204,23,PASS
PC-00083,PUCCH,2,100,90,-96,0.8,0,1,3.02059991327963,3.02059991327963,3.02059991327963,23,PASS
PC-00084,PUCCH,2,100,120,-96,0.8,0,1,27.0205999132796,23,23,23,PASS
PC-00085,PUCCH,3,1,60,-96,0.8,0,1,-37.9691001300806,-37.9691001300806,-37.9691001300806,23,PASS
PC-00086,PUCCH,3,1,90,-96,0.8,0,1,-13.9691001300806,-13.9691001300806,-13.9691001300806,23,PASS
PC-00087,PUCCH,3,1,120,-96,0.8,0,1,10.0308998699194,10.0308998699194,10.0308998699194,23,PASS
PC-00088,PUCCH,3,10,60,-96,0.8,0,1,-27.9691001300806,-27.9691001300806,-27.9691001300806,23,PASS
PC-00089,PUCCH,3,10,90,-96,0.8,0,1,-3.96910013008056,-3.96910013008056,-3.96910013008056,23,PASS
PC-00090,PUCCH,3,10,120,-96,0.8,0,1,20.0308998699194,20.0308998699194,20.0308998699194,23,PASS
PC-00091,PUCCH,3,50,60,-96,0.8,0,1,-20.9794000867204,-20.9794000867204,-20.9794000867204,23,PASS
