RunID,StageIndex,StageName,Direction,InputReferencePlane,OutputReferencePlane,InputPower_dBm,OutputPower_dBm,StateID,Status
RF-010,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-10.75,-11.75,RFSTATE-010,PASS
RF-011,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-8.99999999999997,-8.99999999999997,RFSTATE-011,PASS
RF-011,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-8.99999999999997,-9.49999999999996,RFSTATE-011,PASS
RF-011,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-9.49999999999996,-9.74999999999997,RFSTATE-011,PASS
RF-011,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-9.74999999999997,-10.75,RFSTATE-011,PASS
RF-012,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-8.00000000000001,-8.00000000000001,RFSTATE-012,PASS
RF-012,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-8.00000000000001,-8.5,RFSTATE-012,PASS
RF-012,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-8.5,-8.74999999999998,RFSTATE-012,PASS
RF-012,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-8.74999999999998,-9.74999999999997,RFSTATE-012,PASS
RF-013,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-6.99999999999997,-6.99999999999997,RFSTATE-013,PASS
RF-013,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-6.99999999999997,-7.49999999999998,RFSTATE-013,PASS
RF-013,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-7.49999999999998,-7.75000000000002,RFSTATE-013,PASS
RF-013,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-7.75000000000002,-8.74999999999998,RFSTATE-013,PASS
RF-014,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-6.00000000000002,-6.00000000000002,RFSTATE-014,PASS
RF-014,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-6.00000000000002,-6.50000000000004,RFSTATE-014,PASS
RF-014,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-6.50000000000004,-6.75000000000003,RFSTATE-014,PASS
RF-014,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-6.75000000000003,-7.75000000000002,RFSTATE-014,PASS
RF-015,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-4.99999999999997,-4.99999999999997,RFSTATE-015,PASS
RF-015,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-4.99999999999997,-5.50000000000003,RFSTATE-015,PASS
RF-015,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-5.50000000000003,-5.75000000000004,RFSTATE-015,PASS
RF-015,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-5.75000000000004,-6.75000000000003,RFSTATE-015,PASS
RF-016,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-4.00000000000003,-4.00000000000003,RFSTATE-016,PASS
