CaseID,ProfileID,Modulation,ReferencePlane,MeasurementInterval,TimingCorrected,FrequencyCorrected,CarrierLeakageRemoved,MeasurementConfigurationSHA256,SourceWaveformSHA256,EVM_pct,Limit_pct,Status
WQ-0001-001,rf_conformance_emulation_ue_fr1,PI2BPSK,EQUALIZED_RE,1:256,1,1,1,edfe09a6a142178d3028a5260b7254bba824334ad72d39a8374cffc48ddafcb2,f392ba6dbb8516110769d9122644ba0c9508322f840b6a0ff6e33909fec6821f,0,30,PASS
WQ-0002-002,rf_conformance_emulation_ue_fr1,PI2BPSK,EQUALIZED_RE,1:256,1,1,1,edfe09a6a142178d3028a5260b7254bba824334ad72d39a8374cffc48ddafcb2,efe541e5e0bb4acd4b38f7f7f0c873e53faf91e27abb80da44605321a907cfb7,14.9998855586455,30,PASS
WQ-0003-003,rf_conformance_emulation_ue_fr1,PI2BPSK,EQUALIZED_RE,1:256,1,1,1,edfe09a6a142178d3028a5260b7254bba824334ad72d39a8374cffc48ddafcb2,1eba75458af4ee05c593be224753363af88d29d57c4599cc49ce1a447d028b68,26.9997940055618,30,PASS
WQ-0004-004,rf_conformance_emulation_ue_fr1,PI2BPSK,EQUALIZED_RE,1:256,1,1,1,edfe09a6a142178d3028a5260b7254bba824334ad72d39a8374cffc48ddafcb2,3c59756dea4d110fec6faf668c8631eb5ae60b2ca03d3e4292e87c8c7b8512e4,29.9997711172909,30,PASS
WQ-0005-005,rf_conformance_emulation_ue_fr1,PI2BPSK,EQUALIZED_RE,1:256,1,1,1,edfe09a6a142178d3028a5260b7254bba824334ad72d39a8374cffc48ddafcb2,b6ee04861fda24184141605d708c98513d54eca3fd656f04ab991db00c7f51ec,32.99974822902,30,PASS
WQ-0006-006,rf_conformance_emulation_ue_fr1,QPSK,EQUALIZED_RE,1:256,1,1,1,d43e6de84b10b18ea4578088c9ce4a78cd0317dd1fc74dc3f0ae768fafec8e46,f392ba6dbb8516110769d9122644ba0c9508322f840b6a0ff6e33909fec6821f,0,17.5,PASS
WQ-0007-007,rf_conformance_emulation_ue_fr1,QPSK,EQUALIZED_RE,1:256,1,1,1,d43e6de84b10b18ea4578088c9ce4a78cd0317dd1fc74dc3f0ae768fafec8e46,0135f3b8195376ecf30a84ae4e5660dbead12ee61efae711f481c9e99b241a8d,8.74993324254318,17.5,PASS
WQ-0008-008,rf_conformance_emulation_ue_fr1,QPSK,EQUALIZED_RE,1:256,1,1,1,d43e6de84b10b18ea4578088c9ce4a78cd0317dd1fc74dc3f0ae768fafec8e46,9b153e0a805517cbcb6afbf32b85791d73bc84f9ea4de7ed1e852d6bb147e521,15.7498798365777,17.5,PASS
WQ-0009-009,rf_conformance_emulation_ue_fr1,QPSK,EQUALIZED_RE,1:256,1,1,1,d43e6de84b10b18ea4578088c9ce4a78cd0317dd1fc74dc3f0ae768fafec8e46,fb668b729940e90447f0d50bf1d7188454dcd4ac94d102eedb66a0a82ab9c57c,17.4998664850864,17.5,PASS
WQ-0010-010,rf_conformance_emulation_ue_fr1,QPSK,EQUALIZED_RE,1:256,1,1,1,d43e6de84b10b18ea4578088c9ce4a78cd0317dd1fc74dc3f0ae768fafec8e46,6936325ffddbb3aa2438a7c215ee7d1a61a545bdf82cc0a47ed4d9a95ae36f89,19.249853133595,17.5,PASS
WQ-0011-011,rf_conformance_emulation_ue_fr1,16QAM,EQUALIZED_RE,1:256,1,1,1,1c242b7000ff3f8cc31c4bba6d2e6d249dc16b9e1e8f304dee405e91e2a6d89c,f392ba6dbb8516110769d9122644ba0c9508322f840b6a0ff6e33909fec6821f,0,12.5,PASS
WQ-0012-012,rf_conformance_emulation_ue_fr1,16QAM,EQUALIZED_RE,1:256,1,1,1,1c242b7000ff3f8cc31c4bba6d2e6d249dc16b9e1e8f304dee405e91e2a6d89c,b00247fd9521bc6aa8c666183bac08b9cd4808a815f2ab594a48631047396d5d,6.24995231610228,12.5,PASS
WQ-0013-013,rf_conformance_emulation_ue_fr1,16QAM,EQUALIZED_RE,1:256,1,1,1,1c242b7000ff3f8cc31c4bba6d2e6d249dc16b9e1e8f304dee405e91e2a6d89c,1163a2b578f7a92b7c0f3e14d22c1e16289307898c82f905af53229730152051,11.2499141689841,12.5,PASS
WQ-0014-014,rf_conformance_emulation_ue_fr1,16QAM,EQUALIZED_RE,1:256,1,1,1,1c242b7000ff3f8cc31c4bba6d2e6d249dc16b9e1e8f304dee405e91e2a6d89c,3b1fa3fd70c80d6681338c40b77a0af67f90e8bdf9a0021eb0a513d7c29b3d8e,12.4999046322046,12.5,PASS
WQ-0015-015,rf_conformance_emulation_ue_fr1,16QAM,EQUALIZED_RE,1:256,1,1,1,1c242b7000ff3f8cc31c4bba6d2e6d249dc16b9e1e8f304dee405e91e2a6d89c,a13ce67e9be688cf2928529e9213bbc6859733f3968acadfeaee53faefbe0477,13.749895095425,12.5,PASS
WQ-0016-016,rf_conformance_emulation_ue_fr1,64QAM,EQUALIZED_RE,1:256,1,1,1,11b44192a514b0e8bc1972142af957a712165484438c3960648d6a18778cf60d,f392ba6dbb8516110769d9122644ba0c9508322f840b6a0ff6e33909fec6821f,0,8,PASS
WQ-0017-017,rf_conformance_emulation_ue_fr1,64QAM,EQUALIZED_RE,1:256,1,1,1,11b44192a514b0e8bc1972142af957a712165484438c3960648d6a18778cf60d,f64d439bcd725b40e38da962296937893c15ff8f5872731da44c62baab5e1c3a,3.99996948230546,8,PASS
WQ-0018-018,rf_conformance_emulation_ue_fr1,64QAM,EQUALIZED_RE,1:256,1,1,1,11b44192a514b0e8bc1972142af957a712165484438c3960648d6a18778cf60d,1a4bb31cf5f1384dd419e910ffd03d46f7e0aae030dbb66f916b7a6d38c24cc0,7.19994506814983,8,PASS
WQ-0019-019,rf_conformance_emulation_ue_fr1,64QAM,EQUALIZED_RE,1:256,1,1,1,11b44192a514b0e8bc1972142af957a712165484438c3960648d6a18778cf60d,60942f55e6c1041fa16d1de507efa425408fa8d91fc9d009f8f918b911148e4d,7.99993896461093,8,PASS
WQ-0020-020,rf_conformance_emulation_ue_fr1,64QAM,EQUALIZED_RE,1:256,1,1,1,11b44192a514b0e8bc1972142af957a712165484438c3960648d6a18778cf60d,b38efaf7a6a0e594efb61d24bba1da4e4f88fd37384ec66bacfa805d71ffae2f,8.79993286107202,8,PASS
WQ-0021-021,rf_conformance_emulation_ue_fr1,256QAM,EQUALIZED_RE,1:256,1,1,1,96bd8d5bc95bbc9d1223e3b4189b9a60a0e11345c7dd2c0e4207c78592472cc2,f392ba6dbb8516110769d9122644ba0c9508322f840b6a0ff6e33909fec6821f,0,3.5,PASS
WQ-0022-022,rf_conformance_emulation_ue_fr1,256QAM,EQUALIZED_RE,1:256,1,1,1,96bd8d5bc95bbc9d1223e3b4189b9a60a0e11345c7dd2c0e4207c78592472cc2,073ab78ba854c931e630afe4492a8ed0851b162094afea01c442408f57b76abb,1.74998664850865,3.5,PASS
WQ-0023-023,rf_conformance_emulation_ue_fr1,256QAM,EQUALIZED_RE,1:256,1,1,1,96bd8d5bc95bbc9d1223e3b4189b9a60a0e11345c7dd2c0e4207c78592472cc2,830ead22f2ebd10157e3687a39ccbc259137739f36e3067c6bc38255e6ba768c,3.14997596731556,3.5,PASS
WQ-0024-024,rf_conformance_emulation_ue_fr1,256QAM,EQUALIZED_RE,1:256,1,1,1,96bd8d5bc95bbc9d1223e3b4189b9a60a0e11345c7dd2c0e4207c78592472cc2,14da3be66965f2f3fece8b350536eea62f1f7feccc8d6d2a0bdf0e570b0a0321,3.49997329701727,3.5,PASS
WQ-0025-025,rf_conformance_emulation_ue_fr1,256QAM,EQUALIZED_RE,1:256,1,1,1,96bd8d5bc95bbc9d1223e3b4189b9a60a0e11345c7dd2c0e4207c78592472cc2,5d41291497c6984b193d5e20e47632d40cff26d99fcf6feeb0e4b40f3ec99cd1,3.849970626719,3.5,PASS
WQ-0026-026,rf_conformance_emulation_ue_fr1,1024QAM_LE4P2GHZ,EQUALIZED_RE,1:256,1,1,1,708a36cd84d0248739c09b5235eec6e87eb7d288953d2ac11f7a7c31dd6da2ab,f392ba6dbb8516110769d9122644ba0c9508322f840b6a0ff6e33909fec6821f,0,2.5,PASS
WQ-0027-027,rf_conformance_emulation_ue_fr1,1024QAM_LE4P2GHZ,EQUALIZED_RE,1:256,1,1,1,708a36cd84d0248739c09b5235eec6e87eb7d288953d2ac11f7a7c31dd6da2ab,e120960b61b16e9a772255a37ca66b11d445614f68b17d50fa13ffac4e5d402c,1.24999046322045,2.5,PASS
WQ-0028-028,rf_conformance_emulation_ue_fr1,1024QAM_LE4P2GHZ,EQUALIZED_RE,1:256,1,1,1,708a36cd84d0248739c09b5235eec6e87eb7d288953d2ac11f7a7c31dd6da2ab,cb6e7671a49e13f9f10b889fa1650af775550277bc741a55f6669ab0040199db,2.24998283379682,2.5,PASS
