CaseID,PAProfile,MemoryDepth,Order,CoefficientSHA256,InputPAPR_dB,OutputPAPR_dB,ACLR_dB,EVM_pct,Status
PA-0001,RAPP_BOUNDED_V1,1,1,0721af94cdf549899d2014394335d31b23c1df1765372c0425a5caa4b6201631,9.33335135734347,8.57220194173662,-0.795925926087903,1.67965810761975,PASS
PA-0002,RAPP_BOUNDED_V1,1,1,e93aefe232300d8d7095f2a708798b138dee4a09d84db42777dae0d444ec1d18,8.08911066254666,7.64997162306709,-0.32973483127341,29.7374289291746,PASS
PA-0003,RAPP_BOUNDED_V1,1,1,59412130c11257210761caed6ea2a6cc9b7c338eb944fcaf8d6d6a90c5f08f4d,8.6837164643686,8.07904133911806,0.720670039392113,50.3526373571573,PASS
PA-0004,RAPP_BOUNDED_V1,1,1,0721af94cdf549899d2014394335d31b23c1df1765372c0425a5caa4b6201631,9.1696902864221,8.43537561185212,0.304681630387575,1.55416405882461,PASS
PA-0005,RAPP_BOUNDED_V1,1,1,e93aefe232300d8d7095f2a708798b138dee4a09d84db42777dae0d444ec1d18,7.69247739865719,7.35824446841754,-0.102762714235636,29.7148820302276,PASS
PA-0006,RAPP_BOUNDED_V1,1,1,59412130c11257210761caed6ea2a6cc9b7c338eb944fcaf8d6d6a90c5f08f4d,8.02836036077806,7.61397076836741,0.15083935490368,50.313341314376,PASS
PA-0007,RAPP_BOUNDED_V1,1,1,0721af94cdf549899d2014394335d31b23c1df1765372c0425a5caa4b6201631,8.08018725869248,7.63452049747116,0.15345620315404,1.37706482984965,PASS
PA-0008,RAPP_BOUNDED_V1,1,1,e93aefe232300d8d7095f2a708798b138dee4a09d84db42777dae0d444ec1d18,8.60241259306377,8.0396684589865,-0.713940284376947,29.8396199874141,PASS
PA-0009,RAPP_BOUNDED_V1,1,1,59412130c11257210761caed6ea2a6cc9b7c338eb944fcaf8d6d6a90c5f08f4d,8.70597414675886,8.10815465327557,-0.00265803526406479,50.3128995806656,PASS
PA-0010,RAPP_BOUNDED_V1,1,1,0721af94cdf549899d2014394335d31b23c1df1765372c0425a5caa4b6201631,8.54849327438616,8.01102327503964,-0.364901356789047,1.70137148185472,PASS
PA-0011,RAPP_BOUNDED_V1,1,1,e93aefe232300d8d7095f2a708798b138dee4a09d84db42777dae0d444ec1d18,7.84799504752687,7.47200211688835,-1.08985059190108,29.7442597990043,PASS
PA-0012,RAPP_BOUNDED_V1,1,1,59412130c11257210761caed6ea2a6cc9b7c338eb944fcaf8d6d6a90c5f08f4d,8.64632528814757,8.10999168244256,-0.741848787038431,50.3494843638479,PASS
PA-0013,RAPP_BOUNDED_V1,1,1,0721af94cdf549899d2014394335d31b23c1df1765372c0425a5caa4b6201631,8.77294958067517,8.21794099503775,-0.350183447146317,1.34899224844534,PASS
PA-0014,RAPP_BOUNDED_V1,1,1,e93aefe232300d8d7095f2a708798b138dee4a09d84db42777dae0d444ec1d18,8.22870278840272,7.76801812586366,0.0386637126623843,29.8665682564888,PASS
PA-0015,RAPP_BOUNDED_V1,1,1,59412130c11257210761caed6ea2a6cc9b7c338eb944fcaf8d6d6a90c5f08f4d,8.10746877440884,7.64337467710819,-0.687831825550909,50.3500984508923,PASS
PA-0016,RAPP_BOUNDED_V1,1,1,0721af94cdf549899d2014394335d31b23c1df1765372c0425a5caa4b6201631,8.83780151385261,8.20757052595385,-0.431946293722298,1.52308892534317,PASS
