CaseID,Tone1_Hz,Tone2_Hz,IIP2_dBm,IIP3_dBm,IM2Power_dBm,IM3Power_dBm,ExpectedFrequency_Hz,MeasuredFrequency_Hz,Status
BLK-00001,3500000000,3505000000,40,-10,-140,-130,3495000000,3495000000,PASS
BLK-00002,3500000000,3505000000,40,0,-140,-150,3495000000,3495000000,PASS
BLK-00003,3500000000,3505000000,40,10,-140,-170,3495000000,3495000000,PASS
BLK-00004,3500000000,3505000000,40,20,-140,-190,3495000000,3495000000,PASS
BLK-00005,3500000000,3520000000,40,-10,-140,-130,3480000000,3480000000,PASS
BLK-00006,3500000000,3520000000,40,0,-140,-150,3480000000,3480000000,PASS
BLK-00007,3500000000,3520000000,40,10,-140,-170,3480000000,3480000000,PASS
BLK-00008,3500000000,3520000000,40,20,-140,-190,3480000000,3480000000,PASS
BLK-00009,3500000000,3600000000,40,-10,-140,-130,3400000000,3400000000,PASS
BLK-00010,3500000000,3600000000,40,0,-140,-150,3400000000,3400000000,PASS
BLK-00011,3500000000,3600000000,40,10,-140,-170,3400000000,3400000000,PASS
BLK-00012,3500000000,3600000000,40,20,-140,-190,3400000000,3400000000,PASS
BLK-00013,3500000000,3505000000,40,-10,-100,-70,3495000000,3495000000,PASS
BLK-00014,3500000000,3505000000,40,0,-100,-90,3495000000,3495000000,PASS
BLK-00015,3500000000,3505000000,40,10,-100,-110,3495000000,3495000000,PASS
BLK-00016,3500000000,3505000000,40,20,-100,-130,3495000000,3495000000,PASS
BLK-00017,3500000000,3520000000,40,-10,-100,-70,3480000000,3480000000,PASS
BLK-00018,3500000000,3520000000,40,0,-100,-90,3480000000,3480000000,PASS
BLK-00019,3500000000,3520000000,40,10,-100,-110,3480000000,3480000000,PASS
BLK-00020,3500000000,3520000000,40,20,-100,-130,3480000000,3480000000,PASS
BLK-00021,3500000000,3600000000,40,-10,-100,-70,3400000000,3400000000,PASS
BLK-00022,3500000000,3600000000,40,0,-100,-90,3400000000,3400000000,PASS
BLK-00023,3500000000,3600000000,40,10,-100,-110,3400000000,3400000000,PASS
BLK-00024,3500000000,3600000000,40,20,-100,-130,3400000000,3400000000,PASS
BLK-00025,3500000000,3505000000,40,-10,-60,-10,3495000000,3495000000,PASS
