CaseID,ChainID,CPEBefore_rad,CPEAfter_rad,ICIPowerBefore_dB,ICIPowerAfter_dB,CorrelationExpected,CorrelationMeasured,Status
PN-0001,1,0.00492133726232201,3.49085371054355e-09,-47.4489398727,-47.4489398727,0,-0.0561847451885029,PASS
PN-0001,2,-0.00267714032016301,1.0120897831757e-09,-47.085443534239,-47.085443534239,0,-0.0561847451885029,PASS
PN-0001,3,0.000695456057778719,-1.1455101222439e-09,-47.8350872719555,-47.8350872719555,0,-0.0561847451885029,PASS
PN-0001,4,0.00354210901453225,1.51600211758843e-09,-49.7264689144745,-49.7264689144745,0,-0.0561847451885029,PASS
PN-0002,1,-0.000666985230102064,-1.89384983415843e-09,-48.7270036466324,-48.7270036466324,0.5,0.439188115212311,PASS
PN-0002,2,0.00165427813063616,2.61705807981637e-09,-48.0142778317876,-48.0142778317876,0.5,0.439188115212311,PASS
PN-0002,3,0.00432129048984544,8.46873295368485e-09,-44.850465953831,-44.850465953831,0.5,0.439188115212311,PASS
PN-0002,4,0.0025900897382238,-4.76662849294375e-09,-47.8762938747594,-47.8762938747594,0.5,0.439188115212311,PASS
PN-0003,1,0.000620158651630996,-1.73880927878961e-09,-46.948793299798,-46.948793299798,1,1,PASS
PN-0003,2,0.000620158651630996,-1.73880927878961e-09,-46.948793299798,-46.948793299798,1,1,PASS
PN-0003,3,0.000620158651630996,-1.73880927878961e-09,-46.948793299798,-46.948793299798,1,1,PASS
PN-0003,4,0.000620158651630996,-1.73880927878961e-09,-46.948793299798,-46.948793299798,1,1,PASS
PN-0004,1,-0.00157348452420912,-8.68810253397439e-09,-45.1447931710165,-45.1447931710165,0,-0.136558272774637,PASS
PN-0004,2,0.00380534693167309,-5.60582227942743e-09,-48.0972988448457,-48.0972988448457,0,-0.136558272774637,PASS
PN-0004,3,0.0049653661239298,-1.28068554236347e-09,-50.3485658454481,-50.3485658454481,0,-0.136558272774637,PASS
PN-0004,4,-0.00443229778378011,1.58514349607809e-09,-49.2683129838471,-49.2683129838471,0,-0.136558272774637,PASS
PN-0005,1,0.00314061323200424,-7.63648142726441e-10,-51.0047340680539,-51.0047340680539,0.5,0.43252113543502,PASS
PN-0005,2,0.00483075440162161,2.13549729813491e-09,-51.3071669802999,-51.3071669802999,0.5,0.43252113543502,PASS
PN-0005,3,0.000980613011193961,-2.10131592889456e-09,-49.1688067926631,-49.1688067926631,0.5,0.43252113543502,PASS
PN-0005,4,0.00339096829203246,1.60328940801305e-09,-49.8726081798461,-49.8726081798461,0.5,0.43252113543502,PASS
PN-0006,1,-9.03011861658606e-05,-2.15590125878653e-10,-51.4486786737009,-51.4486786737009,1,1,PASS
PN-0006,2,-9.03011861658606e-05,-2.15590125878653e-10,-51.4486786737009,-51.4486786737009,1,1,PASS
PN-0006,3,-9.03011861658606e-05,-2.15590125878653e-10,-51.4486786737009,-51.4486786737009,1,1,PASS
PN-0006,4,-9.03011861658606e-05,-2.15590125878653e-10,-51.4486786737009,-51.4486786737009,1,1,PASS
PN-0007,1,-0.000181084787124547,7.27383454871691e-11,-53.5548930738123,-53.5548930738123,0,-0.10979277921863,PASS
PN-0007,2,0.00576383667016646,-8.84739604043842e-10,-49.9806335136442,-49.9806335136442,0,-0.10979277921863,PASS
PN-0007,3,0.000800685132189933,-2.4233563187531e-10,-54.9088291583488,-54.9088291583488,0,-0.10979277921863,PASS
PN-0007,4,-0.00152336033337816,-9.67103779257885e-10,-50.9805852534475,-50.9805852534475,0,-0.10979277921863,PASS
PN-0008,1,0.0024906884205359,-4.96210400823705e-09,-49.1883834501723,-49.1883834501723,0.5,0.583134769571616,PASS
PN-0008,2,0.000246360576454563,3.69548629240551e-10,-54.878295481173,-54.878295481173,0.5,0.583134769571616,PASS
PN-0008,3,0.00329489254750756,-1.29438191023859e-09,-49.7555822559773,-49.7555822559773,0.5,0.583134769571616,PASS
PN-0008,4,0.00226999009153849,-2.47830311761491e-09,-49.5562923741855,-49.5562923741855,0.5,0.583134769571616,PASS
PN-0009,1,-0.000355019236510087,-1.89044306540459e-10,-53.6845687999226,-53.6845687999226,1,1,PASS
PN-0009,2,-0.000355019236510087,-1.89044306540459e-10,-53.6845687999226,-53.6845687999226,1,1,PASS
PN-0009,3,-0.000355019236510087,-1.89044306540459e-10,-53.6845687999226,-53.6845687999226,1,1,PASS
PN-0009,4,-0.000355019236510087,-1.89044306540459e-10,-53.6845687999226,-53.6845687999226,1,1,PASS
PN-0010,1,-0.0201263311446712,-1.16341537569255e-06,-32.3322791137397,-32.3322791137397,0,-0.0319104672510228,PASS
PN-0010,2,-0.00821838598802241,-7.03013397545307e-07,-30.6538193829093,-30.6538193829093,0,-0.0319104672510228,PASS
PN-0010,3,0.00189912998226424,-8.20516486901222e-08,-33.9854607046306,-33.9854607046306,0,-0.0319104672510228,PASS
PN-0010,4,0.00151495547218466,-7.2717849594913e-07,-33.2950837418098,-33.2950837418098,0,-0.0319104672510228,PASS
PN-0011,1,-0.0128667366396174,4.63858218640433e-09,-30.5977116068907,-30.5977116068907,0.5,0.40461716741277,PASS
