CaseID,Bits,FullScale,Input,Code,Output,Clipped,QuantizationError,Status
DAC-Q-00001,3,0.5,-1.2,-3,-0.5,1,0.7,PASS
DAC-Q-00002,3,0.5,-1,-3,-0.5,1,0.5,PASS
DAC-Q-00003,3,0.5,-0.75,-3,-0.5,1,0.25,PASS
DAC-Q-00004,3,0.5,-0.1,-1,-0.166666666666667,0,-0.0666666666666667,PASS
DAC-Q-00005,3,0.5,0,0,0,0,0,PASS
DAC-Q-00006,3,0.5,0.1,1,0.166666666666667,0,0.0666666666666667,PASS
DAC-Q-00007,3,0.5,0.75,3,0.5,1,-0.25,PASS
DAC-Q-00008,3,0.5,1,3,0.5,1,-0.5,PASS
DAC-Q-00009,3,0.5,1.2,3,0.5,1,-0.7,PASS
DAC-Q-00010,3,1,-1.2,-3,-1,1,0.2,PASS
DAC-Q-00011,3,1,-1,-3,-1,1,0,PASS
DAC-Q-00012,3,1,-0.75,-2,-0.666666666666667,0,0.0833333333333334,PASS
DAC-Q-00013,3,1,-0.1,-0,-0,0,0.1,PASS
DAC-Q-00014,3,1,0,0,0,0,0,PASS
DAC-Q-00015,3,1,0.1,0,0,0,-0.1,PASS
DAC-Q-00016,3,1,0.75,2,0.666666666666667,0,-0.0833333333333334,PASS
DAC-Q-00017,3,1,1,3,1,1,0,PASS
DAC-Q-00018,3,1,1.2,3,1,1,-0.2,PASS
DAC-Q-00019,3,2,-1.2,-2,-1.33333333333333,0,-0.133333333333333,PASS
DAC-Q-00020,3,2,-1,-2,-1.33333333333333,0,-0.333333333333333,PASS
DAC-Q-00021,3,2,-0.75,-1,-0.666666666666667,0,0.0833333333333334,PASS
DAC-Q-00022,3,2,-0.1,-0,-0,0,0.1,PASS
DAC-Q-00023,3,2,0,0,0,0,0,PASS
DAC-Q-00024,3,2,0.1,0,0,0,-0.1,PASS
DAC-Q-00025,3,2,0.75,1,0.666666666666667,0,-0.0833333333333334,PASS
DAC-Q-00026,3,2,1,2,1.33333333333333,0,0.333333333333333,PASS
DAC-Q-00027,3,2,1.2,2,1.33333333333333,0,0.133333333333333,PASS
DAC-Q-00028,4,0.5,-1.2,-7,-0.5,1,0.7,PASS
DAC-Q-00029,4,0.5,-1,-7,-0.5,1,0.5,PASS
DAC-Q-00030,4,0.5,-0.75,-7,-0.5,1,0.25,PASS
DAC-Q-00031,4,0.5,-0.1,-1,-0.0714285714285714,0,0.0285714285714286,PASS
DAC-Q-00032,4,0.5,0,0,0,0,0,PASS
DAC-Q-00033,4,0.5,0.1,1,0.0714285714285714,0,-0.0285714285714286,PASS
DAC-Q-00034,4,0.5,0.75,7,0.5,1,-0.25,PASS
DAC-Q-00035,4,0.5,1,7,0.5,1,-0.5,PASS
DAC-Q-00036,4,0.5,1.2,7,0.5,1,-0.7,PASS
DAC-Q-00037,4,1,-1.2,-7,-1,1,0.2,PASS
DAC-Q-00038,4,1,-1,-7,-1,1,0,PASS
DAC-Q-00039,4,1,-0.75,-5,-0.714285714285714,0,0.0357142857142858,PASS
DAC-Q-00040,4,1,-0.1,-1,-0.142857142857143,0,-0.0428571428571428,PASS
DAC-Q-00041,4,1,0,0,0,0,0,PASS
DAC-Q-00042,4,1,0.1,1,0.142857142857143,0,0.0428571428571428,PASS
DAC-Q-00043,4,1,0.75,5,0.714285714285714,0,-0.0357142857142858,PASS
DAC-Q-00044,4,1,1,7,1,1,0,PASS
DAC-Q-00045,4,1,1.2,7,1,1,-0.2,PASS
DAC-Q-00046,4,2,-1.2,-4,-1.14285714285714,0,0.0571428571428572,PASS
DAC-Q-00047,4,2,-1,-4,-1.14285714285714,0,-0.142857142857143,PASS
DAC-Q-00048,4,2,-0.75,-3,-0.857142857142857,0,-0.107142857142857,PASS
DAC-Q-00049,4,2,-0.1,-0,-0,0,0.1,PASS
