CaseID,TrueTiming_samples,EstimatedTiming_samples,Error_samples,PeakMetric,FalseLock,Status
TSC-0001-TA,-3.75,-3.74901616853435,0.000983831465653395,0.999998578729346,0,PASS
TSC-0002-TA,-3.75,-3.7540584589578,-0.0040584589578021,0.999972385538621,0,PASS
TSC-0003-TA,-3.75,-3.74738742193637,0.00261257806363391,0.999990253975649,0,PASS
TSC-0004-TA,-3.75,-3.75423005250592,-0.00423005250591979,0.999972496734347,0,PASS
TSC-0005-TA,-3.75,-3.74658251141698,0.00341748858302271,0.999980268352236,0,PASS
TSC-0006-TA,-3.75,-3.74632314974855,0.00367685025144704,0.999979560147964,0,PASS
TSC-0007-TA,-3.75,-3.74775396814654,0.00224603185346073,0.999991912263958,0,PASS
TSC-0008-TA,-3.75,-3.75303027931313,-0.00303027931312982,0.999984167024766,0,PASS
TSC-0009-TA,-3.75,-3.74878474460277,0.00121525539722622,0.999997712267562,0,PASS
TSC-0010-TA,-3.75,-3.75008680270442,-8.68027044207409e-05,0.999999988173093,0,PASS
TSC-0011-TA,-0.5,-0.502598415002819,-0.00259841500281899,0.999989659329699,0,PASS
TSC-0012-TA,-0.5,-0.504794050677474,-0.00479405067747374,0.999959041503296,0,PASS
TSC-0013-TA,-0.5,-0.503523133345284,-0.00352313334528387,0.999977624854951,0,PASS
TSC-0014-TA,-0.5,-0.498843580391561,0.00115641960843937,0.999997856934591,0,PASS
TSC-0015-TA,-0.5,-0.504810351260454,-0.00481035126045404,0.999963015422352,0,PASS
TSC-0016-TA,-0.5,-0.499265519883331,0.000734480116669156,0.999999071213416,0,PASS
TSC-0017-TA,-0.5,-0.50193992837041,-0.00193992837040979,0.999993197117401,0,PASS
TSC-0018-TA,-0.5,-0.501390160586216,-0.00139016058621555,0.99999634223097,0,PASS
TSC-0019-TA,-0.5,-0.499272405568374,0.000727594431626288,0.99999912657469,0,PASS
TSC-0020-TA,-0.5,-0.502094677575628,-0.00209467757562753,0.999993087004522,0,PASS
TSC-0021-TA,0,0,0,1,0,PASS
TSC-0022-TA,0,0,0,1,0,PASS
TSC-0023-TA,0,0,0,1,0,PASS
TSC-0024-TA,0,0,0,1,0,PASS
