CaseID,InputPower_dBm,LNAGain_dB,AGCGain_dB,ADCFullScale,ClippingRatio,SINR_dB,BLER,Status
DR-0026,-90,20,62.3411998265481,1,0,65.9880086618685,2.1986845124764e-18,PASS
DR-0027,-88.8,20,61.141199826557,1,0,65.9880086796953,2.19868448634605e-18,PASS
DR-0028,-87.6,20,59.9411998265588,1,0,65.9880086832713,2.19868448110435e-18,PASS
DR-0029,-86.4,20,58.7411998265592,1,0,65.9880086839624,2.19868448009137e-18,PASS
DR-0030,-85.2,20,57.5411998265592,1,0,65.9880086841015,2.1986844798874e-18,PASS
DR-0031,-84,20,56.3411998265592,1,0,65.9880086841386,2.19868447983303e-18,PASS
DR-0032,-82.8,20,55.1411998265593,1,0,65.9880086841572,2.19868447980582e-18,PASS
DR-0033,-81.6,20,53.9411998265593,1,0,65.9880086841734,2.19868447978201e-18,PASS
DR-0034,-80.4,20,52.7411998265593,1,0,65.9880086841386,2.19868447983303e-18,PASS
DR-0035,-79.2,20,51.5411998265593,1,0,65.9880086841572,2.19868447980582e-18,PASS
DR-0036,-78,20,50.3411998265593,1,0,65.9880086841549,2.19868447980919e-18,PASS
DR-0037,-76.8,20,49.1411998265593,1,0,65.9880086841178,2.19868447986359e-18,PASS
DR-0038,-75.6,20,47.9411998265593,1,0,65.9880086841734,2.19868447978201e-18,PASS
DR-0039,-74.4,20,46.7411998265592,1,0,65.9880086841201,2.19868447986022e-18,PASS
DR-0040,-73.2,20,45.5411998265593,1,0,65.9880086841363,2.19868447983641e-18,PASS
DR-0041,-72,20,44.3411998265592,1,0,65.9880086841363,2.19868447983641e-18,PASS
DR-0042,-70.8,20,43.1411998265593,1,0,65.9880086841549,2.19868447980919e-18,PASS
DR-0043,-69.6,20,41.9411998265593,1,0,65.9880086841734,2.19868447978201e-18,PASS
DR-0044,-68.4,20,40.7411998265593,1,0,65.9880086841386,2.19868447983303e-18,PASS
DR-0045,-67.2,20,39.5411998265593,1,0,65.9880086841386,2.19868447983303e-18,PASS
DR-0046,-66,20,38.3411998265592,1,0,65.9880086841572,2.19868447980582e-18,PASS
DR-0047,-64.8,20,37.1411998265593,1,0,65.9880086841386,2.19868447983303e-18,PASS
DR-0048,-63.6,20,35.9411998265593,1,0,65.9880086841572,2.19868447980582e-18,PASS
DR-0049,-62.4,20,34.7411998265593,1,0,65.9880086841665,2.19868447979223e-18,PASS
DR-0050,-61.2,20,33.5411998265593,1,0,65.9880086841456,2.1986844798228e-18,PASS
DR-0051,-60,20,32.3411998265593,1,0,65.9880086841549,2.19868447980919e-18,PASS
DR-0052,-58.8,20,31.1411998265593,1,0,65.9880086841642,2.1986844797956e-18,PASS
DR-0053,-57.6,20,29.9411998265592,1,0,65.9880086841363,2.19868447983641e-18,PASS
DR-0054,-56.4,20,28.7411998265593,1,0,65.9880086841549,2.19868447980919e-18,PASS
DR-0055,-55.2,20,27.5411998265593,1,0,65.9880086841642,2.1986844797956e-18,PASS
DR-0056,-54,20,26.3411998265593,1,0,65.9880086841572,2.19868447980582e-18,PASS
DR-0057,-52.8,20,25.1411998265593,1,0,65.9880086841711,2.19868447978542e-18,PASS
DR-0058,-51.6,20,23.9411998265593,1,0,65.9880086841549,2.19868447980919e-18,PASS
DR-0059,-50.4,20,22.7411998265593,1,0,65.9880086841456,2.1986844798228e-18,PASS
DR-0060,-49.2,20,21.5411998265593,1,0,65.9880086841711,2.19868447978542e-18,PASS
DR-0061,-48,20,20.3411998265593,1,0,65.9880086841549,2.19868447980919e-18,PASS
DR-0062,-46.8,20,19.1411998265592,1,0,65.9880086841479,2.19868447981943e-18,PASS
DR-0063,-45.6,20,17.9411998265592,1,0,65.9880086841247,2.19868447985341e-18,PASS
DR-0064,-44.4,20,16.7411998265593,1,0,65.9880086841502,2.19868447981601e-18,PASS
DR-0065,-43.2,20,15.5411998265592,1,0,65.988008684127,2.19868447985e-18,PASS
DR-0066,-42,20,14.3411998265592,1,0,65.9880086841224,2.19868447985681e-18,PASS
DR-0067,-40.8,20,13.1411998265592,1,0,65.9880086841479,2.19868447981943e-18,PASS
DR-0068,-39.6,20,11.9411998265593,1,0,65.9880086841595,2.19868447980243e-18,PASS
DR-0069,-38.4,20,10.7411998265593,1,0,65.9880086841642,2.1986844797956e-18,PASS
DR-0070,-37.2,20,9.54119982655925,1,0,65.9880086841502,2.19868447981601e-18,PASS
DR-0071,-36,20,8.34119982655925,1,0,65.9880086841479,2.19868447981943e-18,PASS
DR-0072,-34.8,20,7.14119982655924,1,0,65.9880086841433,2.19868447982619e-18,PASS
DR-0073,-33.6,20,5.94119982655926,1,0,65.9880086841642,2.1986844797956e-18,PASS
DR-0074,-32.4,20,4.74119982655925,1,0,65.9880086841456,2.1986844798228e-18,PASS
DR-0075,-31.2,20,3.54119982655925,1,0,65.9880086841595,2.19868447980243e-18,PASS
DR-0076,-30,20,2.34119982655926,1,0,65.9880086841618,2.19868447979901e-18,PASS
DR-0077,-28.8,20,1.14119982655925,1,0,65.9880086841502,2.19868447981601e-18,PASS
DR-0078,-27.6,20,-0.0588001734407528,1,0,65.9880086841317,2.19868447984322e-18,PASS
DR-0079,-26.4,20,-1.25880017344074,1,0,65.9880086841549,2.19868447980919e-18,PASS
DR-0080,-25.2,20,-2.45880017344074,1,0,65.9880086841642,2.1986844797956e-18,PASS
DR-0081,-24,20,-3.65880017344074,1,0,65.9880086841665,2.19868447979223e-18,PASS
DR-0082,-22.8,20,-4.85880017344076,1,0,65.988008684141,2.19868447982961e-18,PASS
DR-0083,-21.6,20,-6.05880017344074,1,0,65.9880086841525,2.19868447981262e-18,PASS
DR-0084,-20.4,20,-7.25880017344075,1,0,65.9880086841317,2.19868447984322e-18,PASS
DR-0085,-19.2,20,-8.45880017344074,1,0,65.9880086841688,2.19868447978882e-18,PASS
DR-0086,-18,20,-9.65880017344075,1,0,65.988008684141,2.19868447982961e-18,PASS
DR-0087,-16.8,20,-10.8588001734408,1,0,65.988008684127,2.19868447985e-18,PASS
DR-0088,-15.6,20,-12.0588001734408,1,0,65.9880086841294,2.19868447984661e-18,PASS
DR-0089,-14.4,20,-13.2588001734408,1,0,65.9880086841247,2.19868447985341e-18,PASS
DR-0090,-13.2,20,-14.4588001734408,1,0,65.9880086841386,2.19868447983303e-18,PASS
DR-0091,-12,20,-15.6588001734407,1,0,65.9880086841642,2.1986844797956e-18,PASS
DR-0092,-10.8,20,-16.8588001734407,1,0,65.9880086841688,2.19868447978882e-18,PASS
DR-0093,-9.60000000000001,20,-18.0588001734407,1,0,65.9880086841479,2.19868447981943e-18,PASS
DR-0094,-8.40000000000001,20,-19.2588001734408,1,0,65.9880086841386,2.19868447983303e-18,PASS
DR-0095,-7.2,20,-20.4588001734408,1,0,65.9880086841294,2.19868447984661e-18,PASS
DR-0096,-6,20,-21.6588001734408,1,0,65.9880086841456,2.1986844798228e-18,PASS
DR-0097,-4.80000000000001,20,-22.8588001734407,1,0,65.988008684141,2.19868447982961e-18,PASS
DR-0098,-3.60000000000001,20,-24.0588001734407,1,0,65.988008684134,2.1986844798398e-18,PASS
DR-0099,-2.40000000000001,20,-25.2588001734408,1,0,65.9880086841224,2.19868447985681e-18,PASS
DR-0100,-1.2,20,-26.4588001734407,1,0,65.9880086841433,2.19868447982619e-18,PASS
