CaseID,InputPower_dBm,LNAGain_dB,AGCGain_dB,ADCFullScale,ClippingRatio,SINR_dB,BLER,Status
DR-0001,-120,20,27.6123599479678,1,0,-3004.13891563386,1,PASS
DR-0002,-118.8,20,46.5810119115452,1,0,51.1714173962917,4.28553916835763e-14,PASS
DR-0003,-117.6,20,59.4990682860494,1,0,34.471102421776,2.93252615200807e-09,PASS
DR-0004,-116.4,20,68.1817077482024,1,0,44.5105269898854,3.63522057249104e-12,PASS
DR-0005,-115.2,20,73.8995553717094,1,0,57.4373278426636,6.57413444550567e-16,PASS
DR-0006,-114,20,77.5420487081644,1,0,62.3771794071925,2.44120957216477e-17,PASS
DR-0007,-112.8,20,79.7317940436828,1,0,63.1054879993073,1.50223587460298e-17,PASS
DR-0008,-111.6,20,80,1,0,62.2367455345922,2.68080259250383e-17,PASS
DR-0009,-110.4,20,80,1,0,70.5178838589763,1.07307410814607e-19,PASS
DR-0010,-109.2,20,80,1,0,69.803190347068,1.72804354348688e-19,PASS
DR-0011,-108,20,80,1,0,80.7658287985426,1.15756598693813e-22,PASS
DR-0012,-106.8,20,79.0729598612474,1,0,83.1673400470089,2.33473199568235e-23,PASS
DR-0013,-105.6,20,77.9275518334969,1,0,70.8112823201295,8.82433853493074e-20,PASS
DR-0014,-104.4,20,76.7384702279468,1,0,68.7840589862896,3.40897198792351e-19,PASS
DR-0015,-103.2,20,75.5406539068368,1,0,64.9636836378021,4.35246600434181e-18,PASS
DR-0016,-102,20,74.3410906426147,1,0,65.7732462376876,2.53713167748192e-18,PASS
DR-0017,-100.8,20,73.1411779897704,1,0,65.9446290680819,2.26319823658999e-18,PASS
DR-0018,-99.6,20,71.9411954592015,1,0,65.9793154029311,2.21146399769045e-18,PASS
DR-0019,-98.4,20,70.7411989530877,1,0,65.9862693313246,2.20123548393733e-18,PASS
DR-0020,-97.2,20,69.5411996518649,1,0,65.9876607856796,2.19919448493567e-18,PASS
DR-0021,-96,20,68.3411997916204,1,0,65.9879391033386,2.19878647301539e-18,PASS
DR-0022,-94.8,20,67.1411998195715,1,0,65.9879947679535,2.19870487812782e-18,PASS
DR-0023,-93.6,20,65.9411998251617,1,0,65.9880059008734,2.19868855951819e-18,PASS
DR-0024,-92.4,20,64.7411998262797,1,0,65.9880081274744,2.19868529578584e-18,PASS
DR-0025,-91.2,20,63.5411998265034,1,0,65.9880085728109,2.19868464301608e-18,PASS
