CaseID,SCO_ppm,InputSamples,OutputSamples,ExpectedDrift_samples,MeasuredDrift_samples,Error_samples,AliasPower_dBc,Status
TSC-0001,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0002,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
TSC-0003,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0004,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0005,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0006,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0007,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0008,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0009,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0010,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
TSC-0011,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0012,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
TSC-0013,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0014,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0015,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0016,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0017,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0018,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0019,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0020,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
TSC-0021,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0022,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
TSC-0023,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0024,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0025,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0026,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0027,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0028,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0029,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0030,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
TSC-0031,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0032,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
TSC-0033,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0034,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0035,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0036,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0037,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0038,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0039,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0040,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
TSC-0041,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0042,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
TSC-0043,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0044,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0045,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0046,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0047,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0048,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0049,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0050,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
TSC-0051,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0052,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
TSC-0053,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0054,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0055,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0056,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0057,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0058,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0059,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0060,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
TSC-0061,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0062,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
TSC-0063,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0064,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0065,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0066,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0067,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0068,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0069,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0070,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
TSC-0071,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0072,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
TSC-0073,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0074,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0075,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0076,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0077,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0078,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0079,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0080,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
TSC-0081,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0082,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
TSC-0083,-10,1024,1024,-0.01023,-0.0102399999999534,-9.99999995339798e-06,-97.7064306071172,PASS
TSC-0084,-10,16384,16384,-0.16383,-0.163839999999254,-9.99999925435646e-06,-97.7064306071172,PASS
TSC-0085,0,1024,1024,0,0,0,-97.7064306071172,PASS
TSC-0086,0,16384,16384,0,0,0,-97.7064306071172,PASS
TSC-0087,10,1024,1023,0.01023,0.0102400000000671,1.00000000670848e-05,-97.7064306071172,PASS
TSC-0088,10,16384,16383,0.16383,0.163840000001073,1.00000010733459e-05,-97.7064306071172,PASS
TSC-0089,50,1024,1023,0.05115,0.051200000000108,5.00000001080469e-05,-97.7064306071172,PASS
TSC-0090,50,16384,16383,0.81915,0.819200000001729,5.00000017288338e-05,-97.7064306071172,PASS
TSC-0091,-50,1024,1024,-0.05115,-0.0511999999999944,-4.99999999943601e-05,-97.7064306071172,PASS
TSC-0092,-50,16384,16384,-0.81915,-0.81919999999991,-4.99999999098444e-05,-97.7064306071172,PASS
