MetricKey,Entity,Statistic,Value,TextValue,Unit,Notes,Availability
"beam_detection_probability","DL","rate",1,"1","fraction","Measured from runtime beam-detection states in the beam-management trace.","observed"
"beam_index_hit_rate","DL","rate",0.333333333333333,"0.333333333333","fraction","Selected beam matches the best measured beam in the runtime beam-management trace.","observed"
"top_k_beam_hit_rate","DL","top2_rate",0.666666666666667,"0.666666666667","fraction","Selected beam lies within the top-2 measured beam set in the runtime beam-management trace.","observed"
"beam_switch_latency","DL","mean_between_switches",0.001,"0.001","s","Measured from explicit runtime beam-switch events in the beam-management event trace.","observed"
"beam_misalignment_probability","DL","rate",0.666666666666667,"0.666666666667","fraction","Measured from runtime trials where the selected beam differs from the best measured beam.","observed"
"beam_prediction_accuracy","DL","rate",0.333333333333333,"0.333333333333","fraction","Measured selected-beam accuracy under the active runtime beam-selection strategy.","observed"
"beam_refinement_convergence","DL","mean_trials_to_first_hit",1,"1","trials","Measured trials-to-first-hit from the runtime beam-management event trace.","observed"
"beam_failure_rate","DL","rate",0,"0","fraction","Measured from runtime trials whose beam gain gap exceeds 3 dB.","observed"
"mtrp_beam_selection_gain","DL","delta_dB",NaN,"","dB","Single-TRP runtime; mTRP beam-selection gain is not enabled for this scenario.","disabled"
"beam_management_overhead","DL","mean_beams_evaluated",8,"8","beams","Average candidate-beam count evaluated per runtime beam-management sample.","observed"
"beam_detection_probability","UL","rate",1,"1","fraction","Measured from runtime beam-detection states in the beam-management trace.","observed"
"beam_index_hit_rate","UL","rate",0,"0","fraction","Selected beam matches the best measured beam in the runtime beam-management trace.","observed"
"top_k_beam_hit_rate","UL","top2_rate",0,"0","fraction","Selected beam lies within the top-2 measured beam set in the runtime beam-management trace.","observed"
"beam_switch_latency","UL","mean_between_switches",NaN,"","s","No runtime beam-switch events were observed for this direction.","not_exercised"
"beam_misalignment_probability","UL","rate",1,"1","fraction","Measured from runtime trials where the selected beam differs from the best measured beam.","observed"
"beam_prediction_accuracy","UL","rate",0,"0","fraction","Measured selected-beam accuracy under the active runtime beam-selection strategy.","observed"
"beam_refinement_convergence","UL","mean_trials_to_first_hit",NaN,"","trials","No runtime beam-refinement convergence event was observed for this direction.","not_exercised"
"beam_failure_rate","UL","rate",0.5,"0.5","fraction","Measured from runtime trials whose beam gain gap exceeds 3 dB.","observed"
"mtrp_beam_selection_gain","UL","delta_dB",NaN,"","dB","Single-TRP runtime; mTRP beam-selection gain is not enabled for this scenario.","disabled"
"beam_management_overhead","UL","mean_beams_evaluated",64,"64","beams","Average candidate-beam count evaluated per runtime beam-management sample.","observed"
