Direction,SNR_dB,Frame,Slot,UEIndex,RNTI,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,SelectedBeamGain_dB,BestBeamGain_dB,BeamGainGap_dB,BeamSelectionStrategy,ConfiguredBeamSelectionStrategy,AppliedBeamIndexSet,Status,TrialOrdinal,AbsoluteSlot,BeamDetectedFlag,MisalignmentFlag,BeamFailureFlag,PredictionSuccessFlag,TrialsSinceLastSwitch,StateBefore,StateAfter,BeamSweepEnabled,BeamCountConfigured
"DL",20,1,16,1,1,8,8,1,1,8,31.8909518278199,31.8909518278199,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","FAIL",1,36,1,0,0,1,0,"uninitialized","aligned",1,8
"DL",20,1,18,1,1,1,2,0,0,8,35.2745141842426,35.2745141842426,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","FAIL",2,38,1,1,0,0,0,"aligned","misaligned",1,8
"DL",20,1,16,2,2,1,2,0,0,8,33.1887325884067,33.1887325884067,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","FAIL",1,36,1,1,0,0,0,"uninitialized","misaligned",1,8
"DL",20,1,18,2,2,1,2,0,1,8,33.1737973344954,33.1737973344954,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","FAIL",2,38,1,1,0,0,1,"misaligned","misaligned",1,8
"DL",20,1,17,3,3,1,2,0,1,8,33.2158506294698,33.2158506294698,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","FAIL",1,37,1,1,0,0,0,"uninitialized","misaligned",1,8
"DL",20,1,17,4,4,1,1,1,1,8,36.5701795289425,36.5701795289425,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","FAIL",1,37,1,0,0,1,0,"uninitialized","aligned",1,8
"UL",20,1,20,1,1,1,14,0,0,64,-4.14205103650712,-1.26372245772889,2.87832857877823,"runtime_best_beam_per_link","runtime_best_beam_per_link","not_recorded_by_active_ul_pusch_trials_runtime","FAIL",1,40,1,1,0,0,0,"uninitialized","misaligned",1,8
"UL",20,1,20,2,2,1,16,0,0,64,3.37728522507851,7.3020688433459,3.9247836182674,"runtime_best_beam_per_link","runtime_best_beam_per_link","not_recorded_by_active_ul_pusch_trials_runtime","FAIL",1,40,1,1,1,0,0,"uninitialized","failed_alignment",1,8
