ComparisonID,FixedReceiverSHA256,GeometryReceiverSHA256,Equal,Status
DL_AWGN_-5_11,129f2c5d03e59dbe369d3d69b1548e09a780ea655eb5f5617d101c99f6f763ec,129f2c5d03e59dbe369d3d69b1548e09a780ea655eb5f5617d101c99f6f763ec,1,PASS
DL_AWGN_-5_23,8f2dbecffb77c85eb96fca79bcc736b16cf530a9d427510f01f6ebc1dea90397,8f2dbecffb77c85eb96fca79bcc736b16cf530a9d427510f01f6ebc1dea90397,1,PASS
DL_AWGN_-5_47,db8e4f11ddbf01c31aaa6c025a261a6ec6a0b9c5bee1ceed9137591167fe74f6,db8e4f11ddbf01c31aaa6c025a261a6ec6a0b9c5bee1ceed9137591167fe74f6,1,PASS
DL_AWGN_-5_89,013b3be274c0b99e73585ecf1515860f0c70f8051ff65d1768b3e083b08be7dc,013b3be274c0b99e73585ecf1515860f0c70f8051ff65d1768b3e083b08be7dc,1,PASS
DL_AWGN_0_11,2e8a2a7221b3117af6cd0f558de1e3f15041e425a9abbabdac729121d3e6d017,2e8a2a7221b3117af6cd0f558de1e3f15041e425a9abbabdac729121d3e6d017,1,PASS
DL_AWGN_0_23,716c1df85c1860484e84ee725917f35c437192ffb19389cedd8fc701cf6c0c4b,716c1df85c1860484e84ee725917f35c437192ffb19389cedd8fc701cf6c0c4b,1,PASS
DL_AWGN_0_47,8cfb8b853651d83a8d39219704484b96e1a9e486ba8e8c227435ef1ed8b47a50,8cfb8b853651d83a8d39219704484b96e1a9e486ba8e8c227435ef1ed8b47a50,1,PASS
DL_AWGN_0_89,a696946a8854c0deedbb4ca9acb491f032fc52972929bfd7917e2cb8a4e7710b,a696946a8854c0deedbb4ca9acb491f032fc52972929bfd7917e2cb8a4e7710b,1,PASS
DL_AWGN_5_11,668bc53eb9e167d420a5c578f4bdeb90f4c53b77dcb62384d3a3823eeffbf822,668bc53eb9e167d420a5c578f4bdeb90f4c53b77dcb62384d3a3823eeffbf822,1,PASS
DL_AWGN_5_23,6725e4988287a0fcac11e734b867b21f0fcccb546fafccecb20a241567310aea,6725e4988287a0fcac11e734b867b21f0fcccb546fafccecb20a241567310aea,1,PASS
DL_AWGN_5_47,64a3c23c344c76cceda3fd26dacf80c1cf5f57149d00fe849f6df89d1530d6ed,64a3c23c344c76cceda3fd26dacf80c1cf5f57149d00fe849f6df89d1530d6ed,1,PASS
DL_AWGN_5_89,4efa13382ad750742d6d81c59d962f0a2226fc8777b239bf2202b8d45c2ef640,4efa13382ad750742d6d81c59d962f0a2226fc8777b239bf2202b8d45c2ef640,1,PASS
DL_AWGN_10_11,b601d1967094fb5149604cb17d950b160528bdd600628790b734cb7fded90bf7,b601d1967094fb5149604cb17d950b160528bdd600628790b734cb7fded90bf7,1,PASS
DL_AWGN_10_23,4dbac1938640c2aee5eed665233f5c2062a02eb05fb6008c9ef9eb183c03c6a6,4dbac1938640c2aee5eed665233f5c2062a02eb05fb6008c9ef9eb183c03c6a6,1,PASS
DL_AWGN_10_47,faa482238c0a45fed118d036cf824347d9987fb67da0f7000eeaa75f3c09d61f,faa482238c0a45fed118d036cf824347d9987fb67da0f7000eeaa75f3c09d61f,1,PASS
DL_AWGN_10_89,b5add9040092b97b2a7fe25e76c0e3d2b4c77f1f25627821f36324dde1dde0d9,b5add9040092b97b2a7fe25e76c0e3d2b4c77f1f25627821f36324dde1dde0d9,1,PASS
DL_TDL-C_-5_11,1363305d70bb9f5bdd61ee36e3c3893fe11e62b4fc31a0a9c0c8961750671ae3,1363305d70bb9f5bdd61ee36e3c3893fe11e62b4fc31a0a9c0c8961750671ae3,1,PASS
DL_TDL-C_-5_23,fa1b0527e6c756140d86474ff271b659cde42bb04bf5cecf19bcb4e9b39d43d9,fa1b0527e6c756140d86474ff271b659cde42bb04bf5cecf19bcb4e9b39d43d9,1,PASS
DL_TDL-C_-5_47,2a7864a160f29e3385b8efb8bb547838dd9e9afd42b535ef5f92b5cf1d9abb06,2a7864a160f29e3385b8efb8bb547838dd9e9afd42b535ef5f92b5cf1d9abb06,1,PASS
