RunID,RunMode,RadioProfile,RunClass,Normative,Status
master_sinr_sweep-99f4d8f859ea,FIXED_SNR_SWEEP,nr_rel18_system_lls_strict,fixed_link_calibration,1,PASS
master_geometry_based-c48470a04d4d,GEOMETRY_NETWORK,nr_rel18_system_lls_strict,geometry_system_lls,1,PASS
