CaseID,Direction,MappingType,ConfigurationType,Length,AdditionalPosition,LogicalPorts,REIndexSHA256,SequenceSHA256,MismatchCount,Status
DMRS-001,DL,A,1,1,0,0,0e84fcfae73b8b83a21721c291820cac4c392b305876a9a8e21e95feb56a98e4,528e9e907ce4a8063244f1cbda6f89d56c62f07c8b602c76e6c5c8270fe5ef35,0,PASS
DMRS-002,DL,A,1,1,0,0;1,8af61d8c711d287ad14655242eeb7439a54b89b9efd51fe1569a07685eb2deb4,a13100a4f7c2bedf21bb151e474a68f83e7a83bca49eb5a85d4074b8eca97c90,0,PASS
DMRS-003,DL,A,1,1,0,0;2,d24fb7f682e9c365523aeb59a02221b4ae18c62ff4f10e9e5eb898d26a098293,639251abded7b7425a3a19e0af4966347a7d4f259a0072b3090a17272090b2a5,0,PASS
DMRS-004,DL,A,1,1,1,0,0507854e3a75fcefc4de969a845c480a32ec7282f86d67f5fcaca3e3ef1f3af4,57e269cb89ffd88749c44af6145c68a458944e0378dbda42eab466c6d7fd59dc,0,PASS
DMRS-005,DL,A,1,1,1,0;1,c7d77553c0a983d3875a254ad55731b3867d86454036f1923f86bdceac309aed,fde15b5d87c433917b5ee6609888f8fe7cbf99b3facad7f515668db814aa3788,0,PASS
DMRS-006,DL,A,1,1,1,0;2,a8f25c41e968510d1030dab3c5c0c9c2a19d0efc3a64dbaaa8fe8e2efee298cf,86f878a455410e126ae68dbc14db250c80aaf2463c0bb43b1d20ba907b8a5571,0,PASS
DMRS-007,DL,A,1,1,2,0,0c6cd49ce858ed729b92a883d13826a3843ee6ba3a82d8db9f7c735195998fd7,f05e1d6f64f1949e600daf69537e71ae482f6bd36e47218e7b9ac86a222f6ca8,0,PASS
DMRS-008,DL,A,1,1,2,0;1,d0b130d7b29d92cbd70f5bf4c17c8ef2d706952dca34179143341b4a0e9ccefa,231326bee95787c8017c158a3258d730cc3f6b2db91fbe32f86a051535702872,0,PASS
DMRS-009,DL,A,1,1,2,0;2,1020d7499e5914c3322d5d43661c3bbc03f1ab2043f1d4238528c6c07229a26a,5a45faae4451762821a5168fcc53b7b7868d6beb48563c89320ad3974157d69f,0,PASS
DMRS-010,DL,A,1,1,3,0,ebeb1e49a86db92e9e22e928f8f316bd7e2fc5ea34986ba6a9e4872fe9c4821d,36fcd80b05442bd589964a1fd30dc1a36336c20b72c5686e4b9a8f5c4f1ef824,0,PASS
DMRS-011,DL,A,1,1,3,0;1,e647e9fc9f7d88f80a802dc160c31f4cf68f2242054e59218f129795d6c99df4,034033238752ed38c19619c6a12f1ee90b04734b20523ed3f65b1a1c4053d62c,0,PASS
DMRS-012,DL,A,1,1,3,0;2,0b68465d738360e931621d0ab2ab878ba1f5a43c518881a43550ede4fa65a523,d69b642d172253cc8f519ff141a9535c9c8e188a0df7b107576e26625ad9d114,0,PASS
DMRS-013,DL,A,1,2,0,0,263164256d69f9efdb3a04f918fdd9ea9ebf99f00d9994ca74810c246d370c44,ffa816194ef1f78d60f822ec6c4d2f0ccac742fe34d86ea74e76c986aad2b747,0,PASS
DMRS-014,DL,A,1,2,0,0;1,cf9be1536356e3d04fbe096cc40454ea7983bcc61778d39add6ccee4adcbd5c0,2a4b7a6ea9dc23a21c741b2cb880df59f95ca3c3fb38bb0115dac5618af79bdc,0,PASS
DMRS-015,DL,A,1,2,0,0;2,e3dbe53be111d106a6bd170472ab31ce5cb69cd4eef18a5cd7a541fad10b5bf2,48874623901f5dda637b7fb9830849cbdd14514355f6415645f358aded86519c,0,PASS
DMRS-016,DL,A,1,2,1,0,b38308ab283aa7c257c37128cc59921ddcc9a6f5931c4f487dd5c11a79266af1,4976f17e42047d8e321d0048499f2f99ebd12df1408cc6a7592f2117dd80de3b,0,PASS
DMRS-017,DL,A,1,2,1,0;1,7402b670347c7f9b88077e8d42ec72d9663ccd950bac679d6048cec23eda09c1,2fe658af44cf9060c76deec557d131d5ad698e9ff4c6d0a583b7e43212ec6856,0,PASS
DMRS-018,DL,A,1,2,1,0;2,30a7ac6de3a07529af0153f8b22352f28d2f43280bc1a6c7cd4ecbe5e36b6e5e,041300e4c1bfc1d39c5fc7bf2fb76fa998804f4832f67607bbb86c731406c8f1,0,PASS
DMRS-019,DL,A,1,2,2,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-020,DL,A,1,2,2,0;1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-021,DL,A,1,2,2,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-022,DL,A,1,2,3,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-023,DL,A,1,2,3,0;1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-024,DL,A,1,2,3,0;2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS
DMRS-025,DL,A,2,1,0,0,ab68bd02e502a002884e320a1f9ef483123ddbb85a40081bb30ca8c60c396eea,0dda9b995befe925ec248e361b0e0120e79891da2f9eebf5d9aa5f79e83604ec,0,PASS
