CaseID,Quantity,MeasuredValue,ExpectedValue,AbsoluteError,Tolerance,ResourceID,BeamID,AgeSlots,Provenance,Status
MEAS-0001,SS-RSRP,-36.0206,-36.0206,2.7963e-10,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0002,SS-RSRP,-36.0206,-36.0206,2.7963e-10,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0003,SS-RSRP,-36.0206,-36.0206,2.7963e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0004,SS-RSRP,-33.0103,-33.0103,3.6019e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
MEAS-0005,SS-RSRP,-33.0103,-33.0103,3.6019e-10,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0006,SS-RSRP,-33.0103,-33.0103,3.6019e-10,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0007,SS-RSRP,-30,-30,0,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0008,SS-RSRP,-30,-30,0,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
MEAS-0009,SS-RSRP,-30,-30,0,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0010,SS-RSRP,-26.9897,-26.9897,3.6019e-10,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0011,SS-RSRP,-26.9897,-26.9897,3.6019e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0012,SS-RSRP,-26.9897,-26.9897,3.6019e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
MEAS-0013,SS-RSRP,-23.9794,-23.9794,2.7962e-10,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0014,SS-RSRP,-23.9794,-23.9794,2.7962e-10,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0015,SS-RSRP,-23.9794,-23.9794,2.7962e-10,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0016,CSI-RSRP,-36.0206,-36.0206,2.7963e-10,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
MEAS-0017,CSI-RSRP,-36.0206,-36.0206,2.7963e-10,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0018,CSI-RSRP,-36.0206,-36.0206,2.7963e-10,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0019,CSI-RSRP,-33.0103,-33.0103,3.6019e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0020,CSI-RSRP,-33.0103,-33.0103,3.6019e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
MEAS-0021,CSI-RSRP,-33.0103,-33.0103,3.6019e-10,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0022,CSI-RSRP,-30,-30,0,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0023,CSI-RSRP,-30,-30,0,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0024,CSI-RSRP,-30,-30,0,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
MEAS-0025,CSI-RSRP,-26.9897,-26.9897,3.6019e-10,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0026,CSI-RSRP,-26.9897,-26.9897,3.6019e-10,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0027,CSI-RSRP,-26.9897,-26.9897,3.6019e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0028,CSI-RSRP,-23.9794,-23.9794,2.7962e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
MEAS-0029,CSI-RSRP,-23.9794,-23.9794,2.7962e-10,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0030,CSI-RSRP,-23.9794,-23.9794,2.7962e-10,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0031,SS-RSRQ,-1.3354,-1.3354,2.9783e-10,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0032,SS-RSRQ,-2.0412,-2.0412,4.4075e-10,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
MEAS-0033,SS-RSRQ,-2.3045,-2.3045,2.1726e-10,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0034,SS-RSRQ,-1.3354,-1.3354,2.9783e-10,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0035,SS-RSRQ,-2.0412,-2.0412,4.4075e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0036,SS-RSRQ,-2.3045,-2.3045,2.1726e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
MEAS-0037,SS-RSRQ,-1.3354,-1.3354,2.9783e-10,1e-07,RS-1,5,0,observed_received_sample_statistics,PASS
MEAS-0038,SS-RSRQ,-2.0412,-2.0412,4.4075e-10,1e-07,RS-1,6,0,observed_received_sample_statistics,PASS
MEAS-0039,SS-RSRQ,-2.3045,-2.3045,2.1726e-10,1e-07,RS-1,7,0,observed_received_sample_statistics,PASS
MEAS-0040,SS-RSRQ,-1.3354,-1.3354,2.9783e-10,1e-07,RS-1,0,0,observed_received_sample_statistics,PASS
MEAS-0041,SS-RSRQ,-2.0412,-2.0412,4.4075e-10,1e-07,RS-1,1,0,observed_received_sample_statistics,PASS
MEAS-0042,SS-RSRQ,-2.3045,-2.3045,2.1726e-10,1e-07,RS-1,2,0,observed_received_sample_statistics,PASS
MEAS-0043,SS-RSRQ,-1.3354,-1.3354,2.9783e-10,1e-07,RS-1,3,0,observed_received_sample_statistics,PASS
MEAS-0044,SS-RSRQ,-2.0412,-2.0412,4.4075e-10,1e-07,RS-1,4,0,observed_received_sample_statistics,PASS
