RunID,UEID,Direction,SNRDb,MeasuredSINRDb,EVMPercent,BLER,ThroughputMbps,MeasurementAgeSlots,Status
RSLA-RX-1,1,DL,-5,-4.8025,173.8291,1,44.76,1,PASS
RSLA-RX-2,2,UL,-4.798,-4.9188,176.1728,1,44.1,1,PASS
RSLA-RX-3,3,DL,-4.596,-4.4803,167.5009,1,45.21,1,PASS
RSLA-RX-4,4,UL,-4.3939,-4.4338,166.6057,1,44.85,1,PASS
RSLA-RX-5,5,DL,-4.1919,-4.2183,162.5223,1,45.09,1,PASS
RSLA-RX-6,6,UL,-3.9899,-3.8866,156.4328,1,45.75,1,PASS
RSLA-RX-7,7,DL,-3.7879,-3.705,153.1977,1,46.62,1,PASS
RSLA-RX-8,8,UL,-3.5859,-3.7392,153.8016,1,45.12,1,PASS
RSLA-RX-9,1,DL,-3.3838,-3.3917,147.7696,1,46.5,1,PASS
RSLA-RX-10,2,UL,-3.1818,-3.0839,142.6253,1,46.8,1,PASS
RSLA-RX-11,3,DL,-2.9798,-3.0033,141.3068,1,47.64,1,PASS
RSLA-RX-12,4,UL,-2.7778,-2.9175,139.9187,1,47.46,1,PASS
RSLA-RX-13,5,DL,-2.5758,-2.6998,136.4547,1,46.56,1,PASS
RSLA-RX-14,6,UL,-2.3737,-2.5893,134.7309,1,48.15,1,PASS
RSLA-RX-15,7,DL,-2.1717,-2.112,127.5268,1,48.69,1,PASS
RSLA-RX-16,8,UL,-1.9697,-2.1351,127.8653,1,48.24,1,PASS
RSLA-RX-17,1,DL,-1.7677,-1.6972,121.5791,1,48.24,1,PASS
RSLA-RX-18,2,UL,-1.5657,-1.494,118.7681,1,49.29,1,PASS
RSLA-RX-19,3,DL,-1.3636,-1.3871,117.3157,1,49.38,1,PASS
RSLA-RX-20,4,UL,-1.1616,-1.2084,114.9259,1,50.04,1,PASS
RSLA-RX-21,5,DL,-0.9596,-0.72168,108.6636,1,50.49,1,PASS
RSLA-RX-22,6,UL,-0.75758,-0.59607,107.1035,1,50.31,1,PASS
RSLA-RX-23,7,DL,-0.55556,-0.53254,106.323,1,51.45,1,PASS
RSLA-RX-24,8,UL,-0.35354,-0.35595,104.1832,1,50.94,1,PASS
RSLA-RX-25,1,DL,-0.15152,-0.34006,103.9927,1,50.94,1,PASS
RSLA-RX-26,2,UL,0.050505,0.037005,99.5749,1,52.38,1,PASS
RSLA-RX-27,3,DL,0.25253,0.058431,99.3295,1,52.35,1,PASS
RSLA-RX-28,4,UL,0.45455,0.27075,96.931,1,52.2,1,PASS
RSLA-RX-29,5,DL,0.65657,0.64711,92.8207,1,53.04,1,PASS
RSLA-RX-30,6,UL,0.85859,0.82553,90.9334,1,51.96,1,PASS
RSLA-RX-31,7,DL,1.0606,1.0271,88.8478,1,53.61,1,PASS
RSLA-RX-32,8,UL,1.2626,1.2236,86.8603,1,53.61,1,PASS
RSLA-RX-33,1,DL,1.4646,1.5862,83.3088,1,54.78,1,PASS
RSLA-RX-34,2,UL,1.6667,1.5023,84.1171,1,54.18,1,PASS
RSLA-RX-35,3,DL,1.8687,2.0561,78.9214,1,55.05,1,PASS
RSLA-RX-36,4,UL,2.0707,2.0644,78.8461,1,55.26,1,PASS
RSLA-RX-37,5,DL,2.2727,2.341,76.3746,1,55.68,1,PASS
RSLA-RX-38,6,UL,2.4747,2.7407,72.94,1,55.98,1,PASS
RSLA-RX-39,7,DL,2.6768,2.7089,73.2072,1,55.92,1,PASS
RSLA-RX-40,8,UL,2.8788,2.8762,71.8112,1,56.37,1,PASS
RSLA-RX-41,1,DL,3.0808,2.988,70.8923,1,56.7,1,PASS
RSLA-RX-42,2,UL,3.2828,3.3288,68.1644,1,57.03,1,PASS
RSLA-RX-43,3,DL,3.4848,3.5844,66.188,1,57.15,1,PASS
RSLA-RX-44,4,UL,3.6869,3.602,66.0539,1,57.48,1,PASS
RSLA-RX-45,5,DL,3.8889,3.9252,63.6412,1,58.26,1,PASS
RSLA-RX-46,6,UL,4.0909,4.2094,61.5925,1,57.87,1,PASS
RSLA-RX-47,7,DL,4.2929,4.3748,60.4313,1,58.59,1,PASS
RSLA-RX-48,8,UL,4.4949,4.6182,58.7613,1,58.38,1,PASS
RSLA-RX-49,1,DL,4.697,4.5111,59.49,1,58.8,1,PASS
RSLA-RX-50,2,UL,4.899,4.7904,57.6076,1,58.62,1,PASS
