CaseID,Method,SINRPerRESHA256,EffectiveSINRDb,ExpectedSINRDb,AbsoluteErrorDb,CalibrationDatasetID,Status
EFF-0059,EESM,17ec0c346922df8a32b8fee47a41171e9d6fddd3b46b04f9c3a70d9eb7b14af7,3.3136,3.3136,3.1917e-10,EESM-ANALYTIC-EFF-0059,PASS
EFF-0060,EESM,4717d8d25c4da7219cae681db4021e8854c3dad3d9998a8ed0719b891acfeba4,1.6369,1.6369,4.0749e-10,EESM-ANALYTIC-EFF-0060,PASS
EFF-0061,EESM,c05a35e7324b66a0d9e4b3a934fb5e0e2a929d34b657c12580858d15e3df0e4a,0.24521,0.24521,2.4887e-11,EESM-ANALYTIC-EFF-0061,PASS
EFF-0062,EESM,1c10b03518fff8fc374a20bbf5107c66496656bec0662d6c6db123d4a898f121,0,0,0,EESM-ANALYTIC-EFF-0062,PASS
EFF-0063,EESM,7515a192e11586ce3e4d719d3f1fba5f1ecbc7c80dde584cf4a5768b91a4d28a,5.5954,5.5954,2.1643e-10,EESM-ANALYTIC-EFF-0063,PASS
EFF-0064,EESM,7b02470d5225e31a10febc7ef9f88fbe58ac47bb04c48815bfa22af50950e1ae,0.40867,0.40867,6.2424e-11,EESM-ANALYTIC-EFF-0064,PASS
EFF-0065,EESM,17ec0c346922df8a32b8fee47a41171e9d6fddd3b46b04f9c3a70d9eb7b14af7,3.3136,3.3136,3.1917e-10,EESM-ANALYTIC-EFF-0065,PASS
EFF-0066,EESM,4717d8d25c4da7219cae681db4021e8854c3dad3d9998a8ed0719b891acfeba4,1.6369,1.6369,4.0749e-10,EESM-ANALYTIC-EFF-0066,PASS
EFF-0067,EESM,c05a35e7324b66a0d9e4b3a934fb5e0e2a929d34b657c12580858d15e3df0e4a,0.24521,0.24521,2.4887e-11,EESM-ANALYTIC-EFF-0067,PASS
EFF-0068,EESM,1c10b03518fff8fc374a20bbf5107c66496656bec0662d6c6db123d4a898f121,0,0,0,EESM-ANALYTIC-EFF-0068,PASS
EFF-0069,EESM,7515a192e11586ce3e4d719d3f1fba5f1ecbc7c80dde584cf4a5768b91a4d28a,5.5954,5.5954,2.1643e-10,EESM-ANALYTIC-EFF-0069,PASS
EFF-0070,EESM,7b02470d5225e31a10febc7ef9f88fbe58ac47bb04c48815bfa22af50950e1ae,0.40867,0.40867,6.2424e-11,EESM-ANALYTIC-EFF-0070,PASS
EFF-0071,EESM,17ec0c346922df8a32b8fee47a41171e9d6fddd3b46b04f9c3a70d9eb7b14af7,3.3136,3.3136,3.1917e-10,EESM-ANALYTIC-EFF-0071,PASS
EFF-0072,EESM,4717d8d25c4da7219cae681db4021e8854c3dad3d9998a8ed0719b891acfeba4,1.6369,1.6369,4.0749e-10,EESM-ANALYTIC-EFF-0072,PASS
EFF-0073,EESM,c05a35e7324b66a0d9e4b3a934fb5e0e2a929d34b657c12580858d15e3df0e4a,0.51185,0.51185,3.7253e-10,EESM-ANALYTIC-EFF-0073,PASS
EFF-0074,EESM,1c10b03518fff8fc374a20bbf5107c66496656bec0662d6c6db123d4a898f121,-4.8216e-16,0,4.8216e-16,EESM-ANALYTIC-EFF-0074,PASS
EFF-0075,EESM,7515a192e11586ce3e4d719d3f1fba5f1ecbc7c80dde584cf4a5768b91a4d28a,6.085,6.085,9.2367e-11,EESM-ANALYTIC-EFF-0075,PASS
EFF-0076,EESM,7b02470d5225e31a10febc7ef9f88fbe58ac47bb04c48815bfa22af50950e1ae,1.3784,1.3784,3.4288e-11,EESM-ANALYTIC-EFF-0076,PASS
EFF-0077,EESM,17ec0c346922df8a32b8fee47a41171e9d6fddd3b46b04f9c3a70d9eb7b14af7,3.4544,3.4544,4.4079e-10,EESM-ANALYTIC-EFF-0077,PASS
EFF-0078,EESM,4717d8d25c4da7219cae681db4021e8854c3dad3d9998a8ed0719b891acfeba4,2.7281,2.7281,2.1256e-10,EESM-ANALYTIC-EFF-0078,PASS
EFF-0079,EESM,c05a35e7324b66a0d9e4b3a934fb5e0e2a929d34b657c12580858d15e3df0e4a,0.51185,0.51185,3.7253e-10,EESM-ANALYTIC-EFF-0079,PASS
EFF-0080,EESM,1c10b03518fff8fc374a20bbf5107c66496656bec0662d6c6db123d4a898f121,-4.8216e-16,0,4.8216e-16,EESM-ANALYTIC-EFF-0080,PASS
EFF-0081,EESM,7515a192e11586ce3e4d719d3f1fba5f1ecbc7c80dde584cf4a5768b91a4d28a,6.085,6.085,9.2367e-11,EESM-ANALYTIC-EFF-0081,PASS
EFF-0082,EESM,7b02470d5225e31a10febc7ef9f88fbe58ac47bb04c48815bfa22af50950e1ae,1.3784,1.3784,3.4288e-11,EESM-ANALYTIC-EFF-0082,PASS
EFF-0083,EESM,17ec0c346922df8a32b8fee47a41171e9d6fddd3b46b04f9c3a70d9eb7b14af7,3.4544,3.4544,4.4079e-10,EESM-ANALYTIC-EFF-0083,PASS
EFF-0084,EESM,4717d8d25c4da7219cae681db4021e8854c3dad3d9998a8ed0719b891acfeba4,2.7281,2.7281,2.1256e-10,EESM-ANALYTIC-EFF-0084,PASS
EFF-0085,EESM,c05a35e7324b66a0d9e4b3a934fb5e0e2a929d34b657c12580858d15e3df0e4a,0.51185,0.51185,3.7253e-10,EESM-ANALYTIC-EFF-0085,PASS
EFF-0086,EESM,1c10b03518fff8fc374a20bbf5107c66496656bec0662d6c6db123d4a898f121,-4.8216e-16,0,4.8216e-16,EESM-ANALYTIC-EFF-0086,PASS
EFF-0087,EESM,7515a192e11586ce3e4d719d3f1fba5f1ecbc7c80dde584cf4a5768b91a4d28a,6.085,6.085,9.2367e-11,EESM-ANALYTIC-EFF-0087,PASS
EFF-0088,EESM,7b02470d5225e31a10febc7ef9f88fbe58ac47bb04c48815bfa22af50950e1ae,1.3784,1.3784,3.4288e-11,EESM-ANALYTIC-EFF-0088,PASS
EFF-0089,EESM,17ec0c346922df8a32b8fee47a41171e9d6fddd3b46b04f9c3a70d9eb7b14af7,3.4544,3.4544,4.4079e-10,EESM-ANALYTIC-EFF-0089,PASS
EFF-0090,EESM,4717d8d25c4da7219cae681db4021e8854c3dad3d9998a8ed0719b891acfeba4,2.7281,2.7281,2.1256e-10,EESM-ANALYTIC-EFF-0090,PASS
EFF-0091,EESM,c05a35e7324b66a0d9e4b3a934fb5e0e2a929d34b657c12580858d15e3df0e4a,0.51185,0.51185,3.7253e-10,EESM-ANALYTIC-EFF-0091,PASS
