RunID,Slot,Symbol,PRB,Subcarrier,ResourceType,ResourceID,OwnerUE,Port,OrthogonalityID,CollisionStatus,Status
RSLA_PHASE09_R18,0,2,4,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,4,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,4,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,4,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,4,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,4,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,5,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,5,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,5,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,5,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,5,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,5,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,6,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,6,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,6,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,6,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,6,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,6,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,7,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,7,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,7,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,7,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,7,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,7,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,8,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,8,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,8,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,8,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,8,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,8,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,9,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,9,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,9,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,9,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,9,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
