CaseID,Direction,Channel,Modulation,ReferencePoint,EVMRMSPercent,ExpectedPercent,AbsoluteErrorPercent,PTRSEnabled,Status
EVM-001-R1,DL,ideal,QPSK,equalized_data_RE,0,0,0,false,PASS
EVM-002-R2,UL,ideal,QPSK,equalized_data_RE,0,0,0,false,PASS
EVM-003-R3,DL,ideal,QPSK,equalized_data_RE,0,0,0,false,PASS
EVM-004-R4,UL,ideal,QPSK,equalized_data_RE,0,0,0,false,PASS
EVM-005-R5,DL,gain,QPSK,equalized_data_RE,0,0,0,false,PASS
EVM-006-R6,UL,gain,QPSK,equalized_data_RE,1,1,1.5543e-15,false,PASS
EVM-007-R7,DL,gain,QPSK,equalized_data_RE,3,3,2.2204e-15,false,PASS
EVM-008-R8,UL,gain,QPSK,equalized_data_RE,10,10,5.3291e-15,false,PASS
EVM-009-R9,DL,phase,QPSK,equalized_data_RE,0,0,0,true,PASS
EVM-010-R10,UL,phase,QPSK,equalized_data_RE,1,1,3e-10,true,PASS
EVM-011-R11,DL,phase,QPSK,equalized_data_RE,2.9999,2.9999,3e-10,true,PASS
EVM-012-R12,UL,phase,QPSK,equalized_data_RE,9.9958,9.9958,1.0001e-10,true,PASS
EVM-013-R13,DL,noise,QPSK,equalized_data_RE,0,0,0,true,PASS
EVM-014-R14,UL,noise,QPSK,equalized_data_RE,0.46585,0.46585,3e-10,true,PASS
EVM-015-R15,DL,noise,QPSK,equalized_data_RE,1.3975,1.3975,1e-10,true,PASS
EVM-016-R16,UL,noise,QPSK,equalized_data_RE,4.6585,4.6585,1e-10,true,PASS
EVM-017-R17,DL,gain_phase_noise,QPSK,equalized_data_RE,0,0,0,true,PASS
EVM-018-R18,UL,gain_phase_noise,QPSK,equalized_data_RE,1.2096,1.2096,3e-10,true,PASS
EVM-019-R19,DL,gain_phase_noise,QPSK,equalized_data_RE,3.6588,3.6588,1.3323e-15,true,PASS
EVM-020-R20,UL,gain_phase_noise,QPSK,equalized_data_RE,12.5464,12.5464,3e-10,true,PASS
EVM-021-R21,DL,ideal,16QAM,equalized_data_RE,0,0,0,false,PASS
EVM-022-R22,UL,ideal,16QAM,equalized_data_RE,0,0,0,false,PASS
EVM-023-R23,DL,ideal,16QAM,equalized_data_RE,0,0,0,false,PASS
EVM-024-R24,UL,ideal,16QAM,equalized_data_RE,0,0,0,false,PASS
EVM-025-R25,DL,gain,16QAM,equalized_data_RE,0,0,0,false,PASS
EVM-026-R26,UL,gain,16QAM,equalized_data_RE,1,1,1.5543e-15,false,PASS
EVM-027-R27,DL,gain,16QAM,equalized_data_RE,3,3,2.2204e-15,false,PASS
EVM-028-R28,UL,gain,16QAM,equalized_data_RE,10,10,5.3291e-15,false,PASS
EVM-029-R29,DL,phase,16QAM,equalized_data_RE,0,0,0,true,PASS
EVM-030-R30,UL,phase,16QAM,equalized_data_RE,1,1,3e-10,true,PASS
EVM-031-R31,DL,phase,16QAM,equalized_data_RE,2.9999,2.9999,3e-10,true,PASS
EVM-032-R32,UL,phase,16QAM,equalized_data_RE,9.9958,9.9958,1.0001e-10,true,PASS
EVM-033-R33,DL,noise,16QAM,equalized_data_RE,0,0,0,true,PASS
EVM-034-R34,UL,noise,16QAM,equalized_data_RE,0.46585,0.46585,3e-10,true,PASS
EVM-035-R35,DL,noise,16QAM,equalized_data_RE,1.3975,1.3975,1e-10,true,PASS
EVM-036-R36,UL,noise,16QAM,equalized_data_RE,4.6585,4.6585,1e-10,true,PASS
EVM-037-R37,DL,gain_phase_noise,16QAM,equalized_data_RE,0,0,0,true,PASS
EVM-038-R38,UL,gain_phase_noise,16QAM,equalized_data_RE,1.2096,1.2096,3e-10,true,PASS
EVM-039-R39,DL,gain_phase_noise,16QAM,equalized_data_RE,3.6588,3.6588,1.3323e-15,true,PASS
EVM-040-R40,UL,gain_phase_noise,16QAM,equalized_data_RE,12.5464,12.5464,3e-10,true,PASS
EVM-041-R41,DL,ideal,64QAM,equalized_data_RE,0,0,0,false,PASS
EVM-042-R42,UL,ideal,64QAM,equalized_data_RE,0,0,0,false,PASS
EVM-043-R43,DL,ideal,64QAM,equalized_data_RE,0,0,0,false,PASS
EVM-044-R44,UL,ideal,64QAM,equalized_data_RE,0,0,0,false,PASS
EVM-045-R45,DL,gain,64QAM,equalized_data_RE,0,0,0,false,PASS
EVM-046-R46,UL,gain,64QAM,equalized_data_RE,1,1,1.5543e-15,false,PASS
EVM-047-R47,DL,gain,64QAM,equalized_data_RE,3,3,2.2204e-15,false,PASS
EVM-048-R48,UL,gain,64QAM,equalized_data_RE,10,10,5.3291e-15,false,PASS
EVM-049-R49,DL,phase,64QAM,equalized_data_RE,0,0,0,true,PASS
EVM-050-R50,UL,phase,64QAM,equalized_data_RE,1,1,3e-10,true,PASS
EVM-051-R51,DL,phase,64QAM,equalized_data_RE,2.9999,2.9999,3e-10,true,PASS
EVM-052-R52,UL,phase,64QAM,equalized_data_RE,9.9958,9.9958,1.0001e-10,true,PASS
EVM-053-R53,DL,noise,64QAM,equalized_data_RE,0,0,0,true,PASS
EVM-054-R54,UL,noise,64QAM,equalized_data_RE,0.46585,0.46585,3e-10,true,PASS
EVM-055-R55,DL,noise,64QAM,equalized_data_RE,1.3975,1.3975,1e-10,true,PASS
EVM-056-R56,UL,noise,64QAM,equalized_data_RE,4.6585,4.6585,1e-10,true,PASS
EVM-057-R57,DL,gain_phase_noise,64QAM,equalized_data_RE,0,0,0,true,PASS
EVM-058-R58,UL,gain_phase_noise,64QAM,equalized_data_RE,1.2096,1.2096,3e-10,true,PASS
EVM-059-R59,DL,gain_phase_noise,64QAM,equalized_data_RE,3.6588,3.6588,1.3323e-15,true,PASS
EVM-060-R60,UL,gain_phase_noise,64QAM,equalized_data_RE,12.5464,12.5464,3e-10,true,PASS
EVM-061-R61,DL,ideal,256QAM,equalized_data_RE,0,0,0,false,PASS
EVM-062-R62,UL,ideal,256QAM,equalized_data_RE,0,0,0,false,PASS
EVM-063-R63,DL,ideal,256QAM,equalized_data_RE,0,0,0,false,PASS
EVM-064-R64,UL,ideal,256QAM,equalized_data_RE,0,0,0,false,PASS
EVM-065-R65,DL,gain,256QAM,equalized_data_RE,0,0,0,false,PASS
EVM-066-R66,UL,gain,256QAM,equalized_data_RE,1,1,1.5543e-15,false,PASS
EVM-067-R67,DL,gain,256QAM,equalized_data_RE,3,3,2.2204e-15,false,PASS
EVM-068-R68,UL,gain,256QAM,equalized_data_RE,10,10,5.3291e-15,false,PASS
EVM-069-R69,DL,phase,256QAM,equalized_data_RE,0,0,0,true,PASS
EVM-070-R70,UL,phase,256QAM,equalized_data_RE,1,1,3e-10,true,PASS
EVM-071-R71,DL,phase,256QAM,equalized_data_RE,2.9999,2.9999,3e-10,true,PASS
EVM-072-R72,UL,phase,256QAM,equalized_data_RE,9.9958,9.9958,1.0001e-10,true,PASS
EVM-073-R73,DL,noise,256QAM,equalized_data_RE,0,0,0,true,PASS
EVM-074-R74,UL,noise,256QAM,equalized_data_RE,0.46585,0.46585,3e-10,true,PASS
EVM-075-R75,DL,noise,256QAM,equalized_data_RE,1.3975,1.3975,1e-10,true,PASS
EVM-076-R76,UL,noise,256QAM,equalized_data_RE,4.6585,4.6585,1e-10,true,PASS
EVM-077-R77,DL,gain_phase_noise,256QAM,equalized_data_RE,0,0,0,true,PASS
EVM-078-R78,UL,gain_phase_noise,256QAM,equalized_data_RE,1.2096,1.2096,3e-10,true,PASS
EVM-079-R79,DL,gain_phase_noise,256QAM,equalized_data_RE,3.6588,3.6588,1.3323e-15,true,PASS
EVM-080-R80,UL,gain_phase_noise,256QAM,equalized_data_RE,12.5464,12.5464,3e-10,true,PASS
EVM-001-R81,DL,ideal,QPSK,equalized_data_RE,0,0,0,false,PASS
EVM-002-R82,UL,ideal,QPSK,equalized_data_RE,0,0,0,false,PASS
EVM-003-R83,DL,ideal,QPSK,equalized_data_RE,0,0,0,false,PASS
EVM-004-R84,UL,ideal,QPSK,equalized_data_RE,0,0,0,false,PASS
EVM-005-R85,DL,gain,QPSK,equalized_data_RE,0,0,0,false,PASS
EVM-006-R86,UL,gain,QPSK,equalized_data_RE,1,1,1.5543e-15,false,PASS
EVM-007-R87,DL,gain,QPSK,equalized_data_RE,3,3,2.2204e-15,false,PASS
EVM-008-R88,UL,gain,QPSK,equalized_data_RE,10,10,5.3291e-15,false,PASS
EVM-009-R89,DL,phase,QPSK,equalized_data_RE,0,0,0,true,PASS
EVM-010-R90,UL,phase,QPSK,equalized_data_RE,1,1,3e-10,true,PASS
EVM-011-R91,DL,phase,QPSK,equalized_data_RE,2.9999,2.9999,3e-10,true,PASS
EVM-012-R92,UL,phase,QPSK,equalized_data_RE,9.9958,9.9958,1.0001e-10,true,PASS
EVM-013-R93,DL,noise,QPSK,equalized_data_RE,0,0,0,true,PASS
EVM-014-R94,UL,noise,QPSK,equalized_data_RE,0.46585,0.46585,3e-10,true,PASS
EVM-015-R95,DL,noise,QPSK,equalized_data_RE,1.3975,1.3975,1e-10,true,PASS
EVM-016-R96,UL,noise,QPSK,equalized_data_RE,4.6585,4.6585,1e-10,true,PASS
EVM-017-R97,DL,gain_phase_noise,QPSK,equalized_data_RE,0,0,0,true,PASS
EVM-018-R98,UL,gain_phase_noise,QPSK,equalized_data_RE,1.2096,1.2096,3e-10,true,PASS
