CampaignID,UEID,Seed,TargetBLER,AchievedBLER,CILow,CIHigh,MeanMarginDb,SaturationFraction,Converged,Status
OLLA-CONV-1,1,11,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-2,2,23,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-3,3,47,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-4,4,89,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-5,5,11,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-6,6,23,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-7,7,47,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-8,8,89,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-9,1,11,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-10,2,23,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-11,3,47,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-12,4,89,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-13,5,11,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-14,6,23,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-15,7,47,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-16,8,89,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-17,1,11,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-18,2,23,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-19,3,47,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-20,4,89,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-21,5,11,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-22,6,23,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-23,7,47,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-24,8,89,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-25,1,11,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-26,2,23,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-27,3,47,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-28,4,89,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-29,5,11,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-30,6,23,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-31,7,47,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-32,8,89,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-33,1,11,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-34,2,23,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-35,3,47,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-36,4,89,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-37,5,11,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-38,6,23,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-39,7,47,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-40,8,89,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-41,1,11,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-42,2,23,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-43,3,47,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-44,4,89,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-45,5,11,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-46,6,23,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-47,7,47,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-48,8,89,0.2,0.2,0.17638,0.22592,0,0,true,PASS
OLLA-CONV-49,1,11,0.1,0.1,0.082909,0.12015,0,0,true,PASS
OLLA-CONV-50,2,23,0.2,0.2,0.17638,0.22592,0,0,true,PASS
