CaseID,Ports,ResourceType,Usage,Comb,CyclicShift,HoppingMode,REIndexSHA256,SequenceSHA256,MismatchCount,Status
SRS-001,1,periodic,codebook,2,1,none,130206b90f569ae1c6e2e1654fa51bf6a566cddee1daa70ae776421576c8817d,53472970c3f8892e8f06f680d9ee4833ac514c8c9e4258131a6b187554fe10e9,0,PASS
SRS-002,1,periodic,codebook,2,2,intraResource,1f94b536c2df88bc7f48b692e9c253be217f110407bfe2a9d518212ed406ffb4,60c62809802f788f63d0b1c56721cd739ee9907a4dcbf896ba2d3da631dca93d,0,PASS
SRS-003,1,periodic,codebook,2,3,interSlot,c6d4a8e3445e5cae4d15ef1bfe95c6e9bab399ac29e7d2f97acb5b35cf9c7f4b,a204e08f433d230e39be07396910c2946866e68c222036ffd3dc631253710840,0,PASS
SRS-004,1,periodic,codebook,4,4,none,1018ede99fd4db2f8651fdf837a84251b1796f763c46ad06bc4df8ca1e2c98d0,6beb7b9b8c1e2fbda4888659a5fe08dcda2223606c9e2c0b3a479559fcd8f718,0,PASS
SRS-005,1,periodic,codebook,4,5,intraResource,33fd3e69162f34b436cf9709ae41146f955d8b621ff9c1698c08475e62d60020,b5c398d4992735980a44e6e31a109cf653bc2dcd679fa69da0ab984e52802623,0,PASS
SRS-006,1,periodic,codebook,4,6,interSlot,ae2f490de34a777eee4767596f58d6008ed7f80b37c1ff9b13699e24cd9f3205,3ed32150e98690012fe5b3f86ec8ccf540f7e7882c25c160e5399e21c3e5ea3e,0,PASS
SRS-007,1,periodic,nonCodebook,2,7,none,130206b90f569ae1c6e2e1654fa51bf6a566cddee1daa70ae776421576c8817d,467dd2ae23367bb534d13e4f1ac8fe2a5f97b166cf225b8950efd6eb89957e13,0,PASS
SRS-008,1,periodic,nonCodebook,2,0,intraResource,2ce8f57bb407b98399a8785bcc8eccfe848bca0c3fdcf40c4795225e15de5f83,d62ea9c7c6d7ed1d9f2119bcc4482878a421feaae416e5f6ae8cf093be206ab2,0,PASS
SRS-009,1,periodic,nonCodebook,2,1,interSlot,48f78a644c8481bd10f727d8af69a633f4c608dab716209a89a9042b31adc23e,1245b9b930ce92fc69a156801c3c49c0eb7e018c7c80a47361be692363aa4464,0,PASS
SRS-010,1,periodic,nonCodebook,4,10,none,cfbdc88dd572703d2150cb965a2fee0a38e17bd2617ad4e4cb26ba8e3d2fa83a,9a72fd3b4c1fedaedc9398284b06a1a95cc7ced5ff0d0b0b365bdab565a73f99,0,PASS
SRS-011,1,periodic,nonCodebook,4,11,intraResource,ce36f63c275943d9943d10cb7df9351b93f44d7481e4b9b1836dabd258942737,1bfc4dfa0c4a67f98bb8508229f721fcc6073b70437020728963a6d48ffc8ac8,0,PASS
SRS-012,1,periodic,nonCodebook,4,0,interSlot,a9b43190f77c305a86ba6638d5f1eab20b5a6874261ec8d3749ad0697f562622,9fc90e5323292cfc7186ccf153887d53df90bbb145ccfa922849e41f9c656a87,0,PASS
SRS-013,1,periodic,beamManagement,2,5,none,e26fd1d1f8a5ebc0b3f14ff0ac6f83a564feaf0589ef181c4f2b93378c1120a6,8db3c5f7361ee0bc43927f6c0da53c6b9cb4653255de4afcd2406edec03a2891,0,PASS
SRS-014,1,periodic,beamManagement,2,6,intraResource,1f94b536c2df88bc7f48b692e9c253be217f110407bfe2a9d518212ed406ffb4,6e39074ad89f74961dfe8ec33738bc24e30a85f2e54c5a9d1f15d3c9809b24b6,0,PASS
SRS-015,1,periodic,beamManagement,2,7,interSlot,c6d4a8e3445e5cae4d15ef1bfe95c6e9bab399ac29e7d2f97acb5b35cf9c7f4b,f566b58937647542e05ec62d6ad282dced54377be0ce47136bac6921265c0461,0,PASS
