CaseID,Direction,TimeDensity,FrequencyDensity,CPEBeforeRad,CPEAfterRad,EVMBeforePercent,EVMAfterPercent,BLER,Status
PTRS-001,DL,1,2,0,0,0,0,0,PASS
PTRS-002,DL,1,2,0.04,8.5818e-18,3.9997,9.9467e-16,0,PASS
PTRS-003,DL,1,2,0.1,2.0981e-16,9.9958,2.0983e-14,0,PASS
PTRS-004,DL,1,2,0.2,1.6124e-16,19.9667,1.6245e-14,0,PASS
PTRS-005,DL,1,4,0,0,0,0,0,PASS
PTRS-006,DL,1,4,0.04,1.5496e-17,3.9997,1.6285e-15,0,PASS
PTRS-007,DL,1,4,0.1,7.1045e-17,9.9958,7.1113e-15,0,PASS
PTRS-008,DL,1,4,0.2,5e-17,19.9667,5.3779e-15,0,PASS
PTRS-009,DL,2,2,0,0,0,0,0,PASS
PTRS-010,DL,2,2,0.04,1.5496e-17,3.9997,1.6285e-15,0,PASS
PTRS-011,DL,2,2,0.1,7.1045e-17,9.9958,7.1113e-15,0,PASS
PTRS-012,DL,2,2,0.2,5e-17,19.9667,5.3779e-15,0,PASS
PTRS-013,DL,2,4,0,0,0,0,0,PASS
PTRS-014,DL,2,4,0.04,2.2365e-17,3.9997,2.2912e-15,0,PASS
PTRS-015,DL,2,4,0.1,-1.2253e-17,9.9958,1.1174e-14,0,PASS
PTRS-016,DL,2,4,0.2,4.9968e-17,19.9667,5.3739e-15,0,PASS
PTRS-017,DL,4,2,0,0,0,0,0,PASS
PTRS-018,DL,4,2,0.04,1.5521e-17,3.9997,1.6315e-15,0,PASS
PTRS-019,DL,4,2,0.1,2.9398e-17,9.9958,2.9562e-15,0,PASS
PTRS-020,DL,4,2,0.2,5.0215e-17,19.9667,5.398e-15,0,PASS
PTRS-021,DL,4,4,0,0,0,0,0,PASS
PTRS-022,DL,4,4,0.04,2.246e-17,3.9997,2.3016e-15,0,PASS
PTRS-023,DL,4,4,0.1,-2.6113e-17,9.9958,1.1409e-14,0,PASS
PTRS-024,DL,4,4,0.2,2.246e-17,19.9667,2.9946e-15,0,PASS
PTRS-025,DL,1,2,0,0,0,0,0,PASS
PTRS-026,DL,1,2,0,0,0,0,0,PASS
PTRS-027,DL,1,2,0,0,0,0,0,PASS
PTRS-028,DL,1,2,0,0,0,0,0,PASS
PTRS-029,DL,1,4,0,0,0,0,0,PASS
PTRS-030,DL,1,4,0,0,0,0,0,PASS
PTRS-031,DL,1,4,0,0,0,0,0,PASS
PTRS-032,DL,1,4,0,0,0,0,0,PASS
PTRS-033,DL,2,2,0,0,0,0,0,PASS
PTRS-034,DL,2,2,0,0,0,0,0,PASS
PTRS-035,DL,2,2,0,0,0,0,0,PASS
PTRS-036,DL,2,2,0,0,0,0,0,PASS
PTRS-037,DL,2,4,0,0,0,0,0,PASS
PTRS-038,DL,2,4,0,0,0,0,0,PASS
PTRS-039,DL,2,4,0,0,0,0,0,PASS
PTRS-040,DL,2,4,0,0,0,0,0,PASS
PTRS-041,DL,4,2,0,0,0,0,0,PASS
PTRS-042,DL,4,2,0,0,0,0,0,PASS
PTRS-043,DL,4,2,0,0,0,0,0,PASS
PTRS-044,DL,4,2,0,0,0,0,0,PASS
PTRS-045,DL,4,4,0,0,0,0,0,PASS
PTRS-046,DL,4,4,0,0,0,0,0,PASS
PTRS-047,DL,4,4,0,0,0,0,0,PASS
PTRS-048,DL,4,4,0,0,0,0,0,PASS
PTRS-049,UL,1,2,0,0,0,0,0,PASS
PTRS-050,UL,1,2,0.04,8.5818e-18,3.9997,9.9467e-16,0,PASS
PTRS-051,UL,1,2,0.1,2.0981e-16,9.9958,2.0983e-14,0,PASS
PTRS-052,UL,1,2,0.2,1.6124e-16,19.9667,1.6245e-14,0,PASS
PTRS-053,UL,1,4,0,0,0,0,0,PASS
PTRS-054,UL,1,4,0.04,1.5496e-17,3.9997,1.6285e-15,0,PASS
PTRS-055,UL,1,4,0.1,7.1045e-17,9.9958,7.1113e-15,0,PASS
PTRS-056,UL,1,4,0.2,5e-17,19.9667,5.3779e-15,0,PASS
PTRS-057,UL,2,2,0,0,0,0,0,PASS
PTRS-058,UL,2,2,0.04,1.5496e-17,3.9997,1.6285e-15,0,PASS
PTRS-059,UL,2,2,0.1,7.1045e-17,9.9958,7.1113e-15,0,PASS
PTRS-060,UL,2,2,0.2,5e-17,19.9667,5.3779e-15,0,PASS
PTRS-061,UL,2,4,0,0,0,0,0,PASS
PTRS-062,UL,2,4,0.04,2.2365e-17,3.9997,2.2912e-15,0,PASS
PTRS-063,UL,2,4,0.1,-1.2253e-17,9.9958,1.1174e-14,0,PASS
PTRS-064,UL,2,4,0.2,4.9968e-17,19.9667,5.3739e-15,0,PASS
PTRS-065,UL,4,2,0,0,0,0,0,PASS
PTRS-066,UL,4,2,0.04,1.5521e-17,3.9997,1.6315e-15,0,PASS
PTRS-067,UL,4,2,0.1,2.9398e-17,9.9958,2.9562e-15,0,PASS
PTRS-068,UL,4,2,0.2,5.0215e-17,19.9667,5.398e-15,0,PASS
PTRS-069,UL,4,4,0,0,0,0,0,PASS
PTRS-070,UL,4,4,0.04,2.246e-17,3.9997,2.3016e-15,0,PASS
PTRS-071,UL,4,4,0.1,-2.6113e-17,9.9958,1.1409e-14,0,PASS
