CaseID,DecisionSlot,AcquisitionLimitSlots,FirstValidReportSlot,DecisionSource,BootstrapUsed,TransitionedToMeasured,Status
BOOT-001,1,8,2,BOOTSTRAP,true,false,PASS
BOOT-002,3,16,4,BOOTSTRAP,true,false,PASS
BOOT-003,5,4,8,REJECT,false,false,PASS
BOOT-004,9,8,20,REJECT,false,false,PASS
BOOT-005,17,16,,REJECT,false,false,PASS
BOOT-006,25,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-007,0,8,2,BOOTSTRAP,true,false,PASS
BOOT-008,1,16,4,BOOTSTRAP,true,false,PASS
BOOT-009,3,4,8,BOOTSTRAP,true,false,PASS
BOOT-010,5,8,20,BOOTSTRAP,true,false,PASS
BOOT-011,9,16,,BOOTSTRAP,true,false,PASS
BOOT-012,17,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-013,25,8,2,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-014,0,16,4,BOOTSTRAP,true,false,PASS
BOOT-015,1,4,8,BOOTSTRAP,true,false,PASS
BOOT-016,3,8,20,BOOTSTRAP,true,false,PASS
BOOT-017,5,16,,BOOTSTRAP,true,false,PASS
BOOT-018,9,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-019,17,8,2,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-020,25,16,4,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-021,0,4,8,BOOTSTRAP,true,false,PASS
BOOT-022,1,8,20,BOOTSTRAP,true,false,PASS
BOOT-023,3,16,,BOOTSTRAP,true,false,PASS
BOOT-024,5,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-025,9,8,2,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-026,17,16,4,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-027,25,4,8,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-028,0,8,20,BOOTSTRAP,true,false,PASS
BOOT-029,1,16,,BOOTSTRAP,true,false,PASS
BOOT-030,3,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-031,5,8,2,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-032,9,16,4,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-033,17,4,8,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-034,25,8,20,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-035,0,16,,BOOTSTRAP,true,false,PASS
BOOT-036,1,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-037,3,8,2,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-038,5,16,4,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-039,9,4,8,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-040,17,8,20,REJECT,false,false,PASS
BOOT-041,25,16,,REJECT,false,false,PASS
BOOT-042,0,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-043,1,8,2,BOOTSTRAP,true,false,PASS
BOOT-044,3,16,4,BOOTSTRAP,true,false,PASS
BOOT-045,5,4,8,REJECT,false,false,PASS
BOOT-046,9,8,20,REJECT,false,false,PASS
BOOT-047,17,16,,REJECT,false,false,PASS
BOOT-048,25,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-049,0,8,2,BOOTSTRAP,true,false,PASS
BOOT-050,1,16,4,BOOTSTRAP,true,false,PASS
BOOT-051,3,4,8,BOOTSTRAP,true,false,PASS
BOOT-052,5,8,20,BOOTSTRAP,true,false,PASS
BOOT-053,9,16,,BOOTSTRAP,true,false,PASS
BOOT-054,17,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-055,25,8,2,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-056,0,16,4,BOOTSTRAP,true,false,PASS
BOOT-057,1,4,8,BOOTSTRAP,true,false,PASS
BOOT-058,3,8,20,BOOTSTRAP,true,false,PASS
BOOT-059,5,16,,BOOTSTRAP,true,false,PASS
BOOT-060,9,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-061,17,8,2,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-062,25,16,4,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-063,0,4,8,BOOTSTRAP,true,false,PASS
BOOT-064,1,8,20,BOOTSTRAP,true,false,PASS
BOOT-065,3,16,,BOOTSTRAP,true,false,PASS
BOOT-066,5,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-067,9,8,2,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-068,17,16,4,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-069,25,4,8,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-070,0,8,20,BOOTSTRAP,true,false,PASS
BOOT-071,1,16,,BOOTSTRAP,true,false,PASS
BOOT-072,3,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-073,5,8,2,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-074,9,16,4,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-075,17,4,8,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-076,25,8,20,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-077,0,16,,BOOTSTRAP,true,false,PASS
BOOT-078,1,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-079,3,8,2,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-080,5,16,4,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-081,9,4,8,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-082,17,8,20,REJECT,false,false,PASS
BOOT-083,25,16,,REJECT,false,false,PASS
BOOT-084,0,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-085,1,8,2,BOOTSTRAP,true,false,PASS
BOOT-086,3,16,4,BOOTSTRAP,true,false,PASS
BOOT-087,5,4,8,REJECT,false,false,PASS
BOOT-088,9,8,20,REJECT,false,false,PASS
BOOT-089,17,16,,REJECT,false,false,PASS
BOOT-090,25,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-091,0,8,2,BOOTSTRAP,true,false,PASS
BOOT-092,1,16,4,BOOTSTRAP,true,false,PASS
BOOT-093,3,4,8,BOOTSTRAP,true,false,PASS
BOOT-094,5,8,20,BOOTSTRAP,true,false,PASS
BOOT-095,9,16,,BOOTSTRAP,true,false,PASS
BOOT-096,17,4,0,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-097,25,8,2,MEASURED_DECODED_REPORT,false,true,PASS
BOOT-098,0,16,4,BOOTSTRAP,true,false,PASS
