CaseID,EventID,SampleIndex,Condition,TTTState,Entered,Left,ExpectedState,Status
EVENT-0001,A1,0,false,0,false,true,false,PASS
EVENT-0002,A1,1,false,0,false,true,false,PASS
EVENT-0003,A1,2,false,0,false,true,false,PASS
EVENT-0004,A1,3,false,0,false,true,false,PASS
EVENT-0005,A1,4,false,0,false,true,false,PASS
EVENT-0006,A1,5,false,0,false,true,false,PASS
EVENT-0007,A1,6,false,0,false,true,false,PASS
EVENT-0008,A1,7,false,0,false,true,false,PASS
EVENT-0009,A1,8,false,0,false,true,false,PASS
EVENT-0010,A1,9,false,0,false,true,false,PASS
EVENT-0011,A1,10,false,0,false,true,false,PASS
EVENT-0012,A1,11,false,0,false,true,false,PASS
EVENT-0013,A1,12,false,0,false,true,false,PASS
EVENT-0014,A1,13,false,0,false,true,false,PASS
EVENT-0015,A1,14,false,0,false,true,false,PASS
EVENT-0016,A1,15,false,0,false,true,false,PASS
EVENT-0017,A1,16,false,0,false,true,false,PASS
EVENT-0018,A1,17,false,0,false,true,false,PASS
EVENT-0019,A1,18,false,0,false,true,false,PASS
EVENT-0020,A1,19,false,0,false,true,false,PASS
EVENT-0021,A1,20,false,0,false,true,false,PASS
EVENT-0022,A1,21,false,0,false,true,false,PASS
EVENT-0023,A1,22,false,0,false,true,false,PASS
EVENT-0024,A1,23,false,0,false,true,false,PASS
EVENT-0025,A1,24,false,0,false,true,false,PASS
EVENT-0026,A1,25,false,0,false,true,false,PASS
EVENT-0027,A1,26,false,0,false,true,false,PASS
EVENT-0028,A1,27,false,0,false,true,false,PASS
EVENT-0029,A1,28,false,0,false,true,false,PASS
EVENT-0030,A1,29,false,0,false,true,false,PASS
EVENT-0031,A1,30,true,2,true,false,true,PASS
EVENT-0032,A1,31,true,4,true,false,true,PASS
EVENT-0033,A1,32,true,1,true,false,true,PASS
EVENT-0034,A1,33,true,2,true,false,true,PASS
EVENT-0035,A1,34,true,4,true,false,true,PASS
EVENT-0036,A1,35,true,1,true,false,true,PASS
EVENT-0037,A1,36,true,2,true,false,true,PASS
EVENT-0038,A1,37,true,4,true,false,true,PASS
EVENT-0039,A1,38,true,1,true,false,true,PASS
EVENT-0040,A1,39,true,2,true,false,true,PASS
EVENT-0041,A1,40,true,4,true,false,true,PASS
EVENT-0042,A1,41,true,1,true,false,true,PASS
EVENT-0043,A1,42,true,2,true,false,true,PASS
EVENT-0044,A1,43,true,4,true,false,true,PASS
EVENT-0045,A1,44,true,1,true,false,true,PASS
EVENT-0046,A1,45,true,2,true,false,true,PASS
EVENT-0047,A1,46,true,4,true,false,true,PASS
EVENT-0048,A1,47,true,1,true,false,true,PASS
EVENT-0049,A1,48,true,2,true,false,true,PASS
EVENT-0050,A1,49,true,4,true,false,true,PASS
EVENT-0051,A1,50,true,1,true,false,true,PASS
EVENT-0052,A1,51,true,2,true,false,true,PASS
EVENT-0053,A1,52,true,4,true,false,true,PASS
EVENT-0054,A1,53,true,1,true,false,true,PASS
EVENT-0055,A1,54,true,2,true,false,true,PASS
EVENT-0056,A1,55,true,4,true,false,true,PASS
EVENT-0057,A1,56,true,1,true,false,true,PASS
EVENT-0058,A1,57,true,2,true,false,true,PASS
EVENT-0059,A1,58,true,4,true,false,true,PASS
EVENT-0060,A1,59,true,1,true,false,true,PASS
EVENT-0061,A2,60,true,2,true,false,true,PASS
EVENT-0062,A2,61,true,4,true,false,true,PASS
EVENT-0063,A2,62,true,1,true,false,true,PASS
EVENT-0064,A2,63,true,2,true,false,true,PASS
EVENT-0065,A2,64,true,4,true,false,true,PASS
EVENT-0066,A2,65,true,1,true,false,true,PASS
EVENT-0067,A2,66,true,2,true,false,true,PASS
EVENT-0068,A2,67,true,4,true,false,true,PASS
EVENT-0069,A2,68,true,1,true,false,true,PASS
EVENT-0070,A2,69,true,2,true,false,true,PASS
EVENT-0071,A2,70,true,4,true,false,true,PASS
EVENT-0072,A2,71,true,1,true,false,true,PASS
EVENT-0073,A2,72,true,2,true,false,true,PASS
EVENT-0074,A2,73,true,4,true,false,true,PASS
EVENT-0075,A2,74,true,1,true,false,true,PASS
EVENT-0076,A2,75,true,2,true,false,true,PASS
EVENT-0077,A2,76,true,4,true,false,true,PASS
EVENT-0078,A2,77,true,1,true,false,true,PASS
EVENT-0079,A2,78,true,2,true,false,true,PASS
EVENT-0080,A2,79,true,4,true,false,true,PASS
EVENT-0081,A2,80,true,1,true,false,true,PASS
EVENT-0082,A2,81,true,2,true,false,true,PASS
EVENT-0083,A2,82,true,4,true,false,true,PASS
EVENT-0084,A2,83,true,1,true,false,true,PASS
EVENT-0085,A2,84,true,2,true,false,true,PASS
EVENT-0086,A2,85,true,4,true,false,true,PASS
EVENT-0087,A2,86,true,1,true,false,true,PASS
EVENT-0088,A2,87,true,2,true,false,true,PASS
EVENT-0089,A2,88,true,4,true,false,true,PASS
EVENT-0090,A2,89,true,1,true,false,true,PASS
EVENT-0091,A2,90,false,0,false,true,false,PASS
EVENT-0092,A2,91,false,0,false,true,false,PASS
EVENT-0093,A2,92,false,0,false,true,false,PASS
EVENT-0094,A2,93,false,0,false,true,false,PASS
EVENT-0095,A2,94,false,0,false,true,false,PASS
EVENT-0096,A2,95,false,0,false,true,false,PASS
EVENT-0097,A2,96,false,0,false,true,false,PASS
EVENT-0098,A2,97,false,0,false,true,false,PASS
EVENT-0099,A2,98,false,0,false,true,false,PASS
EVENT-0100,A2,99,false,0,false,true,false,PASS
EVENT-0101,A2,100,false,0,false,true,false,PASS
EVENT-0102,A2,101,false,0,false,true,false,PASS
EVENT-0103,A2,102,false,0,false,true,false,PASS
EVENT-0104,A2,103,false,0,false,true,false,PASS
EVENT-0105,A2,104,false,0,false,true,false,PASS
EVENT-0106,A2,105,false,0,false,true,false,PASS
EVENT-0107,A2,106,false,0,false,true,false,PASS
EVENT-0108,A2,107,false,0,false,true,false,PASS
EVENT-0109,A2,108,false,0,false,true,false,PASS
EVENT-0110,A2,109,false,0,false,true,false,PASS
EVENT-0111,A2,110,false,0,false,true,false,PASS
EVENT-0112,A2,111,false,0,false,true,false,PASS
EVENT-0113,A2,112,false,0,false,true,false,PASS
EVENT-0114,A2,113,false,0,false,true,false,PASS
EVENT-0115,A2,114,false,0,false,true,false,PASS
EVENT-0116,A2,115,false,0,false,true,false,PASS
EVENT-0117,A2,116,false,0,false,true,false,PASS
EVENT-0118,A2,117,false,0,false,true,false,PASS
EVENT-0119,A2,118,false,0,false,true,false,PASS
EVENT-0120,A2,119,false,0,false,true,false,PASS
EVENT-0121,A3,120,false,0,false,true,false,PASS
EVENT-0122,A3,121,false,0,false,true,false,PASS
EVENT-0123,A3,122,false,0,false,true,false,PASS
EVENT-0124,A3,123,true,2,true,false,true,PASS
EVENT-0125,A3,124,true,4,true,false,true,PASS
EVENT-0126,A3,125,false,0,false,true,false,PASS
EVENT-0127,A3,126,true,2,true,false,true,PASS
EVENT-0128,A3,127,true,4,true,false,true,PASS
EVENT-0129,A3,128,true,1,true,false,true,PASS
EVENT-0130,A3,129,true,2,true,false,true,PASS
EVENT-0131,A3,130,true,4,true,false,true,PASS
EVENT-0132,A3,131,true,1,true,false,true,PASS
EVENT-0133,A3,132,true,2,true,false,true,PASS
EVENT-0134,A3,133,true,4,true,false,true,PASS
EVENT-0135,A3,134,true,1,true,false,true,PASS
EVENT-0136,A3,135,false,0,false,true,false,PASS
EVENT-0137,A3,136,false,0,false,true,false,PASS
EVENT-0138,A3,137,false,0,false,true,false,PASS
EVENT-0139,A3,138,false,0,false,true,false,PASS
EVENT-0140,A3,139,false,0,false,true,false,PASS
EVENT-0141,A3,140,false,0,false,true,false,PASS
EVENT-0142,A3,141,true,2,true,false,true,PASS
EVENT-0143,A3,142,true,4,true,false,true,PASS
EVENT-0144,A3,143,false,0,false,true,false,PASS
EVENT-0145,A3,144,true,2,true,false,true,PASS
EVENT-0146,A3,145,true,4,true,false,true,PASS
EVENT-0147,A3,146,true,1,true,false,true,PASS
EVENT-0148,A3,147,true,2,true,false,true,PASS
EVENT-0149,A3,148,true,4,true,false,true,PASS
EVENT-0150,A3,149,true,1,true,false,true,PASS
EVENT-0151,A3,150,false,0,false,true,false,PASS
EVENT-0152,A3,151,false,0,false,true,false,PASS
EVENT-0153,A3,152,false,0,false,true,false,PASS
EVENT-0154,A3,153,false,0,false,true,false,PASS
EVENT-0155,A3,154,false,0,false,true,false,PASS
EVENT-0156,A3,155,false,0,false,true,false,PASS
EVENT-0157,A3,156,false,0,false,true,false,PASS
EVENT-0158,A3,157,false,0,false,true,false,PASS
EVENT-0159,A3,158,false,0,false,true,false,PASS
EVENT-0160,A3,159,true,2,true,false,true,PASS
EVENT-0161,A3,160,true,4,true,false,true,PASS
EVENT-0162,A3,161,false,0,false,true,false,PASS
EVENT-0163,A3,162,true,2,true,false,true,PASS
EVENT-0164,A3,163,true,4,true,false,true,PASS
EVENT-0165,A3,164,true,1,true,false,true,PASS
EVENT-0166,A3,165,false,0,false,true,false,PASS
EVENT-0167,A3,166,false,0,false,true,false,PASS
EVENT-0168,A3,167,false,0,false,true,false,PASS
EVENT-0169,A3,168,false,0,false,true,false,PASS
EVENT-0170,A3,169,false,0,false,true,false,PASS
EVENT-0171,A3,170,false,0,false,true,false,PASS
EVENT-0172,A3,171,false,0,false,true,false,PASS
EVENT-0173,A3,172,false,0,false,true,false,PASS
EVENT-0174,A3,173,false,0,false,true,false,PASS
EVENT-0175,A3,174,false,0,false,true,false,PASS
EVENT-0176,A3,175,false,0,false,true,false,PASS
EVENT-0177,A3,176,false,0,false,true,false,PASS
EVENT-0178,A3,177,true,2,true,false,true,PASS
EVENT-0179,A3,178,true,4,true,false,true,PASS
EVENT-0180,A3,179,false,0,false,true,false,PASS
EVENT-0181,A4,180,false,0,false,true,false,PASS
EVENT-0182,A4,181,false,0,false,true,false,PASS
EVENT-0183,A4,182,false,0,false,true,false,PASS
EVENT-0184,A4,183,false,0,false,true,false,PASS
EVENT-0185,A4,184,false,0,false,true,false,PASS
EVENT-0186,A4,185,false,0,false,true,false,PASS
EVENT-0187,A4,186,false,0,false,true,false,PASS
EVENT-0188,A4,187,false,0,false,true,false,PASS
EVENT-0189,A4,188,false,0,false,true,false,PASS
EVENT-0190,A4,189,true,2,true,false,true,PASS
EVENT-0191,A4,190,true,4,true,false,true,PASS
EVENT-0192,A4,191,true,1,true,false,true,PASS
EVENT-0193,A4,192,true,2,true,false,true,PASS
EVENT-0194,A4,193,true,4,true,false,true,PASS
EVENT-0195,A4,194,true,1,true,false,true,PASS
EVENT-0196,A4,195,false,0,false,true,false,PASS
EVENT-0197,A4,196,false,0,false,true,false,PASS
EVENT-0198,A4,197,false,0,false,true,false,PASS
EVENT-0199,A4,198,false,0,false,true,false,PASS
EVENT-0200,A4,199,false,0,false,true,false,PASS
EVENT-0201,A4,200,false,0,false,true,false,PASS
EVENT-0202,A4,201,false,0,false,true,false,PASS
EVENT-0203,A4,202,false,0,false,true,false,PASS
EVENT-0204,A4,203,false,0,false,true,false,PASS
EVENT-0205,A4,204,true,2,true,false,true,PASS
EVENT-0206,A4,205,true,4,true,false,true,PASS
EVENT-0207,A4,206,true,1,true,false,true,PASS
EVENT-0208,A4,207,true,2,true,false,true,PASS
EVENT-0209,A4,208,true,4,true,false,true,PASS
EVENT-0210,A4,209,true,1,true,false,true,PASS
EVENT-0211,A4,210,false,0,false,true,false,PASS
EVENT-0212,A4,211,false,0,false,true,false,PASS
EVENT-0213,A4,212,false,0,false,true,false,PASS
EVENT-0214,A4,213,false,0,false,true,false,PASS
EVENT-0215,A4,214,false,0,false,true,false,PASS
EVENT-0216,A4,215,false,0,false,true,false,PASS
EVENT-0217,A4,216,false,0,false,true,false,PASS
EVENT-0218,A4,217,false,0,false,true,false,PASS
EVENT-0219,A4,218,false,0,false,true,false,PASS
EVENT-0220,A4,219,true,2,true,false,true,PASS
EVENT-0221,A4,220,true,4,true,false,true,PASS
EVENT-0222,A4,221,true,1,true,false,true,PASS
EVENT-0223,A4,222,true,2,true,false,true,PASS
EVENT-0224,A4,223,true,4,true,false,true,PASS
EVENT-0225,A4,224,true,1,true,false,true,PASS
EVENT-0226,A4,225,false,0,false,true,false,PASS
EVENT-0227,A4,226,false,0,false,true,false,PASS
EVENT-0228,A4,227,false,0,false,true,false,PASS
EVENT-0229,A4,228,false,0,false,true,false,PASS
EVENT-0230,A4,229,false,0,false,true,false,PASS
EVENT-0231,A4,230,false,0,false,true,false,PASS
EVENT-0232,A4,231,false,0,false,true,false,PASS
EVENT-0233,A4,232,false,0,false,true,false,PASS
EVENT-0234,A4,233,false,0,false,true,false,PASS
EVENT-0235,A4,234,true,2,true,false,true,PASS
EVENT-0236,A4,235,true,4,true,false,true,PASS
EVENT-0237,A4,236,true,1,true,false,true,PASS
EVENT-0238,A4,237,true,2,true,false,true,PASS
EVENT-0239,A4,238,true,4,true,false,true,PASS
EVENT-0240,A4,239,true,1,true,false,true,PASS
EVENT-0241,A5,240,false,0,false,true,false,PASS
EVENT-0242,A5,241,false,0,false,true,false,PASS
EVENT-0243,A5,242,false,0,false,true,false,PASS
EVENT-0244,A5,243,false,0,false,true,false,PASS
EVENT-0245,A5,244,false,0,false,true,false,PASS
EVENT-0246,A5,245,false,0,false,true,false,PASS
EVENT-0247,A5,246,false,0,false,true,false,PASS
EVENT-0248,A5,247,false,0,false,true,false,PASS
EVENT-0249,A5,248,false,0,false,true,false,PASS
EVENT-0250,A5,249,true,2,true,false,true,PASS
EVENT-0251,A5,250,true,4,true,false,true,PASS
EVENT-0252,A5,251,true,1,true,false,true,PASS
EVENT-0253,A5,252,true,2,true,false,true,PASS
EVENT-0254,A5,253,true,4,true,false,true,PASS
EVENT-0255,A5,254,true,1,true,false,true,PASS
EVENT-0256,A5,255,false,0,false,true,false,PASS
EVENT-0257,A5,256,false,0,false,true,false,PASS
EVENT-0258,A5,257,false,0,false,true,false,PASS
EVENT-0259,A5,258,false,0,false,true,false,PASS
EVENT-0260,A5,259,false,0,false,true,false,PASS
EVENT-0261,A5,260,false,0,false,true,false,PASS
EVENT-0262,A5,261,false,0,false,true,false,PASS
EVENT-0263,A5,262,false,0,false,true,false,PASS
EVENT-0264,A5,263,false,0,false,true,false,PASS
EVENT-0265,A5,264,true,2,true,false,true,PASS
EVENT-0266,A5,265,true,4,true,false,true,PASS
EVENT-0267,A5,266,true,1,true,false,true,PASS
EVENT-0268,A5,267,true,2,true,false,true,PASS
EVENT-0269,A5,268,true,4,true,false,true,PASS
EVENT-0270,A5,269,true,1,true,false,true,PASS
EVENT-0271,A5,270,false,0,false,true,false,PASS
EVENT-0272,A5,271,false,0,false,true,false,PASS
EVENT-0273,A5,272,false,0,false,true,false,PASS
EVENT-0274,A5,273,false,0,false,true,false,PASS
EVENT-0275,A5,274,false,0,false,true,false,PASS
EVENT-0276,A5,275,false,0,false,true,false,PASS
EVENT-0277,A5,276,false,0,false,true,false,PASS
EVENT-0278,A5,277,false,0,false,true,false,PASS
EVENT-0279,A5,278,false,0,false,true,false,PASS
EVENT-0280,A5,279,false,0,false,true,false,PASS
EVENT-0281,A5,280,false,0,false,true,false,PASS
EVENT-0282,A5,281,false,0,false,true,false,PASS
EVENT-0283,A5,282,false,0,false,true,false,PASS
EVENT-0284,A5,283,false,0,false,true,false,PASS
EVENT-0285,A5,284,false,0,false,true,false,PASS
EVENT-0286,A5,285,false,0,false,true,false,PASS
EVENT-0287,A5,286,false,0,false,true,false,PASS
EVENT-0288,A5,287,false,0,false,true,false,PASS
EVENT-0289,A5,288,false,0,false,true,false,PASS
EVENT-0290,A5,289,false,0,false,true,false,PASS
EVENT-0291,A5,290,false,0,false,true,false,PASS
EVENT-0292,A5,291,false,0,false,true,false,PASS
EVENT-0293,A5,292,false,0,false,true,false,PASS
EVENT-0294,A5,293,false,0,false,true,false,PASS
EVENT-0295,A5,294,false,0,false,true,false,PASS
EVENT-0296,A5,295,false,0,false,true,false,PASS
EVENT-0297,A5,296,false,0,false,true,false,PASS
EVENT-0298,A5,297,false,0,false,true,false,PASS
EVENT-0299,A5,298,false,0,false,true,false,PASS
EVENT-0300,A5,299,false,0,false,true,false,PASS
EVENT-0301,A6,300,false,0,false,true,false,PASS
EVENT-0302,A6,301,false,0,false,true,false,PASS
EVENT-0303,A6,302,false,0,false,true,false,PASS
EVENT-0304,A6,303,true,2,true,false,true,PASS
EVENT-0305,A6,304,true,4,true,false,true,PASS
EVENT-0306,A6,305,false,0,false,true,false,PASS
EVENT-0307,A6,306,true,2,true,false,true,PASS
EVENT-0308,A6,307,true,4,true,false,true,PASS
EVENT-0309,A6,308,true,1,true,false,true,PASS
EVENT-0310,A6,309,true,2,true,false,true,PASS
EVENT-0311,A6,310,true,4,true,false,true,PASS
EVENT-0312,A6,311,true,1,true,false,true,PASS
EVENT-0313,A6,312,true,2,true,false,true,PASS
EVENT-0314,A6,313,true,4,true,false,true,PASS
EVENT-0315,A6,314,true,1,true,false,true,PASS
EVENT-0316,A6,315,false,0,false,true,false,PASS
EVENT-0317,A6,316,false,0,false,true,false,PASS
EVENT-0318,A6,317,false,0,false,true,false,PASS
EVENT-0319,A6,318,false,0,false,true,false,PASS
EVENT-0320,A6,319,false,0,false,true,false,PASS
EVENT-0321,A6,320,false,0,false,true,false,PASS
EVENT-0322,A6,321,true,2,true,false,true,PASS
EVENT-0323,A6,322,true,4,true,false,true,PASS
EVENT-0324,A6,323,false,0,false,true,false,PASS
EVENT-0325,A6,324,true,2,true,false,true,PASS
EVENT-0326,A6,325,true,4,true,false,true,PASS
EVENT-0327,A6,326,true,1,true,false,true,PASS
EVENT-0328,A6,327,true,2,true,false,true,PASS
EVENT-0329,A6,328,true,4,true,false,true,PASS
EVENT-0330,A6,329,true,1,true,false,true,PASS
EVENT-0331,A6,330,false,0,false,true,false,PASS
EVENT-0332,A6,331,false,0,false,true,false,PASS
EVENT-0333,A6,332,false,0,false,true,false,PASS
EVENT-0334,A6,333,false,0,false,true,false,PASS
EVENT-0335,A6,334,false,0,false,true,false,PASS
EVENT-0336,A6,335,false,0,false,true,false,PASS
EVENT-0337,A6,336,false,0,false,true,false,PASS
EVENT-0338,A6,337,false,0,false,true,false,PASS
EVENT-0339,A6,338,false,0,false,true,false,PASS
EVENT-0340,A6,339,true,2,true,false,true,PASS
EVENT-0341,A6,340,true,4,true,false,true,PASS
EVENT-0342,A6,341,false,0,false,true,false,PASS
EVENT-0343,A6,342,true,2,true,false,true,PASS
EVENT-0344,A6,343,true,4,true,false,true,PASS
EVENT-0345,A6,344,true,1,true,false,true,PASS
EVENT-0346,A6,345,false,0,false,true,false,PASS
EVENT-0347,A6,346,false,0,false,true,false,PASS
EVENT-0348,A6,347,false,0,false,true,false,PASS
EVENT-0349,A6,348,false,0,false,true,false,PASS
EVENT-0350,A6,349,false,0,false,true,false,PASS
EVENT-0351,A6,350,false,0,false,true,false,PASS
EVENT-0352,A6,351,false,0,false,true,false,PASS
EVENT-0353,A6,352,false,0,false,true,false,PASS
EVENT-0354,A6,353,false,0,false,true,false,PASS
EVENT-0355,A6,354,false,0,false,true,false,PASS
EVENT-0356,A6,355,false,0,false,true,false,PASS
EVENT-0357,A6,356,false,0,false,true,false,PASS
EVENT-0358,A6,357,true,2,true,false,true,PASS
EVENT-0359,A6,358,true,4,true,false,true,PASS
EVENT-0360,A6,359,false,0,false,true,false,PASS
