CaseID,Row,Ports,Density,CDMType,ResourceType,TriggerType,REIndexSHA256,SequenceSHA256,MismatchCount,Status,ActualDisposition,ActualError,WaveformGenerated
CSIRS-001,1,1,three,noCDM,NZP,periodic,ba2162c90c370952b5dfd6ec0bacf098241e885de9e3511cca796c9b8c5f9e26,8aee5fd231391ce453ceff3b8d796c759c6cbd183c564330cd03ab387594841a,0,PASS,EXECUTE,,true
CSIRS-002,1,1,three,noCDM,NZP,periodic,ea505250d59a4836313a7c6c3e0de18289a5c347151cef78cb14b23f266935fb,115bb39f22ce33218515e5800cfd86cd0cc6c95e4789a8257d62b4212b449db6,0,PASS,EXECUTE,,true
CSIRS-003,1,1,three,noCDM,NZP,semiPersistent,bbd98244d045fe789b57d04014b69a126d1451f55c52720f2a00770646dd23a8,58d7ec10745f1b1cc5e22e8b84df8884f070eaadeb02dd93b646c877dcd158d7,0,PASS,EXECUTE,,true
CSIRS-004,1,1,three,noCDM,NZP,semiPersistent,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-005,1,1,three,noCDM,NZP,aperiodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-006,1,1,three,noCDM,NZP,aperiodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-007,1,1,three,noCDM,ZP,periodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-008,1,1,three,noCDM,ZP,periodic,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-009,1,1,three,noCDM,ZP,semiPersistent,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
CSIRS-010,1,1,three,noCDM,ZP,semiPersistent,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,PASS,REJECT,RSLA:InvalidCSIRSConfiguration,false
