CaseID,UEID,MeasurementID,AgeSlots,Valid,SelectedRI,SelectedSRI,SelectedTPMI,SelectedPrecoderSHA256,AppliedPrecoderSHA256,Status
SRSSTATE-001,2,SRSSTATE-001,1,true,2,1,1,7ba032a2e2f0afebc8816687f4658ea432089d9a955751bb278c6df474c97a61,7ba032a2e2f0afebc8816687f4658ea432089d9a955751bb278c6df474c97a61,PASS
SRSSTATE-002,3,SRSSTATE-002,2,true,3,2,2,0bc784fac73ffa057e7bb5fd4a0df03680a75db462770d9daf8719458efef56f,0bc784fac73ffa057e7bb5fd4a0df03680a75db462770d9daf8719458efef56f,PASS
SRSSTATE-003,4,SRSSTATE-003,4,true,4,3,3,eadaf78246ec15a7e8ff5c4f126e4ed95b0d47f1b8ad0c9fc05d1a4764e86d26,eadaf78246ec15a7e8ff5c4f126e4ed95b0d47f1b8ad0c9fc05d1a4764e86d26,PASS
SRSSTATE-004,5,SRSSTATE-004,8,false,,,,,,PASS
SRSSTATE-005,6,SRSSTATE-005,16,false,,,,,,PASS
SRSSTATE-006,7,SRSSTATE-006,32,false,,,,,,PASS
SRSSTATE-007,8,SRSSTATE-007,0,true,4,3,7,5db6f7b95c92bd1e16fbc5cb23feb6a47f294748dc6cc85e73729ea734c21c15,5db6f7b95c92bd1e16fbc5cb23feb6a47f294748dc6cc85e73729ea734c21c15,PASS
SRSSTATE-008,9,SRSSTATE-008,1,true,1,0,8,c884e5bd238c74071d6868c50857732394d6863f9327f55c8610f92ccc5155da,c884e5bd238c74071d6868c50857732394d6863f9327f55c8610f92ccc5155da,PASS
SRSSTATE-009,10,SRSSTATE-009,2,true,2,1,9,472e2a6fcc36c00b411515e1a56443b56878a8813e6b8320f63307f4f96249af,472e2a6fcc36c00b411515e1a56443b56878a8813e6b8320f63307f4f96249af,PASS
SRSSTATE-010,11,SRSSTATE-010,4,true,3,2,10,36810dd0389ea84a7c9af7031af4f84604a7f767147008c83f98f293d54e4cbc,36810dd0389ea84a7c9af7031af4f84604a7f767147008c83f98f293d54e4cbc,PASS
SRSSTATE-011,12,SRSSTATE-011,8,false,,,,,,PASS
SRSSTATE-012,1,SRSSTATE-012,16,false,,,,,,PASS
SRSSTATE-013,2,SRSSTATE-013,32,false,,,,,,PASS
SRSSTATE-014,3,SRSSTATE-014,0,true,3,2,14,f6ead11f814c1fc3511bc87de8ebe421c92b3a4ac0b284d52508cdcfcfeb1f22,f6ead11f814c1fc3511bc87de8ebe421c92b3a4ac0b284d52508cdcfcfeb1f22,PASS
SRSSTATE-015,4,SRSSTATE-015,1,true,4,3,15,c981b0395710091af4480380722041279bec0019174db473ac4f1d299a0fc3be,c981b0395710091af4480380722041279bec0019174db473ac4f1d299a0fc3be,PASS
SRSSTATE-016,5,SRSSTATE-016,2,true,1,0,0,1b2086e8ebf0f1381d0ca05d50deb4c02282a049c62ee242380721462fc4aec0,1b2086e8ebf0f1381d0ca05d50deb4c02282a049c62ee242380721462fc4aec0,PASS
SRSSTATE-017,6,SRSSTATE-017,4,false,,,,,,PASS
SRSSTATE-018,7,SRSSTATE-018,8,true,3,2,2,7fd856684720d466d566c25438f324d9f91eae72b52f5cdecf00d573b7d757a9,7fd856684720d466d566c25438f324d9f91eae72b52f5cdecf00d573b7d757a9,PASS
SRSSTATE-019,8,SRSSTATE-019,16,false,,,,,,PASS
SRSSTATE-020,9,SRSSTATE-020,32,false,,,,,,PASS
