RunID,ExperimentID,Nant,NRFChains,NStreams,PhaseBits,BandwidthMHz,SquintLossDB,ArrayGainDB,EVMPercent,BLER,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,GoodputMbps,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F52_P05_B,32,2,2,2,400,0.046658425665296634,11.994541400893953,23.249799611354529,0.084000000000000005,PASS,F52,baseline,phase_bits,2,15,0.087935999999999181,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F52_P05_T,32,2,2,6,400,0.046658425665296634,11.994541400893953,23.249799611354529,0.084000000000000005,PASS,F52,treatment,phase_bits,6,15,0.087935999999999181,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F52_P06_B,32,2,2,2,400,0.046658425665296634,11.994541400893953,19.938656092631497,0.072499999999999995,PASS,F52,baseline,phase_bits,2,20,0.089039999999999134,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F52_P06_T,32,2,2,6,400,0.046658425665296634,11.994541400893953,19.938656092631497,0.072499999999999995,PASS,F52,treatment,phase_bits,6,20,0.089039999999999134,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F53_P01_B,32,2,2,4,100,0.0029132086368379513,12.038286617922411,114.31773762074003,0.85250000000000004,PASS,F53,baseline,bandwidth_mhz,100,-5,0.014160000000000011,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F53_P01_T,32,2,2,4,800,0.18724132774924959,11.853958498809998,116.76966305142611,0.86350000000000005,PASS,F53,treatment,bandwidth_mhz,800,-5,0.01310400000000001,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F53_P02_B,32,2,2,4,100,0.0029132086368379513,12.038286617922411,63.364337044211382,0.49149999999999999,PASS,F53,baseline,bandwidth_mhz,100,0,0.04881600000000004,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F53_P02_T,32,2,2,4,800,0.18724132774924959,11.853958498809998,64.72339673722874,0.504,PASS,F53,treatment,bandwidth_mhz,800,0,0.047616000000000033,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F53_P03_B,32,2,2,4,100,0.0029132086368379513,12.038286617922411,39.155503621265517,0.23100000000000001,PASS,F53,baseline,bandwidth_mhz,100,5,0.073823999999999695,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F53_P03_T,32,2,2,4,800,0.18724132774924959,11.853958498809998,39.995324082013418,0.24149999999999999,PASS,F53,treatment,bandwidth_mhz,800,5,0.072815999999999728,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F53_P04_B,32,2,2,4,100,0.0029132086368379513,12.038286617922411,28.258902721606276,0.1265,PASS,F53,baseline,bandwidth_mhz,100,10,0.08385599999999932,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F53_P04_T,32,2,2,4,800,0.18724132774924959,11.853958498809998,28.865009207515474,0.13200000000000001,PASS,F53,treatment,bandwidth_mhz,800,10,0.083327999999999347,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F53_P05_B,32,2,2,4,100,0.0029132086368379513,12.038286617922411,21.444724461659213,0.075999999999999998,PASS,F53,baseline,bandwidth_mhz,100,15,0.088703999999999159,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F53_P05_T,32,2,2,4,800,0.18724132774924959,11.853958498809998,21.904678151750989,0.083000000000000004,PASS,F53,treatment,bandwidth_mhz,800,15,0.08803199999999918,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F53_P06_B,32,2,2,4,100,0.0029132086368379513,12.038286617922411,19.874206716060495,0.065500000000000003,PASS,F53,baseline,bandwidth_mhz,100,20,0.089711999999999112,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F53_P06_T,32,2,2,4,800,0.18724132774924959,11.853958498809998,20.300475411330616,0.068500000000000005,PASS,F53,treatment,bandwidth_mhz,800,20,0.089423999999999129,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F54_P01_B,32,2,2,4,400,0.046658425665296634,11.994541400893953,110.07404092687665,0.83599999999999997,PASS,F54,baseline,calibration_error_deg,0,-5,0.015744000000000011,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F54_P01_T,32,2,2,4,400,0.046658425665296634,11.994541400893953,118.18284980714648,0.92500000000000004,PASS,F54,treatment,calibration_error_deg,15,-5,0.0072000000000000041,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F54_P02_B,32,2,2,4,400,0.046658425665296634,11.994541400893953,62.843868630399555,0.49049999999999999,PASS,F54,baseline,calibration_error_deg,0,0,0.048912000000000039,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F54_P02_T,32,2,2,4,400,0.046658425665296634,11.994541400893953,72.179618347182398,0.64649999999999996,PASS,F54,treatment,calibration_error_deg,15,0,0.033936000000000022,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F54_P03_B,32,2,2,4,400,0.046658425665296634,11.994541400893953,40.2421442616047,0.24399999999999999,PASS,F54,baseline,calibration_error_deg,0,5,0.072575999999999738,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F54_P03_T,32,2,2,4,400,0.046658425665296634,11.994541400893953,51.616215720532097,0.35099999999999998,PASS,F54,treatment,calibration_error_deg,15,5,0.062304000000000033,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F54_P04_B,32,2,2,4,400,0.046658425665296634,11.994541400893953,28.049319648753713,0.11550000000000001,PASS,F54,baseline,calibration_error_deg,0,10,0.084911999999999294,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F54_P04_T,32,2,2,4,400,0.046658425665296634,11.994541400893953,41.43273610322013,0.185,PASS,F54,treatment,calibration_error_deg,15,10,0.078239999999999532,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F54_P05_B,32,2,2,4,400,0.046658425665296634,11.994541400893953,23.553969772861169,0.084500000000000006,PASS,F54,baseline,calibration_error_deg,0,15,0.087887999999999175,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F54_P05_T,32,2,2,4,400,0.046658425665296634,11.994541400893953,38.181653547318881,0.129,PASS,F54,treatment,calibration_error_deg,15,15,0.083615999999999344,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F54_P06_B,32,2,2,4,400,0.046658425665296634,11.994541400893953,19.799120583107833,0.061499999999999999,PASS,F54,baseline,calibration_error_deg,0,20,0.090095999999999107,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F54_P06_T,32,2,2,4,400,0.046658425665296634,11.994541400893953,35.232933795660969,0.105,PASS,F54,treatment,calibration_error_deg,15,20,0.085919999999999261,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F55_P01_B,32,2,2,4,400,0.046658425665296634,11.994541400893953,109.75079050490656,0.83550000000000002,PASS,F55,baseline,beam_search,hierarchical,-5,0.015792000000000011,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F55_P01_T,32,2,2,4,400,0.046658425665296634,11.994541400893953,105.60774740297008,0.81399999999999995,PASS,F55,treatment,beam_search,exhaustive,-5,0.017856000000000011,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F55_P02_B,32,2,2,4,400,0.046658425665296634,11.994541400893953,67.286615643595738,0.48649999999999999,PASS,F55,baseline,beam_search,hierarchical,0,0.049296000000000034,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F55_P02_T,32,2,2,4,400,0.046658425665296634,11.994541400893953,64.746576091148142,0.46500000000000002,PASS,F55,treatment,beam_search,exhaustive,0,0.051360000000000045,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F55_P03_B,32,2,2,4,400,0.046658425665296634,11.994541400893953,39.897230226783385,0.2215,PASS,F55,baseline,beam_search,hierarchical,5,0.074735999999999664,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F55_P03_T,32,2,2,4,400,0.046658425665296634,11.994541400893953,38.391127685589815,0.20649999999999999,PASS,F55,treatment,beam_search,exhaustive,5,0.076175999999999605,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F55_P04_B,32,2,2,4,400,0.046658425665296634,11.994541400893953,26.647037580650721,0.127,PASS,F55,baseline,beam_search,hierarchical,10,0.083807999999999341,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F55_P04_T,32,2,2,4,400,0.046658425665296634,11.994541400893953,25.641123867157965,0.1195,PASS,F55,treatment,beam_search,exhaustive,10,0.084527999999999312,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F55_P05_B,32,2,2,4,400,0.046658425665296634,11.994541400893953,21.76559054465865,0.080000000000000002,PASS,F55,baseline,beam_search,hierarchical,15,0.088319999999999163,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F55_P05_T,32,2,2,4,400,0.046658425665296634,11.994541400893953,20.943949266716427,0.076499999999999999,PASS,F55,treatment,beam_search,exhaustive,15,0.088655999999999166,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F55_P06_B,32,2,2,4,400,0.046658425665296634,11.994541400893953,20.572667478118369,0.065000000000000002,PASS,F55,baseline,beam_search,hierarchical,20,0.089759999999999104,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F55_P06_T,32,2,2,4,400,0.046658425665296634,11.994541400893953,19.79605851073384,0.059499999999999997,PASS,F55,treatment,beam_search,exhaustive,20,0.090287999999999105,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
