RunID,FamilyID,PairID,Metric,BaselineValue,TreatmentValue,AbsoluteEffect,RelativeEffect,CILower,CIUpper,PValue,AdjustedPValue,EffectSize,PracticalMargin,Conclusion,Status,EffectScale,StandardizedCILower,StandardizedCIUpper
mimo_impact_20260726T123109Z,F01,F01_P01,GoodputMbps,0,7.2000000000000002e-05,7.2000000000000002e-05,324259173170.67572,0,0.00016800000000000002,0.25,1,0.035999999999999997,0.002,equivalent,PASS,0.002,0,0.084000000000000005
mimo_impact_20260726T123109Z,F01,F01_P02,GoodputMbps,0.0011760000000000002,0.0024240000000000008,0.0012480000000000006,1.0612244897959187,0.00091200000000000005,0.0015360000000000003,4.4408920985007238e-16,2.220446049250362e-15,0.16334227300962409,0.002,equivalent,PASS,0.0076403981468194009,0.11936550719934064,0.20103664370415267
mimo_impact_20260726T123109Z,F01,F01_P03,GoodputMbps,0.01296000000000001,0.01296000000000001,0,0,0,0,1,1,0,0.002,equivalent,PASS,0.01296000000000001,0,0
mimo_impact_20260726T123109Z,F01,F01_P04,GoodputMbps,0.023472000000000017,0.023472000000000017,0,0,0,0,1,1,0,0.002,equivalent,PASS,0.023472000000000017,0,0
mimo_impact_20260726T123109Z,F01,F01_P05,GoodputMbps,0.029208000000000019,0.029208000000000019,0,0,0,0,1,1,0,0.002,equivalent,PASS,0.029208000000000019,0,0
mimo_impact_20260726T123109Z,F01,F01_P06,GoodputMbps,0.021648000000000018,0.034199999999999946,0.012551999999999928,0.5798226164079785,0.011736000000000009,0.013416000000000011,7.2835358703126251e-158,4.3701215221875752e-157,0.36701754385964758,0.002,beneficial,PASS,0.034199999999999946,0.34315789473684288,0.3922807017543869
mimo_impact_20260726T123109Z,F02,F02_P01,GoodputMbps,0,0,0,0,0,0,1,1,0,0.002,equivalent,PASS,0.002,0,0
mimo_impact_20260726T123109Z,F02,F02_P02,GoodputMbps,0,0,0,0,0,0,1,1,0,0.002,equivalent,PASS,0.002,0,0
mimo_impact_20260726T123109Z,F02,F02_P03,GoodputMbps,0,0,0,0,0,0,1,1,0,0.002,equivalent,PASS,0.002,0,0
mimo_impact_20260726T123109Z,F02,F02_P04,GoodputMbps,0,0.001536,0.001536,6917529027641.082,0.00076800000000000002,0.0026880000000000003,0.0078125000000000069,0.031250000000000028,0.063356579965300905,0.002,inconclusive,PASS,0.024243732866282171,0.031678289982650452,0.11087401493927659
